Source,CH1,CH2
Second,Volt,Volt
-0.01228800000,1.90080,0.01321,
-0.01228600000,1.90080,0.01118,
-0.01228400000,1.90080,0.01321,
-0.01228200000,1.90080,0.01321,
-0.01228000000,1.90080,0.01321,
-0.01227800000,1.90080,0.01118,
-0.01227600000,1.98720,0.01524,
-0.01227400000,1.98720,0.01321,
-0.01227200000,1.90080,0.01524,
-0.01227000000,1.98720,0.01321,
-0.01226800000,1.98720,0.01727,
-0.01226600000,2.07360,0.01321,
-0.01226400000,1.98720,0.01524,
-0.01226200000,2.07360,0.01118,
-0.01226000000,2.16000,0.01930,
-0.01225800000,2.07360,0.01524,
-0.01225600000,2.16000,0.01118,
-0.01225400000,2.07360,0.01321,
-0.01225200000,2.16000,0.01524,
-0.01225000000,2.16000,0.01524,
-0.01224800000,2.16000,0.01727,
-0.01224600000,2.16000,0.01524,
-0.01224400000,2.16000,0.01118,
-0.01224200000,2.20320,0.01727,
-0.01224000000,2.16000,0.01727,
-0.01223800000,2.16000,0.01727,
-0.01223600000,2.20320,0.01524,
-0.01223400000,2.16000,0.02134,
-0.01223200000,2.20320,0.01524,
-0.01223000000,2.20320,0.01930,
-0.01222800000,2.28960,0.01930,
-0.01222600000,2.28960,0.01727,
-0.01222400000,2.28960,0.02134,
-0.01222200000,2.28960,0.02337,
-0.01222000000,2.28960,0.01727,
-0.01221800000,2.28960,0.02134,
-0.01221600000,2.37600,0.02337,
-0.01221400000,2.28960,0.02337,
-0.01221200000,2.37600,0.01524,
-0.01221000000,2.37600,0.01930,
-0.01220800000,2.37600,0.02946,
-0.01220600000,2.37600,0.02337,
-0.01220400000,2.37600,0.02134,
-0.01220200000,2.46240,0.02337,
-0.01220000000,2.37600,0.02134,
-0.01219800000,2.46240,0.02337,
-0.01219600000,2.46240,0.02337,
-0.01219400000,2.46240,0.02337,
-0.01219200000,2.46240,0.02134,
-0.01219000000,2.54880,0.01930,
-0.01218800000,2.46240,0.02540,
-0.01218600000,2.54880,0.02337,
-0.01218400000,2.54880,0.02743,
-0.01218200000,2.54880,0.02540,
-0.01218000000,2.54880,0.02540,
-0.01217800000,2.54880,0.02540,
-0.01217600000,2.63520,0.02540,
-0.01217400000,2.63520,0.02743,
-0.01217200000,2.63520,0.02337,
-0.01217000000,2.63520,0.03150,
-0.01216800000,2.63520,0.02743,
-0.01216600000,2.72160,0.02946,
-0.01216400000,2.63520,0.02540,
-0.01216200000,2.72160,0.02946,
-0.01216000000,2.72160,0.03150,
-0.01215800000,2.72160,0.03150,
-0.01215600000,2.72160,0.02540,
-0.01215400000,2.72160,0.03150,
-0.01215200000,2.76480,0.03150,
-0.01215000000,2.76480,0.03150,
-0.01214800000,2.76480,0.02946,
-0.01214600000,2.76480,0.03353,
-0.01214400000,2.76480,0.02946,
-0.01214200000,2.76480,0.03759,
-0.01214000000,2.76480,0.03962,
-0.01213800000,2.76480,0.03759,
-0.01213600000,2.85120,0.03150,
-0.01213400000,2.85120,0.03150,
-0.01213200000,2.85120,0.03353,
-0.01213000000,2.85120,0.03353,
-0.01212800000,2.85120,0.03556,
-0.01212600000,2.93760,0.03353,
-0.01212400000,2.93760,0.03759,
-0.01212200000,2.93760,0.03150,
-0.01212000000,2.93760,0.03150,
-0.01211800000,2.93760,0.03759,
-0.01211600000,3.02400,0.03962,
-0.01211400000,3.02400,0.03556,
-0.01211200000,3.02400,0.03962,
-0.01211000000,3.02400,0.03556,
-0.01210800000,2.93760,0.03353,
-0.01210600000,3.02400,0.03353,
-0.01210400000,3.02400,0.03759,
-0.01210200000,3.11040,0.03556,
-0.01210000000,3.11040,0.04166,
-0.01209800000,3.11040,0.03556,
-0.01209600000,3.11040,0.04166,
-0.01209400000,3.11040,0.03759,
-0.01209200000,3.11040,0.03962,
-0.01209000000,3.11040,0.03556,
-0.01208800000,3.11040,0.04166,
-0.01208600000,3.19680,0.04369,
-0.01208400000,3.19680,0.04369,
-0.01208200000,3.19680,0.04166,
-0.01208000000,3.19680,0.03962,
-0.01207800000,3.28320,0.04572,
-0.01207600000,3.19680,0.04369,
-0.01207400000,3.19680,0.04369,
-0.01207200000,3.28320,0.04369,
-0.01207000000,3.19680,0.03962,
-0.01206800000,3.28320,0.04775,
-0.01206600000,3.32640,0.05588,
-0.01206400000,3.28320,0.04572,
-0.01206200000,3.32640,0.05385,
-0.01206000000,3.32640,0.04775,
-0.01205800000,3.32640,0.04978,
-0.01205600000,3.32640,0.04978,
-0.01205400000,3.32640,0.04978,
-0.01205200000,3.32640,0.04572,
-0.01205000000,3.32640,0.04978,
-0.01204800000,3.32640,0.04775,
-0.01204600000,3.41280,0.04978,
-0.01204400000,3.41280,0.05182,
-0.01204200000,3.41280,0.05182,
-0.01204000000,3.41280,0.04369,
