Source,CH1,CH2
Second,Volt,Volt
-0.00245760016,-0.99360,0.09251,
-0.00245720016,-0.95040,0.09629,
-0.00245680016,-0.99360,0.09251,
-0.00245640000,-0.99360,0.09346,
-0.00245600000,-0.99360,0.08921,
-0.00245560000,-0.99360,0.08826,
-0.00245520000,-0.99360,0.09582,
-0.00245480000,-0.99360,0.09346,
-0.00245440000,-0.99360,0.09393,
-0.00245400000,-1.08000,0.08921,
-0.00245360000,-0.99360,0.09393,
-0.00245320000,-0.99360,0.09487,
-0.00245280000,-1.08000,0.09629,
-0.00245240000,-1.08000,0.09629,
-0.00245200000,-1.08000,0.09110,
-0.00245160000,-1.08000,0.09582,
-0.00245120000,-1.08000,0.09157,
-0.00245080000,-1.08000,0.09393,
-0.00245040000,-1.08000,0.10290,
-0.00245000000,-1.08000,0.10950,
-0.00244960000,-1.08000,0.09912,
-0.00244920000,-1.16640,0.09582,
-0.00244880000,-1.16640,0.09346,
-0.00244840000,-1.16640,0.09723,
-0.00244800000,-1.08000,0.08779,
-0.00244760000,-1.16640,0.09393,
-0.00244720000,-1.16640,0.09582,
-0.00244680000,-1.16640,0.09110,
-0.00244640000,-1.16640,0.09393,
-0.00244600000,-1.16640,0.08779,
-0.00244560000,-1.16640,0.08685,
-0.00244520000,-1.25280,0.09393,
-0.00244480000,-1.25280,0.09393,
-0.00244440000,-1.25280,0.09346,
-0.00244400000,-1.25280,0.09015,
-0.00244360000,-1.25280,0.09393,
-0.00244320000,-1.25280,0.09157,
-0.00244280000,-1.25280,0.09157,
-0.00244240000,-1.25280,0.09393,
-0.00244200000,-1.25280,0.08921,
-0.00244160000,-1.25280,0.09110,
-0.00244120000,-1.25280,0.09393,
-0.00244080000,-1.25280,0.09487,
-0.00244040000,-1.25280,0.09629,
-0.00244000000,-1.33920,0.07316,
-0.00243960000,-1.33920,0.08826,
-0.00243920000,-1.25280,0.09582,
-0.00243880000,-1.25280,0.09582,
-0.00243840000,-1.33920,0.09157,
-0.00243800000,-1.25280,0.09015,
-0.00243760000,-1.33920,0.09015,
-0.00243720000,-1.33920,0.09393,
-0.00243680000,-1.33920,0.09393,
-0.00243640000,-1.33920,0.09346,
-0.00243600000,-1.33920,0.09157,
-0.00243559984,-1.33920,0.09110,
-0.00243519984,-1.33920,0.09346,
-0.00243479984,-1.33920,0.09912,
-0.00243440016,-1.33920,0.09487,
-0.00243400016,-1.33920,0.08921,
-0.00243360016,-1.42560,0.09393,
-0.00243320016,-1.33920,0.09346,
-0.00243280016,-1.33920,0.10195,
-0.00243240016,-1.42560,0.09346,
-0.00243200016,-1.42560,0.08449,
-0.00243160016,-1.42560,0.08685,
-0.00243120016,-1.42560,0.09393,
-0.00243080016,-1.42560,0.09582,
-0.00243040016,-1.42560,0.09582,
-0.00243000016,-1.42560,0.09110,
-0.00242960016,-1.42560,0.10054,
-0.00242920016,-1.42560,0.09251,
-0.00242880016,-1.51200,0.09487,
-0.00242840016,-1.51200,0.09346,
-0.00242800016,-1.42560,0.09015,
-0.00242760016,-1.51200,0.09110,
-0.00242720016,-1.51200,0.09723,
-0.00242680016,-1.51200,0.09251,
-0.00242640016,-1.51200,0.09629,
-0.00242600016,-1.51200,0.09157,
-0.00242560000,-1.51200,0.08685,
-0.00242520000,-1.55520,0.09629,
-0.00242480000,-1.51200,0.09157,
-0.00242440000,-1.51200,0.09251,
-0.00242400000,-1.51200,0.09157,
-0.00242360000,-1.51200,0.08779,
-0.00242320000,-1.55520,0.09393,
-0.00242280000,-1.55520,0.09251,
-0.00242240000,-1.55520,0.09487,
-0.00242200000,-1.51200,0.09015,
-0.00242160000,-1.55520,0.09110,
-0.00242120000,-1.55520,0.09487,
-0.00242080000,-1.55520,0.09629,
-0.00242040000,-1.55520,0.09912,
-0.00242000000,-1.55520,0.08779,
-0.00241960000,-1.64160,0.08354,
-0.00241920000,-1.55520,0.09959,
-0.00241880000,-1.55520,0.09015,
-0.00241840000,-1.64160,0.09487,
-0.00241800000,-1.64160,0.09110,
-0.00241760000,-1.64160,0.09110,
-0.00241720000,-1.55520,0.09912,
-0.00241680000,-1.55520,0.09393,
-0.00241640000,-1.64160,0.09393,
-0.00241600000,-1.64160,0.08826,
-0.00241560000,-1.64160,0.08921,
-0.00241520000,-1.64160,0.09629,
-0.00241480000,-1.64160,0.09393,
-0.00241440000,-1.64160,0.09157,
-0.00241400000,-1.64160,0.08921,
-0.00241360000,-1.55520,0.09157,
-0.00241320000,-1.64160,0.10054,
-0.00241280000,-1.72800,0.09487,
-0.00241240000,-1.72800,0.09015,
-0.00241200000,-1.64160,0.09015,
-0.00241160000,-1.64160,0.09346,
-0.00241120000,-1.72800,0.09393,
-0.00241080000,-1.72800,0.09346,
-0.00241040000,-1.72800,0.09251,
-0.00241000000,-1.81440,0.09487,
-0.00240960000,-1.72800,0.10148,
-0.00240920000,-1.72800,0.09723,
-0.00240880000,-1.81440,0.09251,
-0.00240840000,-1.81440,0.09393,
-0.00240800000,-1.72800,0.09110,
-0.00240760000,-1.72800,0.08921,
-0.00240720000,-1.72800,0.10054,
-0.00240680000,-1.81440,0.10054,
-0.00240640000,-1.72800,0.09157,
-0.00240600000,-1.81440,0.09110,
-0.00240560000,-1.81440,0.09110,
-0.00240519984,-1.81440,0.09346,
-0.00240479984,-1.81440,0.09818,
-0.00240439984,-1.81440,0.09487,
-0.00240400016,-1.81440,0.09251,
-0.00240360016,-1.81440,0.09110,
-0.00240320016,-1.81440,0.09487,
-0.00240280016,-1.90080,0.09582,
-0.00240240016,-1.81440,0.09251,
-0.00240200016,-1.81440,0.09251,
-0.00240160016,-1.81440,0.08921,
-0.00240120016,-1.90080,0.09251,
-0.00240080016,-1.90080,0.09582,
-0.00240040016,-1.90080,0.09157,
-0.00240000016,-1.90080,0.09157,
-0.00239960016,-1.90080,0.09959,
-0.00239920016,-1.90080,0.09393,
-0.00239880016,-1.90080,0.09487,
-0.00239840016,-1.90080,0.09393,
-0.00239800016,-1.90080,0.09110,
-0.00239760016,-1.90080,0.08543,
-0.00239720016,-1.98720,0.08921,
-0.00239680016,-1.98720,0.09346,
-0.00239640016,-1.98720,0.09393,
-0.00239600016,-1.98720,0.08685,
-0.00239560016,-1.90080,0.08921,
-0.00239520000,-1.98720,0.09015,
-0.00239480000,-1.98720,0.09110,
-0.00239440000,-1.98720,0.08921,
-0.00239400000,-2.03040,0.09251,
-0.00239360000,-1.98720,0.09157,
-0.00239320000,-1.98720,0.09015,
-0.00239280000,-2.03040,0.09346,
-0.00239240000,-2.03040,0.09015,
-0.00239200000,-1.98720,0.09015,
-0.00239160000,-1.98720,0.08543,
-0.00239120000,-2.03040,0.08826,
-0.00239080000,-2.03040,0.09487,
-0.00239040000,-2.03040,0.09251,
-0.00239000000,-2.03040,0.09110,
-0.00238960000,-2.03040,0.09346,
-0.00238920000,-2.11680,0.11234,
-0.00238880000,-2.03040,0.09393,
-0.00238840000,-2.03040,0.09251,
-0.00238800000,-2.11680,0.08685,
-0.00238760000,-2.03040,0.08543,
-0.00238720000,-2.03040,0.08921,
-0.00238680000,-2.11680,0.09393,
-0.00238640000,-2.11680,0.09393,
-0.00238600000,-2.11680,0.09251,
-0.00238560000,-2.11680,0.09393,
-0.00238520000,-2.11680,0.09629,
-0.00238480000,-2.11680,0.09393,
-0.00238440000,-2.11680,0.09157,
-0.00238400000,-2.11680,0.09487,
-0.00238360000,-2.11680,0.09110,
-0.00238320000,-2.11680,0.09723,
-0.00238280000,-2.20320,0.09157,
-0.00238240000,-2.20320,0.09157,
-0.00238200000,-2.20320,0.09629,
-0.00238160000,-2.11680,0.09912,
-0.00238120000,-2.20320,0.09818,
-0.00238080000,-2.20320,0.09251,
-0.00238040000,-2.20320,0.09393,
-0.00238000000,-2.20320,0.09015,
-0.00237960000,-2.20320,0.08449,
-0.00237920000,-2.20320,0.09157,
-0.00237880000,-2.20320,0.09346,
-0.00237840000,-2.20320,0.09959,
-0.00237800000,-2.20320,0.09393,
-0.00237760000,-2.20320,0.09251,
-0.00237720000,-2.20320,0.09582,
-0.00237680000,-2.28960,0.09346,
-0.00237640000,-2.28960,0.09959,
-0.00237600000,-2.28960,0.09251,
-0.00237560000,-2.28960,0.09015,
-0.00237520000,-2.28960,0.09487,
-0.00237480000,-2.28960,0.09346,
-0.00237439984,-2.28960,0.09582,
-0.00237399984,-2.28960,0.09393,
-0.00237359984,-2.28960,0.09346,
-0.00237320016,-2.28960,0.09251,
-0.00237280016,-2.28960,0.09487,
-0.00237240016,-2.28960,0.09157,
-0.00237200016,-2.28960,0.09251,
-0.00237160016,-2.37600,0.09346,
-0.00237120016,-2.37600,0.09157,
-0.00237080016,-2.28960,0.09346,
-0.00237040016,-2.28960,0.09346,
-0.00237000016,-2.37600,0.09393,
-0.00236960016,-2.37600,0.08685,
-0.00236920016,-2.37600,0.08921,
-0.00236880016,-2.37600,0.09346,
-0.00236840016,-2.37600,0.09110,
-0.00236800016,-2.37600,0.08118,
-0.00236760016,-2.37600,0.09487,
-0.00236720016,-2.37600,0.09723,
-0.00236680016,-2.37600,0.09251,
-0.00236640016,-2.46240,0.09157,
-0.00236600016,-2.37600,0.08685,
-0.00236560016,-2.37600,0.09251,
-0.00236520016,-2.46240,0.09157,
-0.00236480016,-2.46240,0.09393,
-0.00236440000,-2.37600,0.09157,
-0.00236400000,-2.46240,0.08921,
-0.00236360000,-2.46240,0.09015,
-0.00236320000,-2.46240,0.09251,
-0.00236280000,-2.54880,0.09393,
-0.00236240000,-2.46240,0.09157,
-0.00236200000,-2.46240,0.09346,
-0.00236160000,-2.54880,0.09157,
-0.00236120000,-2.54880,0.08921,
-0.00236080000,-2.46240,0.09015,
-0.00236040000,-2.54880,0.09629,
-0.00236000000,-2.54880,0.08826,
-0.00235960000,-2.54880,0.08543,
-0.00235920000,-2.54880,0.08826,
-0.00235880000,-2.54880,0.08685,
-0.00235840000,-2.54880,0.09251,
-0.00235800000,-2.54880,0.08449,
-0.00235760000,-2.59200,0.08590,
-0.00235720000,-2.54880,0.08921,
-0.00235680000,-2.59200,0.08071,
-0.00235640000,-2.59200,0.09157,
-0.00235600000,-2.59200,0.08590,
-0.00235560000,-2.59200,0.08590,
-0.00235520000,-2.59200,0.08779,
-0.00235480000,-2.59200,0.08449,
-0.00235440000,-2.59200,0.09110,
-0.00235400000,-2.54880,0.08826,
-0.00235360000,-2.59200,0.08779,
-0.00235320000,-2.59200,0.09015,
-0.00235280000,-2.59200,0.09015,
-0.00235240000,-2.59200,0.09015,
-0.00235200000,-2.59200,0.08779,
-0.00235160000,-2.59200,0.08449,
-0.00235120000,-2.59200,0.09346,
-0.00235080000,-2.67840,0.08921,
-0.00235040000,-2.67840,0.09346,
-0.00235000000,-2.67840,0.08779,
-0.00234960000,-2.67840,0.07316,
-0.00234920000,-2.67840,0.08590,
-0.00234880000,-2.67840,0.07882,
-0.00234840000,-2.67840,0.09110,
-0.00234800000,-2.67840,0.09015,
-0.00234760000,-2.67840,0.08449,
-0.00234720000,-2.67840,0.09110,
-0.00234680000,-2.67840,0.08685,
-0.00234640000,-2.67840,0.09110,
-0.00234600000,-2.76480,0.08921,
-0.00234560000,-2.67840,0.08590,
-0.00234520000,-2.67840,0.08779,
-0.00234480000,-2.67840,0.08826,
-0.00234440000,-2.76480,0.09015,
-0.00234399984,-2.76480,0.08826,
-0.00234359984,-2.76480,0.08354,
-0.00234319984,-2.76480,0.08779,
-0.00234279984,-2.76480,0.08685,
-0.00234240016,-2.76480,0.08449,
-0.00234200016,-2.76480,0.08685,
-0.00234160016,-2.76480,0.08921,
-0.00234120016,-2.85120,0.08307,
-0.00234080016,-2.76480,0.08543,
-0.00234040016,-2.76480,0.09157,
-0.00234000016,-2.76480,0.08543,
-0.00233960016,-2.85120,0.07316,
-0.00233920016,-2.85120,0.08826,
-0.00233880016,-2.85120,0.07741,
-0.00233840016,-2.85120,0.08826,
-0.00233800016,-2.85120,0.08118,
-0.00233760016,-2.85120,0.07977,
-0.00233720016,-2.85120,0.08118,
-0.00233680016,-2.93760,0.08590,
-0.00233640016,-2.85120,0.08685,
-0.00233600016,-2.85120,0.09110,
-0.00233560016,-2.85120,0.08118,
-0.00233520016,-2.85120,0.08307,
-0.00233480016,-2.93760,0.08213,
-0.00233440016,-2.93760,0.08354,
-0.00233400000,-2.93760,0.08118,
-0.00233360000,-2.93760,0.07977,
-0.00233320000,-2.93760,0.08071,
-0.00233280000,-2.93760,0.08118,
-0.00233240000,-2.93760,0.08543,
-0.00233200000,-2.93760,0.08118,
-0.00233160000,-2.93760,0.08213,
-0.00233120000,-2.93760,0.08543,
-0.00233080000,-2.93760,0.08354,
-0.00233040000,-2.93760,0.08213,
-0.00233000000,-2.93760,0.07552,
-0.00232960000,-2.93760,0.08213,
-0.00232920000,-3.02400,0.09015,
-0.00232880000,-2.93760,0.08118,
-0.00232840000,-3.02400,0.08779,
-0.00232800000,-3.02400,0.08071,
-0.00232760000,-3.02400,0.08071,
-0.00232720000,-3.02400,0.08307,
-0.00232680000,-3.02400,0.07882,
-0.00232640000,-3.02400,0.08118,
-0.00232600000,-3.02400,0.07882,
-0.00232560000,-3.02400,0.07977,
-0.00232520000,-3.02400,0.07788,
-0.00232480000,-3.02400,0.07788,
-0.00232440000,-3.02400,0.07882,
-0.00232400000,-3.11040,0.07741,
-0.00232360000,-3.11040,0.08118,
-0.00232320000,-3.11040,0.07646,
-0.00232280000,-3.11040,0.07646,
-0.00232240000,-3.11040,0.08118,
-0.00232200000,-3.11040,0.07882,
-0.00232160000,-3.11040,0.07552,
-0.00232120000,-3.15360,0.07977,
-0.00232080000,-3.11040,0.07741,
-0.00232040000,-3.15360,0.07882,
-0.00232000000,-3.15360,0.09393,
-0.00231960000,-3.11040,0.06278,
-0.00231920000,-3.11040,0.07174,
-0.00231880000,-3.15360,0.08071,
-0.00231840000,-3.15360,0.07882,
-0.00231800000,-3.15360,0.08071,
-0.00231760000,-3.15360,0.07269,
-0.00231720000,-3.15360,0.08213,
-0.00231680000,-3.15360,0.08071,
-0.00231640000,-3.15360,0.08449,
-0.00231600000,-3.15360,0.07788,
-0.00231560000,-3.24000,0.07646,
-0.00231520000,-3.15360,0.08071,
-0.00231480000,-3.15360,0.07646,
-0.00231440000,-3.24000,0.07788,
-0.00231400000,-3.24000,0.07552,
-0.00231359984,-3.15360,0.07552,
-0.00231319984,-3.24000,0.07741,
-0.00231279984,-3.24000,0.07646,
-0.00231239984,-3.24000,0.07977,
-0.00231200016,-3.24000,0.08307,
-0.00231160016,-3.24000,0.07316,
-0.00231120016,-3.24000,0.07788,
-0.00231080016,-3.24000,0.07505,
-0.00231040016,-3.24000,0.07741,
-0.00231000016,-3.24000,0.05381,
-0.00230960016,-3.24000,0.07977,
-0.00230920016,-3.24000,0.07410,
-0.00230880016,-3.24000,0.07269,
-0.00230840016,-3.32640,0.07646,
-0.00230800016,-3.32640,0.07741,
-0.00230760016,-3.32640,0.07316,
-0.00230720016,-3.24000,0.07505,
-0.00230680016,-3.32640,0.07646,
-0.00230640016,-3.24000,0.07552,
-0.00230600016,-3.24000,0.07552,
-0.00230560016,-3.32640,0.07080,
-0.00230520016,-3.32640,0.07788,
-0.00230480016,-3.24000,0.06750,
-0.00230440016,-3.32640,0.07646,
-0.00230400016,-3.32640,0.06986,
-0.00230360016,-3.32640,0.06797,
-0.00230320000,-3.32640,0.07316,
-0.00230280000,-3.41280,0.07269,
-0.00230240000,-3.41280,0.07552,
-0.00230200000,-3.32640,0.07410,
