Source,CH1,CH2
Second,Volt,Volt
-0.009979999,4.32,-0.364
-0.009978,4.32,-0.308
-0.009975999,4.24,-0.308
-0.009974,4.24,-0.312
-0.009971999,4.24,-0.308
-0.00997,4.24,-0.308
-0.009967999,4.24,-0.312
-0.009966,4.16,-0.312
-0.009964001,4.24,-0.308
-0.009962,4.24,-0.308
-0.009960001,4.24,-0.308
-0.009958,4.24,-0.312
-0.009956001,4.16,-0.308
-0.009954,4.16,-0.304
-0.009952001,4.24,-0.312
-0.00995,4.24,-0.308
-0.009948,4.24,-0.304
-0.009946,4.24,-0.308
-0.009944,4.24,-0.3
-0.009942,4.16,-0.304
-0.00994,4.16,-0.304
-0.009938,4.16,-0.3
-0.009936,4.16,-0.348
-0.009934,4.16,-0.296
-0.009932,4.24,-0.296
-0.00993,4.16,-0.304
-0.009928,4.24,-0.3
-0.009925999,4.24,-0.3
-0.009924,4.16,-0.308
-0.009921999,4.24,-0.304
-0.00992,4.24,-0.308
-0.009917999,4.16,-0.308
-0.009916,4.24,-0.3
-0.009913999,4.24,-0.304
-0.009912,4.24,-0.304
-0.009909999,4.24,-0.3
-0.009908,4.16,-0.296
-0.009905999,4.16,-0.3
-0.009904,4.16,-0.296
-0.009902001,4.24,-0.296
-0.0099,4.16,-0.296
-0.009898001,4.24,-0.296
-0.009896,4.16,-0.296
-0.009894001,4.16,-0.296
-0.009892,4.16,-0.292
-0.009890001,4.16,-0.292
-0.009888,4.16,-0.292
-0.009886,4.16,-0.284
-0.009884,4.16,-0.288
-0.009882,4.16,-0.288
-0.00988,4.16,-0.292
-0.009878,4.24,-0.292
-0.009876,4.16,-0.284
-0.009874,4.16,-0.284
-0.009872,4.16,-0.284
-0.00987,4.24,-0.272
-0.009868,4.16,-0.28
-0.009866,4.16,-0.28
-0.009863999,4.16,-0.292
-0.009862,4.16,-0.28
-0.009859999,4.16,-0.28
-0.009858,4.24,-0.28
-0.009855999,4.24,-0.284
-0.009854,4.16,-0.28
-0.009851999,4.24,-0.276
-0.00985,4.24,-0.28
-0.009847999,4.24,-0.284
-0.009846,4.16,-0.276
-0.009843999,4.16,-0.28
-0.009842,4.16,-0.276
-0.009840001,4.16,-0.272
-0.009838,4.16,-0.28
-0.009836001,4.16,-0.268
-0.009834,4.16,-0.268
-0.009832001,4.24,-0.268
-0.00983,4.24,-0.264
-0.009828001,4.16,-0.268
-0.009826,4.16,-0.268
-0.009824,4.16,-0.268
-0.009822,4.16,-0.268
-0.00982,4.16,-0.268
-0.009818,4.24,-0.268
-0.009816,4.16,-0.268
-0.009814,4.16,-0.264
-0.009812,4.16,-0.264
-0.00981,4.16,-0.26
-0.009808,4.16,-0.264
-0.009806,4.16,-0.268
-0.009804,4.16,-0.26
-0.009801999,4.16,-0.26
-0.0098,4.16,-0.256
-0.009797999,4.24,-0.26
-0.009796,4.24,-0.248
-0.009793999,4.16,-0.26
-0.009792,4.16,-0.26
-0.009789999,4.16,-0.26
-0.009788,4.24,-0.26
-0.009785999,4.16,-0.284
-0.009784,4.16,-0.264
-0.009781999,4.16,-0.264
-0.00978,4.16,-0.26
-0.009778001,4.16,-0.26
-0.009776,4.16,-0.244
-0.009774001,4.16,-0.256
-0.009772,4.16,-0.256
-0.009770001,4.16,-0.252
-0.009768,4.24,-0.256
-0.009766001,4.24,-0.256
-0.009764,4.16,-0.252
-0.009762,4.16,-0.256
-0.00976,4.24,-0.256
-0.009758,4.16,-0.256
-0.009756,4.16,-0.248
-0.009754,4.16,-0.256
-0.009752,4.16,-0.26
-0.00975,4.24,-0.264
-0.009748,4.16,-0.252
-0.009746,4.16,-0.264
-0.009744,4.16,-0.26
-0.009742,4.16,-0.252
-0.009739999,4.16,-0.248
-0.009738,4.16,-0.256
-0.009735999,4.16,-0.256
-0.009734,4.16,-0.248
-0.009731999,4.16,-0.252
-0.00973,4.16,-0.244
-0.009727999,4.24,-0.244
-0.009726,4.16,-0.248
-0.009723999,4.24,-0.244
-0.009722,4.16,-0.248
-0.009720001,4.16,-0.244
-0.009718,4.24,-0.248
-0.009716001,4.16,-0.3
-0.009714,4.16,-0.248
-0.009712001,4.16,-0.244
-0.00971,4.16,-0.244
-0.009708001,4.24,-0.236
-0.009706,4.16,-0.24
-0.009704001,4.16,-0.236
-0.009702,4.16,-0.24
-0.0097,4.16,-0.232
-0.009698,4.24,-0.244
-0.009696,4.24,-0.236
-0.009694,4.16,-0.228
-0.009692,4.16,-0.228
-0.00969,4.16,-0.24
-0.009688,4.16,-0.236
-0.009686,4.16,-0.24
-0.009684,4.24,-0.232
-0.009681999,4.16,-0.232
-0.00968,4.16,-0.228
-0.009677999,4.16,-0.236
-0.009676,4.16,-0.224
-0.009673999,4.16,-0.228
-0.009672,4.16,-0.228
-0.009669999,4.16,-0.228
-0.009668,4.16,-0.228
-0.009665999,4.24,-0.228
-0.009664,4.16,-0.228
-0.009661999,4.16,-0.224
-0.00966,4.16,-0.232
-0.009658001,4.16,-0.224
-0.009656,4.16,-0.228
-0.009654001,4.24,-0.224
-0.009652,4.24,-0.228
-0.009650001,4.16,-0.224
-0.009648,4.16,-0.224
-0.009646001,4.16,-0.236
-0.009644,4.16,-0.228
-0.009642,4.16,-0.228
-0.00964,4.16,-0.224
-0.009638,4.16,-0.232
-0.009636,4.16,-0.228
-0.009634,4.16,-0.228
-0.009632,4.16,-0.232
-0.00963,4.16,-0.232
-0.009628,4.16,-0.232
-0.009626,4.16,-0.228
-0.009624,4.16,-0.228
-0.009622,4.16,-0.224
-0.009619999,4.16,-0.228
-0.009618,4.16,-0.264
-0.009615999,4.16,-0.236
-0.009614,4.16,-0.224
-0.009611999,4.16,-0.228
