Source,CH1,CH2
Second,Volt,Volt
-0.012288,-1.2,0.256
-0.012286,-1.2,0.26
-0.012284,-1.2,0.26
-0.012282,-1.2,0.26
-0.01228,-1.2,0.256
-0.012278,-1.28,0.26
-0.012276,-1.28,0.26
-0.012274,-1.28,0.26
-0.012272,-1.28,0.256
-0.01227,-1.28,0.26
-0.012268,-1.28,0.26
-0.012266,-1.36,0.256
-0.012264,-1.28,0.256
-0.012262,-1.28,0.26
-0.01226,-1.28,0.256
-0.012258,-1.28,0.264
-0.012256,-1.36,0.256
-0.012254,-1.28,0.256
-0.012252,-1.28,0.26
-0.01225,-1.36,0.256
-0.012248,-1.36,0.26
-0.012246,-1.36,0.26
-0.012244,-1.36,0.26
-0.012242,-1.44,0.26
-0.01224,-1.36,0.256
-0.012238,-1.44,0.26
-0.012236,-1.44,0.248
-0.012234,-1.36,0.264
-0.012232,-1.44,0.252
-0.01223,-1.44,0.252
-0.012228,-1.44,0.256
-0.012226,-1.44,0.252
-0.012224,-1.44,0.244
-0.012222,-1.44,0.256
-0.01222,-1.52,0.256
-0.012218,-1.44,0.256
-0.012216,-1.52,0.252
-0.012214,-1.52,0.248
-0.012212,-1.52,0.252
-0.01221,-1.52,0.248
-0.012208,-1.6,0.26
-0.012206,-1.6,0.248
-0.012204,-1.52,0.252
-0.012202,-1.6,0.24
-0.0122,-1.52,0.244
-0.012198,-1.6,0.244
-0.012196,-1.6,0.244
-0.012194,-1.6,0.24
-0.012192,-1.6,0.244
-0.01219,-1.6,0.24
-0.012188,-1.6,0.24
-0.012186,-1.6,0.24
-0.012184,-1.6,0.26
-0.012182,-1.68,0.244
-0.01218,-1.68,0.244
-0.012178,-1.6,0.244
-0.012176,-1.6,0.24
-0.012174,-1.68,0.24
-0.012172,-1.68,0.236
-0.01217,-1.68,0.244
-0.012168,-1.68,0.244
-0.012166,-1.68,0.248
-0.012164,-1.68,0.244
-0.012162,-1.76,0.244
-0.01216,-1.76,0.248
-0.012158,-1.76,0.24
-0.012156,-1.76,0.236
-0.012154,-1.68,0.24
-0.012152,-1.76,0.244
-0.01215,-1.76,0.24
-0.012148,-1.84,0.244
-0.012146,-1.76,0.24
-0.012144,-1.76,0.24
-0.012142,-1.84,0.24
-0.01214,-1.84,0.24
-0.012138,-1.84,0.236
-0.012136,-1.84,0.236
-0.012134,-1.84,0.244
-0.012132,-1.84,0.244
-0.01213,-1.84,0.24
-0.012128,-1.84,0.24
-0.012126,-1.84,0.24
-0.012124,-1.84,0.24
-0.012122,-1.92,0.24
-0.01212,-1.84,0.24
-0.012118,-1.92,0.24
-0.012116,-1.92,0.24
-0.012114,-1.92,0.24
-0.012112,-1.92,0.24
-0.01211,-1.92,0.244
-0.012108,-1.92,0.24
-0.012106,-1.92,0.236
-0.012104,-1.92,0.244
-0.012102,-1.92,0.24
-0.0121,-1.92,0.24
-0.012098,-1.92,0.24
-0.012096,-2,0.24
-0.012094,-2,0.24
-0.012092,-2,0.236
-0.01209,-2,0.24
-0.012088,-2,0.224
-0.012086,-2,0.276
-0.012084,-2,0.236
-0.012082,-2,0.236
-0.01208,-2,0.24
-0.012078,-2,0.224
-0.012076,-2,0.232
-0.012074,-2.08,0.232
-0.012072,-2.08,0.232
-0.01207,-2.08,0.232
-0.012068,-2.08,0.232
-0.012066,-2.08,0.228
-0.012064,-2.08,0.22
-0.012062,-2.08,0.224
-0.01206,-2.08,0.224
-0.012058,-2.08,0.224
-0.012056,-2.16,0.224
-0.012054,-2.16,0.224
-0.012052,-2.16,0.232
-0.01205,-2.16,0.228
