Source,CH1,CH2
Second,Volt,Volt
-0.00122880000,4.16000,0.03416,
-0.00122860000,4.16000,0.03953,
-0.00122840000,4.16000,0.03221,
-0.00122820000,4.16000,0.03465,
-0.00122800000,4.16000,0.02440,
-0.00122780000,4.16000,0.03172,
-0.00122760000,4.16000,0.03172,
-0.00122740000,4.16000,0.02098,
-0.00122720000,4.16000,0.03465,
-0.00122700000,4.24000,0.03855,
-0.00122680000,4.16000,0.02977,
-0.00122660000,4.16000,0.03172,
-0.00122640000,4.24000,0.03806,
-0.00122620000,4.16000,0.03074,
-0.00122600000,4.16000,0.03074,
-0.00122580000,4.16000,0.02684,
-0.00122560000,4.16000,0.04538,
-0.00122540000,4.16000,0.02684,
-0.00122520000,4.16000,0.03221,
-0.00122500000,4.16000,0.03416,
-0.00122480000,4.16000,0.03465,
-0.00122460000,4.16000,0.03855,
-0.00122440000,4.16000,0.03806,
-0.00122420000,4.24000,0.03172,
-0.00122400000,4.16000,0.02928,
-0.00122380000,4.16000,0.03855,
-0.00122360000,4.16000,0.03562,
-0.00122340000,4.16000,0.04050,
-0.00122320000,4.24000,0.03318,
-0.00122300000,4.16000,0.03562,
-0.00122280000,4.16000,0.03953,
-0.00122260000,4.16000,0.03806,
-0.00122240000,4.16000,0.03562,
-0.00122220000,4.16000,0.03416,
-0.00122200000,4.16000,0.03221,
-0.00122180000,4.16000,0.03855,
-0.00122160000,4.16000,0.03660,
-0.00122140000,-3.76000,0.06978,
-0.00122120000,-4.00000,0.06978,
-0.00122100000,-4.40000,-0.05417,
-0.00122080000,-4.24000,0.01854,
-0.00122060000,-4.24000,0.06978,
-0.00122040000,-4.24000,0.02928,
-0.00122020000,-4.24000,0.02342,
-0.00122000000,-4.24000,0.04587,
-0.00121980000,-4.24000,0.02440,
-0.00121960000,-4.24000,0.02684,
-0.00121940000,-4.24000,0.04099,
-0.00121920000,-4.24000,0.03172,
-0.00121900000,-4.16000,0.02928,
-0.00121880000,-4.24000,0.03806,
-0.00121860000,-4.16000,0.03709,
-0.00121840000,-4.16000,0.03562,
-0.00121820000,-4.24000,0.03172,
-0.00121800000,-4.24000,0.03318,
-0.00121780000,-4.16000,0.03465,
-0.00121760000,-4.24000,0.01659,
-0.00121740000,-4.16000,0.03855,
-0.00121720013,-4.24000,0.03221,
-0.00121700013,-4.16000,0.03172,
-0.00121680013,-4.16000,0.04050,
-0.00121660013,-4.16000,0.04343,
-0.00121640013,-4.16000,0.03465,
-0.00121620013,-4.16000,0.03562,
-0.00121600000,-4.16000,0.04050,
-0.00121580000,-4.16000,0.04343,
-0.00121560000,-4.16000,0.04343,
-0.00121540000,-4.16000,0.03709,
-0.00121520000,-4.16000,0.03806,
-0.00121500000,-4.16000,0.03318,
-0.00121480000,-4.24000,0.03855,
-0.00121460000,-4.16000,0.03953,
-0.00121440000,-4.16000,0.03806,
-0.00121420000,-4.16000,0.03221,
-0.00121400000,-4.16000,0.03660,
-0.00121380000,-4.16000,0.03562,
-0.00121360000,-4.24000,0.03953,
-0.00121340000,-4.16000,0.03953,
-0.00121320000,-4.16000,0.03221,
-0.00121300000,-4.16000,0.03465,
-0.00121280000,-4.16000,0.03709,
-0.00121260000,-4.24000,0.03709,
-0.00121240000,-4.16000,0.03465,
