Source,CH1,CH2
Second,Volt,Volt
-0.12288,-2.376,0.224
-0.12286,-2.376,0.216
-0.12284,-2.4624,0.22
-0.12282,-2.5488,0.216
-0.1228,-2.5488,0.22
-0.12278,-2.5488,0.212
-0.12276,-2.5488,0.204
-0.12274,-2.592,0.208
-0.12272,-2.592,0.196
-0.1227,-2.592,0.196
-0.1226799875,-2.6784,0.188
-0.12266,-2.7648,0.192
-0.12264,-2.7648,0.188
-0.12262,-2.7648,0.18
-0.1226,-2.8512,0.18
-0.12258,-2.8512,0.164
-0.12256,-2.8512,0.164
-0.12254,-2.8512,0.164
-0.12252,-2.9376,0.156
-0.1225,-2.9376,0.156
-0.12248,-3.024,0.16
-0.12246,-3.024,0.152
-0.12244,-3.024,0.144
-0.12242,-3.1104,0.14
-0.1223999875,-3.1536,0.132
-0.12238,-3.1536,0.128
-0.12236,-3.1536,0.124
-0.1223399875,-3.1536,0.124
-0.12232,-3.1536,0.12
-0.1223,-3.24,0.116
-0.12228,-3.24,0.104
-0.12226,-3.3264,0.092
-0.12224,-3.3264,0.12
-0.12222,-3.3264,0.104
-0.1222,-3.4128,0.104
-0.12218,-3.4128,0.096
-0.12216,-3.4992,0.096
-0.12214,-3.4992,0.084
-0.12212,-3.4992,0.084
-0.1221,-3.4992,0.06
-0.12208,-3.5856,0.06
-0.1220599875,-3.5856,0.06
-0.12204,-3.672,0.064
-0.12202,-3.672,0.048
-0.122,-3.7152,0.044
-0.12198,-3.7152,0.036
-0.12196,-3.7152,0.02
-0.12194,-3.672,0.036
-0.12192,-3.672,0.024
-0.1219,-3.672,0.028
-0.12188,-3.5856,0.024
-0.12186,-3.5856,0.008
-0.12184,-3.5856,0.008
-0.12182,-3.4992,0.004
-0.1218,-3.4992,-0.004
-0.12178,-3.4992,0.004
-0.12176,-3.4128,-0.008
-0.12174,-3.4128,-0.008
-0.1217199875,-3.3264,-0.02
-0.1217,-3.3264,-0.012
-0.12168,-3.3264,-0.028
-0.12166,-3.3264,-0.032
-0.12164,-3.3264,-0.032
-0.12162,-3.24,-0.036
-0.1216,-3.1536,-0.044
-0.12158,-3.1536,-0.048
-0.12156,-3.1536,-0.056
-0.12154,-3.1536,-0.06
-0.12152,-3.1104,-0.068
-0.1215,-3.1104,-0.056
-0.12148,-3.024,-0.068
-0.12146,-3.024,-0.072
-0.1214399875,-3.024,-0.076
-0.12142,-3.024,-0.068
-0.1214,-2.9376,-0.084
-0.12138,-2.8512,-0.08
-0.12136,-2.8512,-0.092
-0.12134,-2.8512,-0.084
-0.12132,-2.8512,-0.092
-0.1213,-2.7648,-0.1
-0.12128,-2.7648,-0.1
-0.12126,-2.6784,-0.116
-0.12124,-2.6784,-0.116
-0.12122,-2.592,-0.112
-0.1212,-2.6784,-0.116
-0.12118,-2.592,-0.116
-0.12116,-2.5488,-0.12
-0.12114,-2.5488,-0.132
-0.12112,-2.5488,-0.132
-0.1210999875,-2.4624,-0.136
-0.12108,-2.4624,-0.14
-0.12106,-2.4624,-0.132
-0.12104,-2.376,-0.136
-0.12102,-2.376,-0.144
-0.121,-2.376,-0.152
-0.12098,-2.2032,-0.152
-0.12096,-2.2896,-0.148
