Source,CH1,CH2
Second,Volt,Volt
-0.61440000000,-3.28000,-1.52000,
-0.61430000000,-3.36000,-1.52000,
-0.61420000000,-3.36000,-1.56000,
-0.61410000000,-3.36000,-1.56000,
-0.61399993750,-3.36000,-1.56000,
-0.61390000000,-3.36000,-1.56000,
-0.61380000000,-3.36000,-1.60000,
-0.61370000000,-3.36000,-1.60000,
-0.61359993750,-3.36000,-1.64000,
-0.61350000000,-3.36000,-1.64000,
-0.61340000000,-3.44000,-1.64000,
-0.61329993750,-3.44000,-1.64000,
-0.61320000000,-3.44000,-1.68000,
-0.61310000000,-3.44000,-1.68000,
-0.61300000000,-3.44000,-1.68000,
-0.61289993750,-3.44000,-1.68000,
-0.61280000000,-3.52000,-1.68000,
-0.61270000000,-3.52000,-1.72000,
-0.61260000000,-3.44000,-1.72000,
-0.61250000000,-3.52000,-1.72000,
-0.61240000000,-3.52000,-1.72000,
-0.61230000000,-3.52000,-1.72000,
-0.61219993750,-3.52000,-1.76000,
-0.61210000000,-3.52000,-1.76000,
-0.61200000000,-3.52000,-1.76000,
-0.61190000000,-3.60000,-1.76000,
-0.61179993750,-3.60000,-1.80000,
-0.61170000000,-3.52000,-1.80000,
-0.61160000000,-3.60000,-1.80000,
-0.61149993750,-3.60000,-1.84000,
-0.61140000000,-3.60000,-1.84000,
-0.61130000000,-3.60000,-1.88000,
-0.61120000000,-3.60000,-1.88000,
-0.61109993750,-3.68000,-1.88000,
-0.61100000000,-3.68000,-1.92000,
-0.61090000000,-3.68000,-1.96000,
-0.61079993750,-3.68000,-1.92000,
-0.61070000000,-3.68000,-1.92000,
-0.61060000000,-3.76000,-1.96000,
-0.61050000000,-3.76000,-1.96000,
-0.61039993750,-3.68000,-1.96000,
-0.61030000000,-3.76000,-1.96000,
-0.61020000000,-3.76000,-2.00000,
-0.61010000000,-3.76000,-2.00000,
-0.61000000000,-3.76000,-2.04000,
-0.60990000000,-3.76000,-2.00000,
-0.60980000000,-3.76000,-2.04000,
-0.60969993750,-3.76000,-2.04000,
-0.60960000000,-3.76000,-2.04000,
-0.60950000000,-3.84000,-2.04000,
-0.60940000000,-3.84000,-2.08000,
-0.60929993750,-3.84000,-2.08000,
-0.60920000000,-3.84000,-2.12000,
-0.60910000000,-3.84000,-2.12000,
-0.60899993750,-3.92000,-2.12000,
-0.60890000000,-3.84000,-2.12000,
-0.60880000000,-3.84000,-2.16000,
-0.60870000000,-3.84000,-2.16000,
-0.60859993750,-3.84000,-2.16000,
-0.60850000000,-3.84000,-2.20000,
-0.60840000000,-3.84000,-2.16000,
-0.60830000000,-3.84000,-2.16000,
-0.60820000000,-3.84000,-2.16000,
-0.60810000000,-3.76000,-2.20000,
-0.60800000000,-3.76000,-2.20000,
-0.60789993750,-3.76000,-2.20000,
-0.60780000000,-3.76000,-2.24000,
-0.60770000000,-3.76000,-2.24000,
-0.60760000000,-3.76000,-2.24000,
-0.60749993750,-3.76000,-2.24000,
-0.60740000000,-3.68000,-2.24000,
-0.60730000000,-3.68000,-2.28000,
-0.60719993750,-3.68000,-2.28000,
-0.60710000000,-3.68000,-2.28000,
-0.60700000000,-3.68000,-2.28000,
-0.60690000000,-3.68000,-2.32000,
-0.60679993750,-3.60000,-2.28000,
-0.60670000000,-3.60000,-2.32000,
-0.60660000000,-3.68000,-2.32000,
-0.60650000000,-3.60000,-2.36000,
-0.60640000000,-3.60000,-2.36000,
-0.60630000000,-3.60000,-2.32000,
-0.60620000000,-3.60000,-2.36000,
-0.60609993750,-3.60000,-2.36000,
-0.60600000000,-3.60000,-2.36000,
-0.60590000000,-3.60000,-2.36000,
-0.60580000000,-3.52000,-2.40000,
-0.60569993750,-3.52000,-2.36000,
-0.60560000000,-3.52000,-2.44000,
-0.60550000000,-3.52000,-2.36000,
-0.60539993750,-3.52000,-2.40000,
-0.60530000000,-3.52000,-2.40000,
-0.60520000000,-3.52000,-2.44000,
-0.60510000000,-3.44000,-2.44000,
-0.60499993750,-3.44000,-2.44000,
-0.60490000000,-3.44000,-2.48000,
-0.60480000000,-3.44000,-2.44000,
-0.60470000000,-3.44000,-2.44000,
-0.60460000000,-3.44000,-2.48000,
-0.60450000000,-3.44000,-2.44000,
-0.60440000000,-3.36000,-2.44000,
-0.60429993750,-3.36000,-2.48000,
-0.60420000000,-3.44000,-2.44000,
-0.60410000000,-3.36000,-2.48000,
-0.60400000000,-3.36000,-2.52000,
-0.60389993750,-3.36000,-2.48000,
-0.60380000000,-3.36000,-2.52000,
-0.60370000000,-3.36000,-2.48000,
-0.60359993750,-3.36000,-2.48000,
-0.60350000000,-3.28000,-2.48000,
-0.60340000000,-3.28000,-2.48000,
-0.60330000000,-3.28000,-2.48000,
-0.60319993750,-3.28000,-2.52000,
-0.60310000000,-3.28000,-2.52000,
-0.60300000000,-3.28000,-2.56000,
-0.60289993750,-3.20000,-2.52000,
-0.60280000000,-3.28000,-2.48000,
-0.60270000000,-3.20000,-2.52000,
-0.60260000000,-3.20000,-2.52000,
-0.60249993750,-3.20000,-2.56000,
-0.60240000000,-3.20000,-2.56000,
-0.60230000000,-3.20000,-2.56000,
-0.60220000000,-3.12000,-2.56000,
-0.60209993750,-3.12000,-2.56000,
-0.60200000000,-3.12000,-2.56000,
-0.60190000000,-3.12000,-2.56000,
-0.60179993750,-3.12000,-2.52000,
-0.60170000000,-3.12000,-2.56000,
-0.60160000000,-3.12000,-2.60000,
-0.60150000000,-3.12000,-2.60000,
-0.60139993750,-3.12000,-2.56000,
-0.60130000000,-3.12000,-2.60000,
-0.60120000000,-3.12000,-2.56000,
-0.60109993750,-3.12000,-2.60000,
-0.60100000000,-3.04000,-2.56000,
-0.60090000000,-3.04000,-2.60000,
-0.60080000000,-3.04000,-2.60000,
-0.60069993750,-3.04000,-2.60000,
-0.60060000000,-3.04000,-2.60000,
-0.60050000000,-2.96000,-2.60000,
-0.60040000000,-3.04000,-2.64000,
-0.60030000000,-2.96000,-2.64000,
-0.60020000000,-2.96000,-2.64000,
-0.60010000000,-2.96000,-2.60000,
-0.59999993750,-2.96000,-2.60000,
-0.59990000000,-2.96000,-2.60000,
-0.59980000000,-2.96000,-2.60000,
-0.59970000000,-2.96000,-2.60000,
-0.59959993750,-2.96000,-2.60000,
-0.59950000000,-2.88000,-2.60000,
-0.59940000000,-2.88000,-2.60000,
-0.59929993750,-2.88000,-2.64000,
-0.59920000000,-2.88000,-2.60000,
-0.59910000000,-2.88000,-2.60000,
-0.59900000000,-2.88000,-2.64000,
-0.59889993750,-2.80000,-2.60000,
-0.59880000000,-2.80000,-2.60000,
-0.59870000000,-2.80000,-2.60000,
-0.59860000000,-2.88000,-2.64000,
-0.59850000000,-2.80000,-2.60000,
-0.59840000000,-2.72000,-2.60000,
-0.59830000000,-2.80000,-2.60000,
-0.59819993750,-2.80000,-2.64000,
-0.59810000000,-2.72000,-2.60000,
-0.59800000000,-2.72000,-2.60000,
-0.59790000000,-2.72000,-2.64000,
-0.59779993750,-2.72000,-2.64000,
-0.59770000000,-2.72000,-2.60000,
-0.59760000000,-2.72000,-2.60000,
-0.59749993750,-2.72000,-2.60000,
-0.59740000000,-2.72000,-2.60000,
-0.59730000000,-2.64000,-2.64000,
-0.59720000000,-2.64000,-2.60000,
-0.59709993750,-2.64000,-2.60000,
-0.59700000000,-2.56000,-2.60000,
-0.59690000000,-2.64000,-2.64000,
-0.59680000000,-2.64000,-2.60000,
-0.59670000000,-2.56000,-2.60000,
-0.59660000000,-2.56000,-2.60000,
-0.59650000000,-2.56000,-2.60000,
-0.59639993750,-2.56000,-2.64000,
-0.59630000000,-2.56000,-2.60000,
-0.59620000000,-2.56000,-2.60000,
-0.59610000000,-2.56000,-2.64000,
-0.59599993750,-2.56000,-2.60000,
-0.59590000000,-2.56000,-2.60000,
-0.59580000000,-2.48000,-2.60000,
-0.59569993750,-2.48000,-2.60000,
-0.59560000000,-2.48000,-2.60000,
-0.59550000000,-2.48000,-2.60000,
-0.59540000000,-2.48000,-2.60000,
-0.59529993750,-2.48000,-2.64000,
-0.59520000000,-2.40000,-2.64000,
-0.59510000000,-2.40000,-2.60000,
-0.59500000000,-2.40000,-2.60000,
-0.59490000000,-2.40000,-2.60000,
-0.59480000000,-2.40000,-2.60000,
-0.59470000000,-2.40000,-2.60000,
-0.59459993750,-2.32000,-2.60000,
-0.59450000000,-2.32000,-2.60000,
-0.59440000000,-2.40000,-2.56000,
-0.59430000000,-2.32000,-2.60000,
-0.59419993750,-2.32000,-2.60000,
-0.59410000000,-2.32000,-2.60000,
-0.59400000000,-2.32000,-2.56000,
-0.59389993750,-2.32000,-2.56000,
-0.59380000000,-2.32000,-2.56000,
-0.59370000000,-2.24000,-2.56000,
-0.59360000000,-2.24000,-2.56000,
-0.59349993750,-2.24000,-2.56000,
-0.59340000000,-2.24000,-2.56000,
-0.59330000000,-2.24000,-2.60000,
-0.59319993750,-2.16000,-2.56000,
-0.59310000000,-2.24000,-2.56000,
-0.59300000000,-2.24000,-2.56000,
-0.59290000000,-2.16000,-2.56000,
-0.59279993750,-2.16000,-2.52000,
-0.59270000000,-2.16000,-2.56000,
-0.59260000000,-2.16000,-2.52000,
-0.59250000000,-2.16000,-2.56000,
-0.59240000000,-2.16000,-2.52000,
-0.59230000000,-2.16000,-2.52000,
-0.59220000000,-2.16000,-2.52000,
-0.59209993750,-2.16000,-2.52000,
-0.59200000000,-2.08000,-2.52000,
-0.59190000000,-2.00000,-2.52000,
-0.59180000000,-2.08000,-2.52000,
-0.59169993750,-2.08000,-2.48000,
-0.59160000000,-2.08000,-2.48000,
-0.59150000000,-2.08000,-2.52000,
-0.59139993750,-2.08000,-2.48000,
-0.59130000000,-2.00000,-2.48000,
-0.59120000000,-2.00000,-2.48000,
-0.59110000000,-2.00000,-2.48000,
-0.59099993750,-1.92000,-2.48000,
-0.59090000000,-2.00000,-2.48000,
-0.59080000000,-2.00000,-2.48000,
-0.59070000000,-1.92000,-2.48000,
-0.59060000000,-1.92000,-2.44000,
-0.59050000000,-1.92000,-2.48000,
-0.59040000000,-1.92000,-2.44000,
-0.59029993750,-1.92000,-2.44000,
-0.59020000000,-1.92000,-2.44000,
-0.59010000000,-1.84000,-2.44000,
-0.59000000000,-1.84000,-2.44000,
-0.58989993750,-1.84000,-2.44000,
-0.58980000000,-1.84000,-2.40000,
-0.58970000000,-1.84000,-2.40000,
-0.58959993750,-1.84000,-2.44000,
-0.58950000000,-1.76000,-2.44000,
-0.58940000000,-1.76000,-2.44000,
-0.58930000000,-1.76000,-2.44000,
-0.58919993750,-1.76000,-2.40000,
-0.58910000000,-1.76000,-2.40000,
-0.58900000000,-1.76000,-2.40000,
-0.58890000000,-1.76000,-2.40000,
-0.58880000000,-1.76000,-2.40000,
-0.58870000000,-1.76000,-2.36000,
-0.58860000000,-1.68000,-2.40000,
-0.58849993750,-1.68000,-2.40000,
-0.58840000000,-1.68000,-2.36000,
-0.58830000000,-1.68000,-2.36000,
-0.58820000000,-1.68000,-2.36000,
-0.58809993750,-1.60000,-2.40000,
-0.58800000000,-1.60000,-2.36000,
-0.58790000000,-1.60000,-2.32000,
-0.58779993750,-1.60000,-2.32000,
-0.58770000000,-1.60000,-2.32000,
-0.58760000000,-1.60000,-2.36000,
-0.58750000000,-1.52000,-2.36000,
-0.58739993750,-1.52000,-2.32000,
-0.58730000000,-1.52000,-2.32000,
-0.58720000000,-1.52000,-2.32000,
-0.58710000000,-1.52000,-2.32000,
-0.58700000000,-1.52000,-2.32000,
-0.58690000000,-1.52000,-2.28000,
-0.58680000000,-1.52000,-2.28000,
-0.58669993750,-1.52000,-2.28000,
-0.58660000000,-1.52000,-2.28000,
-0.58650000000,-1.44000,-2.28000,
-0.58640000000,-1.44000,-2.28000,
-0.58629993750,-1.44000,-2.24000,
-0.58620000000,-1.44000,-2.28000,
-0.58610000000,-1.36000,-2.24000,
-0.58599993750,-1.44000,-2.24000,
-0.58590000000,-1.44000,-2.20000,
-0.58580000000,-1.44000,-2.20000,
-0.58570000000,-1.36000,-2.20000,
-0.58559993750,-1.36000,-2.20000,
-0.58550000000,-1.44000,-2.24000,
-0.58540000000,-1.36000,-2.20000,
-0.58529993750,-1.36000,-2.16000,
-0.58520000000,-1.28000,-2.20000,
-0.58510000000,-1.28000,-2.20000,
-0.58500000000,-1.28000,-2.16000,
-0.58489993750,-1.28000,-2.16000,
-0.58480000000,-1.28000,-2.16000,
-0.58470000000,-1.28000,-2.16000,
-0.58460000000,-1.28000,-2.16000,
-0.58450000000,-1.28000,-2.16000,
-0.58440000000,-1.20000,-2.16000,
-0.58430000000,-1.20000,-2.16000,
-0.58419993750,-1.20000,-2.16000,
-0.58410000000,-1.20000,-2.16000,
-0.58400000000,-1.20000,-2.12000,
-0.58390000000,-1.20000,-2.12000,
-0.58379993750,-1.12000,-2.12000,
-0.58370000000,-1.20000,-2.12000,
-0.58360000000,-1.12000,-2.08000,
-0.58349993750,-1.12000,-2.08000,
-0.58340000000,-1.12000,-2.08000,
-0.58330000000,-1.12000,-2.08000,
-0.58320000000,-1.12000,-2.08000,
-0.58309993750,-1.04000,-2.04000,
-0.58300000000,-1.12000,-2.04000,
-0.58290000000,-1.12000,-2.08000,
-0.58280000000,-1.04000,-2.04000,
