Source,CH1,CH2
Second,Volt,Volt
-0.00122880000,-0.40000,-0.03120,
-0.00122860000,-0.40000,-0.02880,
-0.00122840000,-0.40000,-0.02400,
-0.00122820000,-0.40000,-0.02880,
-0.00122800000,-0.40000,-0.02720,
-0.00122780000,-0.40000,-0.02720,
-0.00122760000,-0.40000,-0.02480,
-0.00122740000,-0.40000,-0.02880,
-0.00122720000,-0.48000,-0.02640,
-0.00122700000,-0.48000,-0.02560,
-0.00122680000,-0.48000,-0.03040,
-0.00122660000,-0.48000,-0.02800,
-0.00122640000,-0.48000,-0.02480,
-0.00122620000,-0.48000,-0.02960,
-0.00122600000,-0.48000,-0.03200,
-0.00122580000,-0.48000,-0.03440,
-0.00122560000,-0.48000,-0.03360,
-0.00122540000,-0.48000,-0.03200,
-0.00122520000,-0.48000,-0.02960,
-0.00122500000,-0.56000,-0.03600,
-0.00122480000,-0.56000,-0.03840,
-0.00122460000,-0.48000,-0.04080,
-0.00122440000,-0.56000,-0.03600,
-0.00122420000,-0.48000,-0.04160,
-0.00122400000,-0.56000,-0.04320,
-0.00122380000,-0.56000,-0.03760,
-0.00122360000,-0.56000,-0.03920,
-0.00122340000,-0.64000,-0.03920,
-0.00122320000,-0.56000,-0.04320,
-0.00122300000,-0.56000,-0.03760,
-0.00122280000,-0.56000,-0.03680,
-0.00122260000,-0.56000,-0.03920,
-0.00122240000,-0.56000,-0.03920,
-0.00122220000,-0.56000,-0.03200,
-0.00122200000,-0.64000,-0.04160,
-0.00122180000,-0.64000,-0.03440,
-0.00122160000,-0.64000,-0.03600,
-0.00122140000,-0.56000,-0.03440,
-0.00122120000,-0.56000,-0.02960,
-0.00122100000,-0.64000,-0.03440,
-0.00122080000,-0.64000,-0.03200,
-0.00122060000,-0.64000,-0.02880,
-0.00122040000,-0.72000,-0.02640,
-0.00122020000,-0.64000,-0.02800,
-0.00122000000,-0.64000,-0.03040,
-0.00121980000,-0.64000,-0.02960,
-0.00121960000,-0.72000,-0.02960,
-0.00121940000,-0.64000,-0.03360,
-0.00121920000,-0.72000,-0.02560,
-0.00121900000,-0.72000,-0.02960,
-0.00121880000,-0.72000,-0.03680,
-0.00121860000,-0.72000,-0.03760,
-0.00121840000,-0.72000,-0.03040,
-0.00121820000,-0.72000,-0.04000,
-0.00121800000,-0.72000,-0.03840,
-0.00121780000,-0.72000,-0.03600,
-0.00121760000,-0.72000,-0.03840,
-0.00121740000,-0.80000,-0.03360,
-0.00121720013,-0.80000,-0.03680,
-0.00121700013,-0.80000,-0.03840,
-0.00121680013,-0.72000,-0.04080,
-0.00121660013,-0.80000,-0.04240,
-0.00121640013,-0.80000,-0.04160,
-0.00121620013,-0.88000,-0.03600,
-0.00121600000,-0.80000,-0.03520,
-0.00121580000,-0.88000,-0.04480,
-0.00121560000,-0.88000,-0.04000,
-0.00121540000,-0.88000,-0.03200,
-0.00121520000,-0.88000,-0.03760,
-0.00121500000,-0.80000,-0.03200,
-0.00121480000,-0.80000,-0.03200,
-0.00121460000,-0.88000,-0.03200,
-0.00121440000,-0.88000,-0.03360,
-0.00121420000,-0.88000,-0.03040,
-0.00121400000,-0.88000,-0.03520,
-0.00121380000,-0.88000,-0.03440,
-0.00121360000,-0.96000,-0.03040,
-0.00121340000,-0.88000,-0.03120,
-0.00121320000,-0.88000,-0.03600,
-0.00121300000,-0.88000,-0.03360,
-0.00121280000,-0.96000,-0.03280,
-0.00121260000,-0.96000,-0.03600,
-0.00121240000,-0.96000,-0.03600,
-0.00121220000,-0.96000,-0.04320,
-0.00121200000,-0.96000,-0.04240,
-0.00121180000,-0.96000,-0.03600,
-0.00121160000,-0.96000,-0.03920,
-0.00121140000,-0.96000,-0.03760,
-0.00121120000,-0.96000,-0.03840,
-0.00121100000,-0.96000,-0.04080,
-0.00121080000,-1.04000,-0.04240,
-0.00121060000,-1.04000,-0.03200,
-0.00121040000,-1.04000,-0.04000,
-0.00121020000,-1.04000,-0.03360,
-0.00121000000,-1.04000,-0.03440,
-0.00120980000,-1.04000,-0.02640,
-0.00120960000,-1.04000,-0.03360,
-0.00120940000,-1.04000,-0.02880,
-0.00120920000,-1.12000,-0.03360,
-0.00120900000,-1.04000,-0.03200,
-0.00120880000,-1.12000,-0.02960,
-0.00120860000,-1.12000,-0.02560,
-0.00120840000,-1.04000,-0.02080,
-0.00120820000,-1.12000,-0.02880,
-0.00120800000,-1.12000,-0.02560,
-0.00120780000,-1.12000,-0.02240,
-0.00120760000,-1.12000,-0.02640,
-0.00120740000,-1.12000,-0.01840,
-0.00120720000,-1.12000,-0.02320,
-0.00120700000,-1.12000,-0.02080,
-0.00120680000,-1.12000,-0.02560,
-0.00120660000,-1.20000,-0.02640,
-0.00120640000,-1.12000,-0.02240,
-0.00120620000,-1.20000,-0.02880,
-0.00120600000,-1.20000,-0.02480,
-0.00120580000,-1.20000,-0.03040,
-0.00120560000,-1.20000,-0.03040,
-0.00120540000,-1.20000,-0.02960,
-0.00120520000,-1.20000,-0.02640,
-0.00120500000,-1.20000,-0.03200,
-0.00120480000,-1.20000,-0.03840,
-0.00120460000,-1.20000,-0.03600,
-0.00120440000,-1.20000,-0.03760,
-0.00120420000,-1.20000,-0.03680,
-0.00120400000,-1.28000,-0.03600,
-0.00120380000,-1.20000,-0.03280,
-0.00120360000,-1.28000,-0.03520,
-0.00120340000,-1.28000,-0.02880,
-0.00120320000,-1.28000,-0.03200,
-0.00120300000,-1.28000,-0.03280,
-0.00120280000,-1.28000,-0.03120,
-0.00120260000,-1.28000,-0.03040,
-0.00120240000,-1.28000,-0.02640,
-0.00120220000,-1.28000,-0.02720,
-0.00120200013,-1.28000,-0.02080,
-0.00120180013,-1.28000,-0.02480,
-0.00120160013,-1.36000,-0.02560,
-0.00120140013,-1.36000,-0.02160,
-0.00120120013,-1.36000,-0.01600,
-0.00120100013,-1.36000,-0.02000,
-0.00120080013,-1.36000,-0.02160,
-0.00120060000,-1.36000,-0.01760,
-0.00120040000,-1.36000,-0.02080,
-0.00120020000,-1.36000,-0.02240,
-0.00120000000,-1.36000,-0.02400,
-0.00119980000,-1.44000,-0.02640,
-0.00119960000,-1.36000,-0.02320,
-0.00119940000,-1.36000,-0.02320,
-0.00119920000,-1.44000,-0.02320,
-0.00119900000,-1.36000,-0.03040,
-0.00119880000,-1.36000,-0.02720,
-0.00119860000,-1.36000,-0.03680,
-0.00119840000,-1.44000,-0.03600,
-0.00119820000,-1.44000,-0.03760,
-0.00119800000,-1.44000,-0.03440,
-0.00119780000,-1.52000,-0.03600,
-0.00119760000,-1.44000,-0.03680,
-0.00119740000,-1.44000,-0.03680,
-0.00119720000,-1.44000,-0.04000,
-0.00119700000,-1.44000,-0.03600,
-0.00119680000,-1.44000,-0.03760,
-0.00119660000,-1.44000,-0.03440,
-0.00119640000,-1.44000,-0.03520,
-0.00119620000,-1.44000,-0.03440,
-0.00119600000,-1.44000,-0.03200,
-0.00119580000,-1.44000,-0.03520,
-0.00119560000,-1.52000,-0.02720,
-0.00119540000,-1.52000,-0.02880,
-0.00119520000,-1.52000,-0.02960,
-0.00119500000,-1.52000,-0.02560,
-0.00119480000,-1.52000,-0.02640,
-0.00119460000,-1.52000,-0.02720,
-0.00119440000,-1.52000,-0.03040,
-0.00119420000,-1.52000,-0.02320,
-0.00119400000,-1.52000,-0.02960,
-0.00119380000,-1.60000,-0.02880,
-0.00119360000,-1.60000,-0.02800,
-0.00119340000,-1.52000,-0.02800,
