#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	468	0.050	588
0.076	468	0.101	592
0.127	469	0.151	593
0.177	469	0.203	596
0.228	470	0.253	597
0.278	471	0.304	598
0.329	472	0.354	598
0.380	472	0.405	597
0.431	472	0.455	596
0.481	473	0.507	594
0.532	472	0.557	592
0.582	473	0.608	589
0.634	473	0.658	585
0.684	472	0.709	581
0.735	472	0.760	579
0.785	471	0.811	576
0.836	470	0.861	573
0.887	469	0.912	571
0.938	469	0.962	570
0.988	468	1.014	570
1.039	467	1.064	570
1.089	467	1.115	570
1.140	467	1.165	572
1.191	466	1.216	574
1.242	466	1.266	576
1.292	467	1.318	579
1.343	467	1.368	583
1.393	467	1.419	586
1.445	468	1.469	588
1.495	469	1.520	592
1.546	469	1.571	594
1.596	470	1.622	596
1.647	471	1.672	597
1.698	472	1.723	597
1.749	472	1.773	597
1.799	472	1.825	596
1.850	472	1.875	594
1.900	471	1.926	592
1.952	470	1.976	590
2.002	469	2.027	586
2.053	468	2.077	582
2.103	467	2.129	581
2.154	465	2.179	580
2.204	464	2.230	578
2.256	463	2.280	578
2.306	462	2.331	577
2.357	461	2.382	578
2.407	462	2.433	579
2.458	461	2.483	580
2.509	461	2.534	581
2.560	459	2.584	584
2.610	456	2.636	585
2.661	454	2.686	587
2.711	453	2.737	589
2.763	450	2.787	587
2.813	449	2.838	587
2.864	448	2.888	586
2.914	448	2.940	584
2.965	448	2.990	582
3.015	447	3.041	583
3.067	447	3.091	583
3.117	447	3.142	585
3.168	445	3.193	585
3.218	444	3.244	586
3.269	444	3.294	587
3.320	444	3.345	588
3.371	442	3.395	588
3.421	442	3.447	590
3.472	441	3.497	591
3.522	440	3.548	593
3.574	439	3.598	595
3.624	439	3.649	599
3.675	437	3.699	604
3.725	436	3.751	610
3.776	436	3.801	616
3.826	435	3.852	623
3.878	434	3.902	630
3.928	433	3.953	637
3.979	432	4.004	643
4.029	432	4.055	650
4.080	430	4.105	657
4.131	428	4.156	663
4.182	425	4.206	670
4.232	421	4.258	676
4.283	418	4.308	683
4.333	415	4.359	691
4.385	412	4.409	698
4.435	409	4.460	706
4.486	407	4.510	715
4.536	406	4.562	723
4.587	404	4.612	731
4.637	403	4.663	738
4.689	402	4.713	743
4.739	400	4.764	749
4.790	397	4.815	753
4.840	395	4.866	757
4.891	393	4.916	761
4.942	392	4.967	765
4.993	390	5.017	769
5.043	389	5.069	773
5.094	389	5.119	779
5.144	387	5.170	783
5.196	387	5.220	788
5.246	385	5.271	793
5.297	384	5.321	799
5.347	381	5.373	804
5.398	380	5.423	809
5.448	379	5.474	812
5.500	377	5.524	816
5.550	376	5.575	818
5.601	375	5.626	818
5.651	373	5.677	819
5.702	371	5.727	820
5.753	368	5.778	820
5.804	365	5.828	821
5.854	361	5.880	822
5.905	358	5.930	823
5.955	353	5.981	824
6.007	348	6.031	826
6.057	345	6.082	827
6.108	340	6.132	828
6.158	335	6.184	829
6.209	329	6.235	830
6.259	321	6.285	831
6.311	313	6.336	832
6.361	305	6.386	832
6.412	298	6.438	832
6.462	291	6.488	832
6.513	286	6.539	832
6.564	282	6.589	831
6.615	278	6.640	831
6.665	277	6.691	831
6.716	277	6.742	830
6.766	276	6.792	830
6.818	275	6.843	828
6.868	274	6.893	828
6.919	274	6.945	828
6.969	274	6.995	827
7.020	273	7.046	827
7.070	273	7.096	826
7.122	271	7.147	824
7.172	270	7.197	822
7.223	270	7.249	820
7.273	270	7.299	818
7.324	270	7.350	816
7.375	269	7.400	815
7.426	269	7.451	814
7.476	270	7.502	813
7.527	270	7.553	814
7.577	270	7.603	814
7.629	270	7.654	815
7.679	270	7.704	816
7.730	270	7.756	816
7.780	271	7.806	816
7.831	272	7.857	815
7.881	273	7.907	814
7.933	274	7.958	812
7.983	275	8.008	809
8.034	275	8.060	806
8.084	274	8.110	803
8.135	273	8.161	801
8.186	272	8.211	797
8.237	272	8.262	795
8.287	272	8.313	795
8.338	273	8.364	794
8.388	272	8.414	795
8.440	273	8.465	796
8.490	274	8.515	796
8.541	275	8.567	795
8.591	276	8.617	794
8.642	277	8.668	793
8.692	279	8.718	792
