#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	330	0.051	787
0.076	325	0.102	788
0.127	321	0.153	789
0.177	315	0.203	789
0.228	307	0.254	790
0.279	301	0.304	790
0.330	297	0.355	791
0.380	295	0.406	790
0.431	296	0.457	789
0.481	298	0.507	788
0.533	301	0.558	788
0.583	305	0.608	789
0.634	307	0.660	789
0.684	308	0.710	790
0.735	308	0.761	792
0.786	307	0.811	793
0.837	305	0.862	794
0.887	303	0.913	794
0.938	301	0.964	794
0.988	300	1.014	793
1.040	300	1.065	793
1.090	301	1.115	792
1.141	303	1.166	792
1.191	304	1.217	792
1.242	305	1.268	793
1.292	307	1.318	793
1.344	307	1.369	794
1.394	307	1.419	794
1.445	307	1.471	795
1.495	306	1.521	795
1.546	305	1.572	795
1.597	305	1.622	794
1.648	305	1.673	794
1.698	304	1.724	794
1.749	304	1.775	794
1.799	304	1.825	795
1.851	305	1.876	795
1.901	305	1.926	796
1.952	305	1.977	796
2.002	307	2.028	796
2.053	308	2.079	795
2.103	308	2.129	794
2.155	308	2.180	793
2.205	308	2.230	793
2.256	308	2.282	794
2.306	308	2.332	792
2.357	308	2.383	792
2.408	309	2.433	792
2.459	309	2.484	792
2.509	309	2.535	791
2.560	309	2.586	791
2.610	309	2.636	791
2.662	310	2.687	790
2.712	309	2.737	790
2.763	310	2.788	789
2.813	310	2.839	790
2.864	309	2.890	788
2.914	309	2.940	787
2.966	309	2.991	785
3.016	308	3.041	783
3.067	308	3.093	781
3.117	309	3.143	779
3.168	310	3.194	778
3.219	311	3.244	778
3.270	312	3.295	778
3.320	314	3.346	779
3.371	316	3.397	779
3.421	318	3.447	781
3.473	320	3.498	781
3.523	321	3.548	782
3.574	323	3.600	783
3.624	324	3.650	784
3.675	324	3.701	785
3.725	324	3.751	787
3.777	325	3.802	787
3.827	325	3.852	787
3.878	324	3.904	787
3.928	323	3.954	786
3.979	322	4.005	785
4.030	322	4.055	785
4.081	322	4.106	785
4.131	322	4.157	785
4.182	321	4.208	786
4.232	320	4.258	788
4.284	320	4.309	788
4.334	318	4.359	790
4.385	318	4.411	790
4.435	316	4.461	790
4.486	314	4.512	789
4.536	314	4.562	790
4.588	312	4.613	789
4.638	312	4.663	788
4.689	312	4.715	787
4.739	312	4.765	787
4.790	312	4.816	787
4.841	312	4.866	787
4.892	312	4.917	788
4.942	312	4.968	788
4.993	311	5.019	788
5.043	311	5.069	788
5.095	311	5.120	789
5.145	310	5.170	788
5.196	311	5.222	789
5.246	311	5.272	789
5.297	312	5.323	788
5.347	311	5.373	788
5.399	311	5.424	787
5.449	311	5.474	787
5.500	311	5.526	787
5.550	312	5.576	786
5.601	317	5.627	780
5.652	332	5.677	764
5.703	354	5.728	738
5.753	384	5.779	703
5.804	419	5.830	662
5.854	458	5.880	615
5.906	498	5.931	568
5.956	538	5.981	520
6.007	574	6.033	474
6.057	606	6.083	435
6.108	632	6.134	403
6.158	650	6.184	380
6.210	658	6.235	369
6.260	656	6.285	370
6.311	647	6.337	381
6.361	628	6.387	403
6.412	603	6.438	434
6.463	570	6.488	472
6.514	533	6.539	516
6.564	493	6.590	564
6.615	453	6.641	611
6.665	416	6.691	656
6.717	380	6.742	698
6.767	350	6.792	732
6.818	330	6.844	758
6.868	315	6.894	774
6.919	313	6.945	779
6.969	318	6.995	774
7.021	332	7.046	761
7.071	355	7.096	735
7.122	383	7.148	701
7.172	417	7.198	662
7.223	455	7.249	618
7.275	496	7.299	571
7.325	534	7.350	525
7.376	572	7.401	481
7.426	604	7.452	443
7.477	629	7.502	411
7.528	647	7.553	388
7.579	656	7.603	377
7.629	655	7.655	377
7.680	646	7.705	385
7.730	628	7.756	406
7.782	603	7.806	436
7.832	572	7.857	472
7.883	535	7.907	513
7.933	496	7.959	559
7.984	456	8.009	605
8.034	418	8.060	650
8.086	383	8.110	690
8.136	353	8.161	725
8.187	331	8.212	751
8.237	317	8.263	767
8.288	313	8.313	773
8.339	318	8.364	769
8.390	331	8.414	757
8.440	352	8.466	733
8.491	380	8.516	702
8.541	414	8.567	663
8.593	453	8.617	621
8.643	491	8.668	575
8.694	531	8.718	530
8.744	567	8.770	487
8.795	600	8.820	449
8.845	627	8.871	417
8.897	645	8.921	394
8.947	654	8.972	382
8.998	654	9.023	382
9.048	647	9.074	389
9.099	630	9.124	409
9.150	605	9.175	437
9.201	575	9.225	471
9.251	538	9.277	512
9.302	499	9.327	557
9.352	460	9.378	602
9.404	421	9.428	645
9.454	386	9.479	685
9.505	356	9.529	718
9.555	333	9.581	744
9.606	318	9.631	760
9.656	313	9.682	767
9.708	317	9.732	764
9.758	330	9.783	752
9.809	351	9.834	730
9.859	379	9.885	701
9.910	412	9.935	664
9.961	449	9.986	622
10.012	489	10.036	578
10.062	528	10.088	534
10.113	564	10.138	492
10.163	597	10.189	455
10.215	623	10.239	424
10.265	643	10.290	403
10.316	653	10.340	390
10.366	654	10.392	388
10.417	647	10.443	394
10.467	631	10.493	414
10.519	607	10.544	439
10.569	577	10.594	473
10.620	542	10.646	512
10.670	503	10.696	555
10.721	463	10.747	598
10.772	424	10.797	640
10.823	389	10.848	679
10.873	359	10.899	713
10.924	335	10.950	739
10.974	320	11.000	755
11.026	314	11.051	762
11.076	318	11.101	760
11.127	329	11.153	749
11.177	350	11.203	727
11.228	376	11.254	699
11.278	408	11.304	663
11.330	446	11.355	623
11.380	485	11.405	581
11.431	524	11.457	538
11.481	561	11.507	497
11.532	594	11.558	461
11.583	621	11.608	431
11.634	641	11.659	408
11.684	651	11.710	395
11.735	653	11.761	394
11.785	647	11.811	400
11.837	633	11.862	416
11.887	610	11.912	442
11.938	580	11.964	474
11.988	545	12.014	512
12.039	507	12.065	553
12.089	467	12.115	596
12.141	429	12.166	637
12.191	393	12.216	675
12.242	363	12.268	708
12.292	338	12.318	733
12.343	322	12.369	749
12.394	316	12.419	757
12.445	318	12.470	754
12.495	328	12.521	744
12.546	348	12.572	724
12.596	373	12.622	696
12.648	405	12.673	662
12.698	442	12.723	624
12.749	480	12.775	582
12.799	520	12.825	541
12.850	556	12.876	501
12.900	590	12.926	465
