#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	654	0.051	782
0.076	653	0.101	782
0.126	652	0.152	783
0.178	652	0.202	783
0.228	652	0.253	784
0.279	652	0.303	784
0.329	652	0.355	783
0.380	652	0.405	783
0.430	652	0.456	782
0.482	652	0.506	781
0.532	652	0.557	781
0.583	652	0.608	781
0.633	652	0.659	781
0.684	652	0.709	782
0.735	652	0.760	782
0.786	653	0.811	782
0.836	652	0.862	782
0.887	652	0.913	782
0.937	652	0.963	781
0.989	652	1.014	780
1.039	652	1.064	779
1.090	652	1.116	779
1.140	653	1.166	779
1.191	652	1.217	780
1.241	653	1.267	781
1.293	653	1.318	782
1.343	654	1.368	783
1.394	654	1.420	784
1.444	655	1.470	785
1.495	656	1.521	786
1.546	656	1.571	787
1.597	657	1.622	787
1.647	658	1.673	789
1.698	658	1.724	789
1.748	656	1.774	789
1.800	655	1.825	788
1.850	651	1.875	781
1.901	638	1.927	763
1.951	620	1.977	736
2.002	591	2.028	701
2.052	557	2.078	661
2.104	518	2.129	618
2.154	478	2.179	570
2.205	436	2.231	524
2.255	397	2.281	481
2.306	361	2.332	443
2.357	330	2.382	412
2.408	306	2.433	390
2.458	291	2.484	378
2.509	288	2.535	377
2.559	293	2.585	385
2.611	305	2.636	404
2.661	326	2.686	431
2.712	354	2.738	467
2.762	388	2.788	508
2.813	428	2.839	552
2.863	468	2.889	599
2.915	508	2.940	644
2.965	547	2.990	686
3.016	582	3.042	723
3.066	611	3.092	751
3.117	633	3.143	773
3.168	646	3.193	783
3.219	651	3.244	784
3.269	647	3.295	777
3.320	634	3.346	759
3.370	612	3.396	732
3.422	585	3.447	697
3.472	551	3.497	657
3.523	512	3.549	614
3.573	472	3.599	567
3.624	432	3.650	523
3.675	393	3.700	481
3.726	359	3.751	444
3.776	330	3.801	414
3.827	308	3.853	392
3.877	295	3.903	381
3.928	291	3.954	380
3.979	296	4.004	388
4.030	310	4.055	408
4.080	331	4.106	435
4.131	359	4.157	469
4.181	393	4.207	510
4.233	432	4.258	554
4.283	472	4.308	600
4.334	511	4.360	645
4.384	549	4.410	686
4.435	583	4.461	722
4.486	611	4.511	751
4.537	631	4.562	771
4.587	643	4.612	781
4.638	646	4.664	781
4.688	642	4.714	774
4.739	629	4.765	755
4.790	607	4.815	729
4.841	579	4.866	695
4.892	545	4.917	655
4.942	508	4.968	611
4.993	468	5.018	567
5.044	429	5.069	522
5.095	392	5.119	480
5.145	358	5.171	444
5.196	330	5.221	414
5.246	309	5.272	393
5.298	297	5.322	383
5.348	295	5.373	382
5.399	300	5.423	391
5.449	314	5.475	410
5.500	336	5.525	438
5.550	364	5.576	473
5.602	399	5.626	514
5.652	437	5.677	558
5.703	475	5.728	603
5.753	514	5.779	647
5.804	550	5.829	687
5.855	584	5.880	722
5.906	610	5.930	751
5.956	630	5.982	770
6.007	641	6.032	779
6.057	643	6.083	779
6.109	637	6.133	770
6.159	624	6.184	752
6.210	602	6.235	725
6.260	574	6.286	692
6.311	540	6.336	652
6.361	503	6.387	608
6.413	464	6.437	564
6.463	426	6.488	520
6.514	389	6.539	479
6.564	357	6.590	444
6.615	330	6.640	415
6.666	311	6.691	395
6.717	301	6.741	385
6.767	299	6.793	386
6.818	306	6.843	394
6.868	320	6.894	414
6.920	342	6.944	443
6.970	370	6.995	477
7.021	404	7.046	518
7.071	441	7.097	562
7.122	479	7.147	605
7.172	517	7.198	648
7.224	552	7.248	688
7.274	583	7.299	723
7.325	609	7.350	750
7.375	627	7.401	768
7.426	637	7.451	777
7.477	639	7.502	776
7.528	633	7.552	768
7.578	619	7.604	749
7.629	596	7.654	722
7.679	568	7.705	687
7.731	535	7.755	649
7.781	499	7.806	605
7.832	461	7.857	561
7.882	423	7.908	518
7.933	388	7.959	478
7.983	357	8.009	443
8.035	332	8.060	415
8.085	313	8.110	395
8.136	304	8.162	387
8.186	303	8.212	388
8.237	310	8.263	398
8.288	325	8.313	418
8.339	347	8.364	446
8.389	375	8.415	480
8.440	408	8.466	520
8.490	445	8.516	564
8.542	482	8.567	608
8.592	518	8.617	651
8.643	553	8.669	690
8.693	583	8.719	723
8.744	607	8.770	750
8.795	624	8.820	768
8.846	634	8.871	775
8.896	635	8.921	775
8.947	628	8.973	765
8.997	613	9.023	746
9.048	591	9.074	718
9.099	563	9.124	685
9.150	531	9.175	645
9.200	494	9.226	603
9.251	458	9.277	559
9.301	421	9.327	516
9.353	387	9.378	476
9.403	357	9.428	443
9.454	332	9.480	415
9.504	315	9.530	396
9.555	307	9.581	388
9.606	307	9.631	390
9.657	314	9.682	401
9.707	330	9.732	420
9.758	351	9.784	449
9.808	379	9.834	484
9.859	413	9.885	524
9.910	449	9.935	567
9.961	484	9.986	611
10.011	521	10.037	653
10.062	555	10.088	691
10.112	583	10.138	724
10.164	606	10.189	750
10.214	622	10.239	767
10.265	630	10.291	774
10.315	631	10.341	772
10.366	623	10.392	763
10.417	608	10.442	743
10.468	586	10.493	715
10.518	559	10.543	681
10.569	525	10.595	642
10.619	490	10.645	599
10.670	455	10.696	556
10.721	419	10.746	513
10.772	386	10.797	475
10.822	357	10.848	442
10.873	334	10.899	415
10.923	318	10.949	397
10.975	310	11.000	390
11.025	311	11.050	392
11.076	319	11.102	404
11.126	335	11.152	425
11.177	357	11.203	453
11.228	384	11.253	488
11.279	416	11.304	528
11.329	451	11.355	571
