#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	668	0.050	842
0.076	662	0.101	840
0.127	657	0.151	839
0.177	652	0.203	840
0.228	646	0.253	847
0.278	642	0.304	854
0.330	641	0.354	861
0.380	641	0.405	865
0.431	641	0.456	867
0.481	641	0.507	864
0.532	643	0.557	858
0.582	644	0.608	851
0.634	645	0.658	845
0.684	648	0.709	839
0.735	650	0.760	834
0.785	653	0.811	832
0.836	655	0.861	833
0.887	657	0.912	835
0.938	659	0.963	837
0.988	661	1.014	841
1.039	663	1.065	842
1.089	664	1.115	844
1.141	664	1.166	844
1.191	663	1.216	844
1.242	664	1.268	843
1.292	664	1.318	843
1.343	663	1.369	842
1.394	664	1.419	841
1.445	665	1.470	841
1.495	667	1.520	840
1.546	670	1.572	839
1.596	672	1.622	839
1.647	674	1.673	840
1.698	677	1.723	841
1.749	680	1.774	843
1.799	684	1.825	846
1.850	686	1.876	847
1.900	689	1.926	847
1.952	692	1.977	848
2.002	693	2.027	847
2.053	694	2.079	847
2.103	696	2.129	847
2.154	698	2.180	846
2.205	701	2.230	846
2.256	702	2.281	846
2.306	704	2.331	846
2.357	705	2.383	846
2.407	707	2.433	846
2.458	708	2.484	845
2.509	709	2.534	845
2.560	710	2.585	844
2.610	712	2.636	844
2.661	714	2.687	844
2.711	715	2.737	844
2.763	717	2.788	845
2.813	719	2.838	846
2.864	720	2.890	845
2.914	721	2.940	845
2.965	722	2.991	845
3.016	721	3.041	844
3.067	720	3.092	845
3.117	719	3.142	843
3.168	719	3.194	844
3.218	718	3.244	844
3.269	718	3.295	843
3.320	718	3.345	842
3.371	718	3.396	841
3.421	720	3.447	841
3.472	720	3.498	841
3.522	720	3.548	843
3.574	721	3.599	843
3.624	721	3.649	845
3.675	721	3.701	845
3.725	720	3.751	846
3.776	720	3.802	846
3.827	719	3.852	848
3.878	719	3.903	848
3.928	719	3.954	849
3.979	719	4.005	850
4.029	721	4.055	851
4.080	721	4.106	851
4.131	722	4.156	851
4.182	723	4.207	852
4.233	723	4.258	851
4.283	723	4.309	852
4.334	723	4.359	851
4.385	723	4.410	850
4.436	723	4.460	850
4.486	722	4.512	850
4.537	722	4.562	850
4.587	721	4.613	851
4.639	719	4.663	852
4.689	719	4.714	852
4.740	719	4.765	853
4.790	719	4.816	853
4.841	719	4.866	852
4.891	721	4.917	852
4.943	721	4.967	852
4.993	723	5.018	850
5.044	723	5.069	846
5.094	717	5.120	831
5.145	701	5.170	806
5.196	672	5.221	770
5.247	633	5.271	726
5.297	585	5.323	675
5.348	532	5.373	621
5.398	474	5.424	565
5.450	417	5.474	512
5.500	362	5.525	463
5.551	311	5.576	420
5.601	269	5.627	388
5.652	232	5.677	366
5.702	198	5.728	357
5.754	181	5.778	362
5.804	199	5.829	376
5.855	230	5.880	403
5.905	261	5.931	441
5.956	304	5.981	485
6.007	352	6.032	535
6.058	407	6.082	589
6.108	464	6.134	643
6.159	521	6.184	695
6.209	575	6.235	742
6.261	623	6.285	782
6.311	663	6.336	813
6.362	693	6.387	833
6.412	713	6.438	843
6.463	718	6.488	838
6.514	711	6.539	825
6.565	692	6.589	801
6.615	661	6.640	767
6.666	621	6.691	723
6.716	573	6.742	675
6.767	518	6.792	622
6.818	461	6.843	569
6.869	403	6.893	517
6.919	349	6.945	470
