#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	626	0.052	502
0.077	624	0.102	503
0.127	623	0.153	502
0.179	623	0.203	503
0.229	621	0.254	502
0.280	622	0.304	503
0.330	625	0.356	502
0.381	628	0.406	503
0.431	630	0.457	502
0.483	632	0.507	502
0.533	632	0.558	503
0.584	632	0.609	503
0.634	632	0.660	503
0.685	632	0.710	502
0.736	633	0.761	502
0.787	631	0.811	502
0.837	631	0.863	503
0.888	630	0.913	502
0.938	628	0.964	503
0.990	626	1.014	502
1.040	626	1.065	502
1.091	627	1.116	502
1.141	628	1.167	502
1.192	628	1.217	502
1.242	628	1.268	502
1.294	628	1.318	503
1.344	628	1.369	502
1.395	628	1.420	502
1.445	627	1.471	502
1.496	626	1.521	502
1.547	626	1.572	502
1.598	627	1.622	502
1.648	629	1.674	502
1.699	629	1.724	502
1.749	629	1.775	502
1.801	630	1.825	501
1.851	629	1.876	502
1.902	629	1.927	501
1.952	628	1.978	502
2.003	630	2.029	502
2.053	626	2.079	503
2.105	632	2.130	502
2.155	630	2.180	503
2.206	629	2.232	502
2.256	629	2.282	502
2.307	632	2.333	502
2.358	629	2.383	502
2.409	628	2.434	503
2.459	629	2.485	502
2.510	626	2.536	502
2.560	628	2.586	502
2.612	628	2.637	502
2.662	631	2.687	503
2.713	630	2.739	503
2.763	635	2.789	502
2.814	632	2.840	502
2.864	637	2.890	502
2.916	637	2.941	502
2.966	642	2.991	502
3.017	639	3.043	502
3.067	639	3.093	502
3.118	640	3.144	502
3.169	637	3.194	503
3.220	639	3.245	503
3.270	639	3.296	504
3.321	640	3.347	503
3.371	636	3.397	503
3.423	625	3.448	502
3.473	609	3.498	502
3.524	585	3.550	502
3.574	558	3.600	502
3.625	525	3.651	502
3.676	492	3.701	502
3.727	458	3.752	502
3.777	426	3.802	502
3.828	396	3.854	502
3.878	372	3.904	503
3.929	353	3.955	502
3.980	342	4.005	502
4.031	338	4.056	502
4.081	341	4.107	502
4.132	352	4.158	502
4.182	369	4.208	502
4.234	392	4.259	502
4.284	420	4.309	502
4.335	452	4.361	502
