#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	662	0.050	552
0.076	662	0.101	553
0.126	662	0.152	554
0.177	664	0.202	555
0.228	665	0.253	556
0.279	665	0.304	557
0.329	665	0.355	557
0.380	666	0.406	557
0.430	666	0.456	557
0.482	667	0.507	556
0.532	667	0.557	556
0.583	666	0.608	555
0.633	666	0.659	555
0.684	666	0.710	554
0.734	667	0.760	553
0.786	668	0.811	552
0.836	669	0.861	552
0.887	670	0.913	551
0.937	672	0.963	551
0.988	674	1.014	549
1.039	675	1.064	550
1.090	675	1.115	550
1.140	675	1.166	550
1.191	674	1.217	550
1.241	673	1.267	550
1.293	671	1.318	551
1.343	670	1.368	552
1.394	669	1.419	552
1.444	667	1.470	554
1.495	667	1.521	553
1.545	668	1.571	554
1.597	667	1.622	555
1.647	667	1.672	556
1.698	667	1.724	555
1.748	667	1.774	556
1.799	667	1.825	556
1.850	667	1.875	556
1.901	668	1.926	555
1.951	668	1.977	555
2.002	669	2.028	554
2.052	668	2.078	554
2.104	667	2.129	553
2.154	668	2.179	552
2.205	669	2.231	552
2.255	669	2.281	552
2.306	670	2.332	551
2.356	670	2.382	551
2.408	668	2.433	550
2.458	663	2.483	550
2.509	649	2.535	550
2.559	628	2.585	550
2.610	602	2.636	551
2.661	570	2.686	551
2.712	535	2.737	552
2.762	497	2.788	552
2.813	460	2.839	553
2.863	425	2.889	554
2.915	393	2.940	554
2.965	367	2.990	556
3.016	349	3.042	555
3.066	339	3.092	555
3.117	336	3.143	555
3.167	342	3.193	555
3.219	356	3.244	555
3.269	378	3.294	555
3.320	405	3.346	554
3.370	437	3.396	554
3.421	473	3.447	553
3.472	510	3.497	552
3.523	546	3.548	552
3.573	579	3.599	552
3.624	610	3.650	551
3.674	634	3.700	551
3.726	652	3.751	551
3.776	662	3.801	550
3.827	663	3.853	551
3.877	658	3.903	551
3.928	644	3.954	551
3.978	623	4.004	551
4.030	596	4.055	552
4.080	564	4.105	552
4.131	529	4.157	553
4.181	493	4.207	553
4.232	457	4.258	554
4.283	423	4.308	554
4.334	393	4.359	555
4.384	369	4.410	555
4.435	351	4.461	554
4.485	341	4.511	554
4.537	341	4.562	554
4.587	346	4.612	554
4.638	361	4.664	554
4.688	382	4.714	553
4.739	409	4.765	553
4.789	441	4.815	553
4.841	476	4.866	552
4.892	512	4.916	552
4.942	548	4.968	552
4.993	581	5.018	551
5.043	610	5.069	551
5.095	634	5.119	549
5.145	650	5.170	551
5.196	659	5.221	551
5.246	660	5.272	551
5.297	655	5.322	552
5.348	639	5.373	552
5.399	618	5.423	552
5.449	591	5.475	553
5.500	560	5.525	553
5.550	525	5.576	553
5.602	489	5.626	554
5.652	454	5.677	554
5.703	421	5.727	555
5.753	392	5.779	555
5.804	369	5.829	554
5.854	353	5.880	554
5.906	344	5.930	554
5.956	343	5.981	554
6.007	350	6.032	554
6.057	365	6.083	553
6.108	387	6.133	553
6.159	413	6.184	552
6.210	445	6.234	552
6.260	480	6.286	551
6.311	515	6.336	551
6.361	550	6.387	552
6.413	582	6.437	551
6.463	610	6.488	550
6.514	633	6.538	551
6.564	649	6.590	551
6.615	656	6.640	552
6.665	657	6.691	552
6.717	649	6.741	553
6.767	634	6.792	552
6.818	614	6.843	553
6.868	586	6.894	554
6.919	555	6.944	554
6.970	521	6.995	554
7.021	486	7.045	555
7.071	452	7.097	555
7.122	419	7.147	555
7.172	392	7.198	554
7.224	369	7.248	554
7.274	354	7.299	554
7.325	347	7.349	553
7.375	347	7.401	553
7.426	354	7.451	553
7.476	370	7.502	552
7.528	391	7.552	552
7.578	418	7.603	551
7.629	450	7.654	551
7.679	484	7.705	550
7.730	519	7.755	552
7.781	552	7.806	551
7.832	584	7.857	551
7.882	612	7.908	551
7.933	632	7.959	552
7.983	647	8.009	552
8.035	654	8.060	552
8.085	654	8.110	553
8.136	647	8.162	553
8.186	631	8.212	554
8.237	610	8.263	554
8.287	582	8.313	554
8.339	551	8.364	554
8.389	518	8.414	555
8.440	483	8.466	555
8.490	449	8.516	554
8.541	418	8.567	554
8.592	391	8.617	554
8.643	370	8.668	554
8.693	355	8.719	553
8.744	349	8.770	553
8.794	349	8.820	553
8.846	358	8.871	552
8.896	373	8.921	552
8.947	395	8.973	551
8.997	422	9.023	551
9.048	454	9.074	551
9.098	487	9.124	551
9.150	522	9.175	551
9.200	554	9.225	551
9.251	585	9.277	551
9.301	611	9.327	552
9.352	633	9.378	552
9.403	646	9.428	552
9.454	652	9.479	553
9.504	651	9.530	553
9.555	642	9.581	554
9.605	627	9.631	553
9.657	605	9.682	554
9.707	578	9.732	554
9.758	547	9.784	554
9.808	513	9.834	555
9.859	479	9.885	555
9.909	447	9.935	554
9.961	417	9.986	554
10.011	390	10.036	553
10.062	370	10.088	553
10.112	357	10.138	553
10.163	351	10.189	552
10.214	352	10.239	552
10.265	361	10.290	552
10.315	378	10.341	551
10.366	400	10.392	552
10.416	427	10.442	550
10.468	458	10.493	550
10.518	491	10.543	551
10.569	525	10.595	551
10.619	558	10.645	551
10.670	586	10.696	552
10.720	611	10.746	552
10.772	631	10.797	552
10.822	644	10.847	554
10.873	649	10.899	553
10.923	648	10.949	553
10.974	639	11.000	554
11.025	623	11.050	554
11.076	601	11.101	555
11.127	574	11.152	555
11.177	543	11.203	555
11.228	511	11.253	554
11.279	476	11.304	554
11.330	444	11.354	554
11.380	415	11.406	553
11.431	390	11.456	553
11.481	371	11.507	553
11.533	358	11.557	552
11.583	354	11.608	551
11.634	355	11.658	552
11.684	365	11.710	552
11.735	382	11.760	551
11.785	404	11.811	551
11.837	432	11.861	551
11.887	461	11.912	551
11.938	494	11.963	551
11.988	527	12.014	551
12.039	559	12.064	552
12.090	588	12.115	552
12.141	612	12.165	553
12.191	631	12.217	553
12.242	642	12.267	554
12.292	647	12.318	554
12.344	645	12.368	554
12.394	635	12.419	554
12.445	619	12.469	555
12.495	597	12.521	554
12.546	570	12.571	555
12.596	539	12.622	554
12.648	507	12.672	554
12.698	474	12.723	554
12.749	442	12.774	554
12.799	414	12.825	553
12.850	390	12.875	553
12.901	371	12.926	552
12.952	360	12.976	552
13.002	356	13.028	551
13.053	358	13.078	551
13.103	369	13.129	551
