#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	659	0.050	553
0.076	659	0.100	553
0.126	659	0.152	552
0.177	659	0.203	553
0.227	659	0.253	551
0.279	659	0.304	553
0.329	657	0.354	552
0.380	657	0.406	553
0.430	657	0.456	552
0.481	656	0.507	552
0.532	655	0.557	552
0.583	654	0.608	552
0.633	654	0.659	552
0.684	654	0.710	552
0.734	655	0.760	552
0.786	654	0.811	553
0.836	653	0.861	553
0.887	654	0.913	553
0.937	654	0.963	552
0.988	655	1.014	552
1.038	657	1.064	552
1.090	658	1.115	552
1.140	660	1.165	553
1.191	662	1.217	552
1.241	663	1.267	552
1.292	666	1.318	553
1.343	667	1.368	553
1.394	668	1.419	553
1.444	670	1.470	552
1.495	670	1.521	553
1.545	666	1.571	553
1.597	655	1.622	552
1.647	636	1.672	553
1.698	611	1.724	553
1.748	579	1.774	552
1.799	542	1.825	553
1.849	503	1.875	553
1.901	463	1.926	553
1.951	426	1.976	552
2.002	391	2.028	553
2.052	364	2.078	552
2.103	344	2.129	552
2.154	334	2.179	553
2.205	335	2.230	552
2.255	346	2.281	552
2.306	363	2.332	552
2.356	384	2.382	552
2.408	406	2.433	552
2.458	435	2.483	552
2.509	472	2.535	552
2.559	508	2.585	552
2.610	543	2.636	552
2.660	575	2.686	552
2.712	602	2.737	553
2.762	625	2.787	552
2.813	639	2.839	553
2.863	647	2.889	553
2.914	646	2.940	553
2.965	640	2.990	553
3.016	627	3.041	553
3.066	607	3.092	553
3.117	582	3.143	552
3.167	553	3.193	553
3.219	520	3.244	553
3.269	486	3.294	553
3.320	454	3.346	553
3.370	419	3.396	553
3.421	392	3.447	553
3.471	371	3.497	552
3.523	355	3.548	552
3.573	347	3.598	552
3.624	348	3.650	552
3.674	357	3.700	552
3.725	373	3.751	551
3.776	392	3.801	552
3.827	409	3.852	552
3.877	433	3.903	552
3.928	464	3.954	552
3.978	495	4.004	552
4.030	527	4.055	552
4.080	559	4.105	552
4.131	586	4.157	552
4.181	606	4.207	552
4.232	621	4.258	553
4.282	629	4.308	553
4.334	632	4.359	553
4.384	628	4.409	552
4.435	618	4.461	553
4.485	601	4.511	553
4.536	578	4.562	553
4.587	552	4.612	553
4.638	521	4.663	553
4.689	489	4.714	553
4.739	456	4.765	553
4.790	427	4.815	552
4.841	401	4.866	552
4.892	379	4.916	552
4.942	363	4.968	552
4.993	354	5.018	552
5.043	352	5.069	552
5.095	359	5.119	551
5.145	373	5.170	552
5.196	390	5.220	552
5.246	410	5.272	552
5.297	434	5.322	552
5.347	465	5.373	552
5.399	494	5.423	552
5.449	525	5.474	552
5.500	552	5.525	552
5.550	579	5.576	553
5.601	599	5.626	552
5.652	612	5.677	553
5.703	620	5.727	553
5.753	623	5.779	554
5.804	619	5.829	553
5.854	609	5.880	552
5.906	593	5.930	553
5.956	572	5.981	553
6.007	547	6.031	553
6.057	519	6.083	553
6.108	489	6.133	553
6.158	460	6.184	553
6.210	432	6.234	552
6.260	409	6.285	552
6.311	388	6.336	552
6.361	374	6.387	552
6.412	366	6.437	553
6.463	364	6.488	552
6.514	370	6.538	552
6.564	381	6.590	551
6.615	398	6.640	551
6.665	416	6.691	551
6.717	439	6.741	552
6.767	465	6.792	552
6.818	493	6.842	552
6.868	521	6.894	552
6.919	548	6.944	552
6.969	571	6.995	553
7.021	591	7.045	553
7.071	605	7.096	553
7.122	613	7.147	553
7.172	615	7.198	552
7.223	612	7.248	552
7.274	603	7.299	552
7.325	589	7.349	554
7.375	569	7.401	553
7.426	546	7.451	553
7.476	519	7.502	553
7.528	491	7.552	553
7.578	463	7.603	552
7.629	438	7.653	552
7.679	415	7.705	552
7.730	396	7.756	552
7.780	383	7.806	552
7.832	374	7.857	552
7.882	373	7.907	552
7.933	377	7.959	552
7.983	388	8.009	552
8.034	403	8.060	552
8.085	421	8.110	552
