#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	633	0.050	531
0.076	630	0.101	531
0.127	632	0.151	532
0.177	633	0.203	531
0.228	636	0.253	531
0.278	635	0.304	531
0.330	636	0.354	531
0.380	637	0.405	531
0.431	636	0.456	532
0.481	637	0.507	531
0.532	635	0.557	530
0.583	634	0.608	531
0.634	630	0.658	531
0.684	630	0.710	530
0.735	627	0.760	530
0.785	627	0.811	531
0.837	626	0.861	531
0.887	625	0.912	531
0.938	624	0.963	531
0.988	627	1.014	531
1.039	627	1.064	531
1.089	629	1.115	531
1.141	632	1.165	531
1.191	630	1.216	530
1.242	628	1.267	531
1.292	616	1.318	531
1.343	601	1.368	532
1.394	579	1.419	531
1.445	556	1.469	531
1.495	528	1.521	531
1.546	498	1.571	530
1.596	470	1.622	531
1.648	443	1.672	531
1.698	420	1.723	531
1.749	400	1.774	531
1.799	388	1.825	532
1.850	380	1.875	530
1.900	382	1.926	531
1.952	388	1.976	532
2.002	403	2.027	531
2.053	417	2.078	531
2.103	436	2.129	531
2.154	457	2.179	531
2.205	486	2.230	531
2.256	511	2.280	531
2.306	538	2.332	531
2.357	564	2.382	531
2.407	582	2.433	531
2.459	600	2.483	531
2.509	609	2.534	531
2.560	618	2.585	531
2.610	616	2.636	531
2.661	612	2.686	530
2.711	598	2.737	531
2.763	584	2.787	530
2.813	563	2.838	531
2.864	540	2.889	531
2.914	514	2.940	531
2.965	490	2.990	531
3.016	466	3.041	531
3.067	441	3.091	530
3.117	424	3.143	531
3.168	406	3.193	531
3.218	398	3.244	531
3.270	389	3.294	531
3.320	390	3.345	531
3.371	396	3.396	530
3.421	410	3.447	531
3.472	423	3.498	531
3.523	438	3.548	531
3.574	455	3.599	531
3.624	481	3.649	531
3.675	506	3.701	531
3.725	529	3.751	531
3.776	553	3.802	531
3.827	572	3.852	530
3.878	589	3.903	531
3.928	598	3.954	531
3.979	607	4.005	532
4.029	606	4.055	532
4.081	604	4.106	530
4.131	593	4.156	531
4.182	581	4.208	531
4.232	560	4.258	531
4.283	540	4.309	531
4.334	515	4.359	531
4.385	491	4.410	531
4.435	466	4.460	531
4.486	442	4.512	531
4.536	424	4.562	530
4.587	407	4.613	531
4.638	396	4.663	530
4.689	387	4.714	531
4.739	388	4.765	531
4.790	392	4.816	530
4.840	405	4.866	530
4.892	419	4.917	531
4.942	435	4.967	531
4.993	455	5.019	531
5.043	480	5.069	531
5.094	507	5.120	531
5.145	528	5.170	531
5.196	552	5.221	530
5.246	570	5.271	531
5.297	586	5.323	530
5.347	597	5.373	531
5.398	605	5.424	531
5.449	604	5.474	532
5.500	601	5.525	531
5.550	591	5.576	531
5.601	577	5.627	530
5.651	558	5.677	530
5.703	537	5.728	530
5.753	515	5.778	531
5.804	490	5.830	531
5.854	468	5.880	530
5.905	446	5.931	530
5.956	428	5.981	530
