#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	635	0.051	680
0.076	636	0.102	682
0.127	635	0.153	682
0.177	634	0.203	682
0.228	634	0.254	683
0.279	633	0.304	683
0.330	631	0.355	682
0.380	632	0.406	681
0.431	632	0.457	681
0.481	632	0.507	681
0.533	632	0.558	682
0.583	631	0.608	681
0.634	632	0.660	681
0.684	631	0.710	681
0.735	631	0.761	683
0.786	631	0.811	682
0.837	631	0.862	681
0.887	631	0.913	681
0.938	630	0.964	681
0.988	630	1.014	680
1.039	631	1.065	680
1.090	630	1.115	681
1.141	630	1.166	681
1.191	631	1.217	683
1.242	630	1.268	682
1.292	631	1.318	684
1.344	631	1.369	684
1.394	630	1.419	681
1.445	623	1.471	673
1.495	609	1.521	659
1.546	589	1.572	641
1.597	563	1.622	617
1.648	535	1.673	590
1.698	501	1.724	561
1.749	469	1.775	533
1.799	437	1.825	505
1.851	409	1.876	478
1.901	383	1.926	457
1.952	363	1.977	441
2.002	348	2.028	430
2.053	342	2.079	424
2.103	343	2.129	426
2.155	351	2.180	434
2.205	366	2.230	448
2.256	385	2.282	467
2.306	410	2.332	491
2.357	439	2.383	516
2.408	472	2.433	545
2.459	504	2.484	573
2.509	535	2.535	600
2.560	564	2.586	625
2.610	589	2.636	646
2.662	608	2.687	661
2.712	622	2.737	672
2.763	627	2.788	679
2.813	627	2.839	676
2.864	618	2.890	669
2.914	602	2.940	655
2.966	581	2.991	637
3.016	555	3.041	615
3.067	527	3.093	590
3.117	494	3.143	563
3.168	462	3.194	534
3.219	432	3.244	508
3.270	404	3.295	483
3.320	380	3.346	464
3.371	362	3.397	446
3.421	350	3.447	435
3.473	345	3.498	430
3.523	347	3.548	431
3.574	356	3.599	438
3.624	372	3.650	451
3.675	393	3.701	468
3.725	419	3.751	491
3.777	447	3.802	515
3.827	479	3.852	541
3.878	510	3.904	569
3.928	540	3.954	595
3.979	567	4.005	620
4.030	591	4.055	640
4.081	609	4.106	656
4.131	620	4.157	666
4.182	624	4.208	672
4.232	622	4.258	671
