Source,CH1
Second,Volt
-4.50000000000,-0.49104,
-4.49979950000,-0.48608,
-4.49960000000,-0.43152,
-4.49939950000,-0.34224,
-4.49920000000,-0.25296,
-4.49900000000,-0.12400,
-4.49880000000,-0.01984,
-4.49860000000,0.11904,
-4.49839950000,0.20832,
-4.49820000000,0.32736,
-4.49799950000,0.39680,
-4.49780000000,0.46128,
-4.49760000000,0.49600,
-4.49740000000,0.51088,
-4.49720000000,0.47616,
-4.49699950000,0.43152,
-4.49680000000,0.35712,
-4.49659950000,0.26288,
-4.49640000000,0.14384,
-4.49620000000,0.00496,
-4.49600000000,-0.14880,
-4.49580000000,-0.26784,
-4.49559950000,-0.41168,
-4.49540000000,-0.47616,
-4.49519950000,-0.54064,
-4.49500000000,-0.49104,
-4.49480000000,-0.47120,
-4.49460000000,-0.42160,
-4.49440000000,-0.31744,
-4.49420000000,-0.22816,
-4.49400000000,-0.09920,
-4.49379950000,-0.00992,
-4.49360000000,0.12400,
-4.49340000000,0.22320,
-4.49320000000,0.31744,
-4.49300000000,0.39680,
-4.49280000000,0.45632,
-4.49260000000,0.49600,
-4.49239950000,0.49600,
-4.49220000000,0.45632,
-4.49200000000,0.43152,
-4.49180000000,0.34224,
-4.49160000000,0.22816,
-4.49140000000,0.11904,
-4.49120000000,-0.02480,
-4.49099950000,-0.15872,
-4.49080000000,-0.27776,
-4.49060000000,-0.43152,
-4.49040000000,-0.49104,
-4.49020000000,-0.54064,
-4.49000000000,-0.50096,
-4.48980000000,-0.47120,
-4.48959950000,-0.40672,
-4.48940000000,-0.31744,
-4.48920000000,-0.22320,
-4.48900000000,-0.09424,
-4.48880000000,0.01488,
-4.48860000000,0.14384,
-4.48840000000,0.25296,
-4.48819950000,0.34224,
-4.48800000000,0.42160,
-4.48780000000,0.45632,
-4.48760000000,0.49600,
-4.48740000000,0.50096,
-4.48720000000,0.46128,
-4.48700000000,0.41168,
-4.48679950000,0.31744,
-4.48660000000,0.22816,
-4.48639950000,0.08432,
-4.48620000000,-0.03472,
-4.48600000000,-0.17360,
-4.48580000000,-0.31744,
-4.48560000000,-0.43152,
-4.48539950000,-0.51088,
-4.48520000000,-0.51088,
-4.48499950000,-0.51088,
-4.48480000000,-0.46128,
-4.48460000000,-0.40672,
-4.48440000000,-0.28768,
-4.48420000000,-0.18848,
-4.48399950000,-0.07936,
-4.48380000000,0.04464,
-4.48359950000,0.14384,
-4.48340000000,0.26288,
-4.48320000000,0.33232,
-4.48300000000,0.43152,
-4.48280000000,0.47120,
-4.48259950000,0.48608,
-4.48240000000,0.51088,
-4.48219950000,0.44640,
-4.48200000000,0.41168,
-4.48180000000,0.30752,
-4.48160000000,0.19840,
-4.48140000000,0.10416,
-4.48119950000,-0.05952,
-4.48100000000,-0.19840,
-4.48079950000,-0.32736,
-4.48060000000,-0.43152,
-4.48040000000,-0.51584,
-4.48020000000,-0.52576,
-4.48000000000,-0.49104,
-4.47979950000,-0.47120,
-4.47960000000,-0.38192,
-4.47939950000,-0.28768,
-4.47920000000,-0.18352,
-4.47900000000,-0.05952,
-4.47880000000,0.05952,
-4.47860000000,0.18352,
-4.47840000000,0.29264,
-4.47820000000,0.35712,
-4.47799950000,0.43648,
-4.47780000000,0.47616,
-4.47760000000,0.49600,
-4.47740000000,0.49600,
-4.47720000000,0.43152,
-4.47700000000,0.39680,
-4.47680000000,0.30256,
-4.47659950000,0.18352,
-4.47640000000,0.05456,
-4.47620000000,-0.09424,
-4.47600000000,-0.22816,
-4.47580000000,-0.35712,
-4.47560000000,-0.47616,
-4.47540000000,-0.50096,
-4.47519950000,-0.54064,
-4.47500000000,-0.49104,
-4.47480000000,-0.43152,
-4.47460000000,-0.36704,
-4.47440000000,-0.26288,
-4.47420000000,-0.17360,
-4.47400000000,-0.05456,
-4.47379950000,0.06944,
-4.47360000000,0.18848,
-4.47340000000,0.28768,
-4.47320000000,0.36704,
-4.47300000000,0.46128,
-4.47280000000,0.48608,
-4.47260000000,0.50096,
-4.47239950000,0.47120,
-4.47220000000,0.43648,
-4.47200000000,0.38192,
-4.47180000000,0.29264,
-4.47160000000,0.16368,
-4.47140000000,0.03968,
-4.47120000000,-0.10912,
-4.47099950000,-0.24304,
-4.47080000000,-0.36704,
-4.47059950000,-0.49104,
-4.47040000000,-0.51584,
-4.47020000000,-0.52576,
-4.47000000000,-0.48608,
-4.46980000000,-0.43152,
-4.46959950000,-0.36704,
-4.46940000000,-0.24304,
-4.46919950000,-0.15872,
-4.46900000000,-0.02480,
-4.46880000000,0.10912,
-4.46860000000,0.20832,
-4.46840000000,0.33232,
-4.46819950000,0.36704,
-4.46800000000,0.47120,
-4.46779950000,0.47616,
-4.46760000000,0.49600,
-4.46740000000,0.47616,
-4.46720000000,0.43152,
-4.46700000000,0.35712,
-4.46679950000,0.26288,
-4.46660000000,0.13392,
-4.46639950000,0.01488,
-4.46620000000,-0.13888,
-4.46600000000,-0.26288,
-4.46580000000,-0.39680,
-4.46560000000,-0.49104,
-4.46539950000,-0.52576,
-4.46520000000,-0.52576,
-4.46499950000,-0.49104,
-4.46480000000,-0.39680,
-4.46460000000,-0.34720,
-4.46440000000,-0.23808,
-4.46420000000,-0.14880,
-4.46399950000,0.00496,
-4.46380000000,0.12400,
-4.46359950000,0.22320,
-4.46340000000,0.34224,
-4.46320000000,0.37200,
-4.46300000000,0.46128,
-4.46280000000,0.48608,
-4.46260000000,0.49600,
-4.46240000000,0.47120,
-4.46219950000,0.42160,
-4.46200000000,0.36704,
-4.46180000000,0.24800,
-4.46160000000,0.13392,
-4.46140000000,-0.00992,
-4.46120000000,-0.16368,
-4.46100000000,-0.29264,
-4.46079950000,-0.41168,
-4.46060000000,-0.49104,
-4.46040000000,-0.53568,
-4.46020000000,-0.51088,
-4.46000000000,-0.41168,
-4.45980000000,-0.51088,
-4.45960000000,-0.53568,
-4.45939950000,-0.51584,
-4.45920000000,-0.46128,
-4.45900000000,-0.41168,
-4.45880000000,-0.30752,
-4.45860000000,-0.20336,
-4.45840000000,-0.41168,
-4.45820000000,-0.51088,
-4.45799950000,-0.53568,
-4.45780000000,-0.51584,
-4.45760000000,-0.46128,
-4.45740000000,-0.41168,
-4.45720000000,-0.30752,
-4.45700000000,-0.20336,
-4.45680000000,-0.10912,
-4.45659950000,0.03968,
-4.45640000000,0.14384,
-4.45620000000,0.23808,
-4.45600000000,0.35216,
-4.45580000000,0.40672,
-4.45560000000,0.47120,
-4.45540000000,0.48608,
-4.45519950000,0.49600,
-4.45500000000,0.46128,
-4.45479950000,0.39680,
-4.45460000000,0.31744,
-4.45440000000,0.21328,
-4.45420000000,0.07936,
-4.45400000000,-0.03472,
-4.45379950000,-0.18848,
-4.45360000000,-0.31744,
-4.45339950000,-0.42160,
-4.45320000000,-0.53568,
-4.45300000000,-0.51584,
-4.45280000000,-0.51584,
-4.45260000000,-0.46128,
-4.45239950000,-0.40672,
-4.45220000000,-0.28768,
-4.45199950000,-0.18352,
-4.45180000000,-0.07936,
-4.45160000000,0.05456,
-4.45140000000,0.15872,
-4.45120000000,0.25296,
-4.45099950000,0.37200,
-4.45080000000,0.41168,
-4.45059950000,0.46128,
-4.45040000000,0.50096,
-4.45020000000,0.47120,
-4.45000000000,0.44640,
-4.44980000000,0.38192,
-4.44959950000,0.30752,
-4.44940000000,0.18848,
-4.44919950000,0.07936,
-4.44900000000,-0.05952,
-4.44880000000,-0.21328,
-4.44860000000,-0.33232,
-4.44840000000,-0.43648,
-4.44819950000,-0.52576,
-4.44800000000,-0.52576,
-4.44779950000,-0.49104,
-4.44760000000,-0.46128,
-4.44740000000,-0.37200,
-4.44720000000,-0.29264,
-4.44700000000,-0.16368,
-4.44680000000,-0.07936,
-4.44660000000,0.06944,
-4.44639950000,0.18352,
-4.44620000000,0.26784,
-4.44600000000,0.39184,
-4.44580000000,0.43152,
-4.44560000000,0.48608,
-4.44540000000,0.48608,
-4.44520000000,0.48608,
-4.44499950000,0.45632,
-4.44480000000,0.37200,
-4.44460000000,0.29264,
-4.44440000000,0.19840,
-4.44420000000,0.04464,
-4.44400000000,-0.06944,
-4.44380000000,-0.23808,
-4.44359950000,-0.34224,
-4.44340000000,-0.47120,
-4.44320000000,-0.52576,
-4.44300000000,-0.51584,
-4.44280000000,-0.50096,
-4.44260000000,-0.43152,
-4.44240000000,-0.35712,
-4.44219950000,-0.28768,
-4.44200000000,-0.15872,
-4.44180000000,-0.04464,
-4.44160000000,0.08432,
-4.44140000000,0.18848,
-4.44120000000,0.28768,
-4.44100000000,0.38192,
-4.44079950000,0.43648,
-4.44060000000,0.50096,
-4.44040000000,0.49600,
-4.44020000000,0.47616,
-4.44000000000,0.45632,
-4.43980000000,0.36704,
-4.43960000000,0.28768,
-4.43939950000,0.14384,
-4.43920000000,0.02976,
-4.43899950000,-0.10912,
-4.43880000000,-0.24304,
-4.43860000000,-0.37200,
-4.43840000000,-0.46128,
-4.43820000000,-0.52576,
-4.43799950000,-0.51088,
-4.43780000000,-0.49104,
-4.43759950000,-0.43152,
-4.43740000000,-0.34224,
-4.43720000000,-0.26288,
-4.43700000000,-0.13392,
-4.43680000000,-0.03472,
-4.43659950000,0.09424,
-4.43640000000,0.22320,
-4.43619950000,0.29264,
-4.43600000000,0.39680,
-4.43580000000,0.43152,
-4.43560000000,0.48608,
-4.43540000000,0.48608,
-4.43519950000,0.46128,
-4.43500000000,0.45632,
-4.43479950000,0.35216,
-4.43460000000,0.26288,
-4.43440000000,0.12400,
-4.43420000000,0.00496,
-4.43400000000,-0.11904,
-4.43379950000,-0.27776,
-4.43360000000,-0.39680,
-4.43339950000,-0.49104,
-4.43320000000,-0.53568,
-4.43300000000,-0.51584,
-4.43280000000,-0.48608,
-4.43260000000,-0.43648,
-4.43239950000,-0.34224,
-4.43220000000,-0.24304,
-4.43199950000,-0.10912,
-4.43180000000,-0.01984,
-4.43160000000,0.12400,
-4.43140000000,0.22816,
-4.43120000000,0.32736,
-4.43100000000,0.40672,
-4.43080000000,0.43648,
-4.43059950000,0.49600,
-4.43040000000,0.50096,
-4.43020000000,0.45632,
-4.43000000000,0.43152,
-4.42980000000,0.32736,
-4.42960000000,0.24800,
-4.42940000000,0.12400,
-4.42919950000,-0.01984,
-4.42900000000,-0.13888,
-4.42880000000,-0.30256,
-4.42860000000,-0.39680,
-4.42840000000,-0.50096,
-4.42820000000,-0.53568,
-4.42800000000,-0.51584,
-4.42779950000,-0.47616,
-4.42760000000,-0.41168,
-4.42740000000,-0.32736,
-4.42720000000,-0.22320,
-4.42700000000,-0.09920,
-4.42680000000,0.01984,
-4.42660000000,0.13392,
-4.42639950000,0.24800,
-4.42620000000,0.32736,
-4.42600000000,0.44640,
-4.42580000000,0.45632,
-4.42560000000,0.50096,
-4.42540000000,0.48608,
-4.42520000000,0.46128,
-4.42499950000,0.42160,
-4.42480000000,0.33232,
-4.42460000000,0.22816,
-4.42440000000,0.10416,
-4.42420000000,-0.03968,
-4.42400000000,-0.14880,
-4.42380000000,-0.31744,
-4.42359950000,-0.41168,
-4.42340000000,-0.49104,
-4.42319950000,-0.51088,
-4.42300000000,-0.51088,
-4.42280000000,-0.47120,
-4.42260000000,-0.38688,
-4.42240000000,-0.30752,
-4.42219950000,-0.20336,
-4.42200000000,-0.06944,
-4.42179950000,0.02976,
-4.42160000000,0.14880,
-4.42140000000,0.26784,
-4.42120000000,0.35712,
-4.42100000000,0.43648,
-4.42079950000,0.47120,
-4.42060000000,0.50096,
-4.42039950000,0.50096,
-4.42020000000,0.45632,
-4.42000000000,0.40672,
-4.41980000000,0.30256,
-4.41960000000,0.20832,
-4.41939950000,0.09424,
-4.41920000000,-0.05952,
-4.41899950000,-0.18848,
-4.41880000000,-0.34224,
-4.41860000000,-0.43152,
-4.41840000000,-0.52576,
-4.41820000000,-0.53568,
-4.41799950000,-0.49104,
-4.41780000000,-0.45136,
-4.41759950000,-0.37200,
-4.41740000000,-0.28768,
-4.41720000000,-0.18848,
-4.41700000000,-0.06944,
-4.41680000000,0.05952,
-4.41660000000,0.18848,
-4.41640000000,0.28768,
-4.41619950000,0.35216,
-4.41600000000,0.43152,
-4.41580000000,0.46128,
-4.41560000000,0.50096,
-4.41540000000,0.48608,
-4.41520000000,0.44640,
-4.41500000000,0.38192,
-4.41479950000,0.30256,
-4.41460000000,0.18352,
-4.41440000000,0.05456,
-4.41420000000,-0.09920,
-4.41400000000,-0.22816,
-4.41380000000,-0.35712,
-4.41360000000,-0.46128,
-4.41339950000,-0.51584,
-4.41320000000,-0.53568,
-4.41300000000,-0.50096,
-4.41280000000,-0.44640,
-4.41260000000,-0.36704,
-4.41240000000,-0.27776,
-4.41220000000,-0.18352,
-4.41199950000,-0.03968,
-4.41180000000,0.05952,
-4.41160000000,0.19840,
-4.41140000000,0.29264,
-4.41120000000,0.38192,
-4.41100000000,0.45632,
-4.41080000000,0.47120,
-4.41059950000,0.49600,
-4.41040000000,0.48608,
-4.41020000000,0.43648,
-4.41000000000,0.37200,
-4.40980000000,0.27776,
-4.40960000000,0.16368,
-4.40940000000,0.01984,
-4.40919950000,-0.09424,
-4.40900000000,-0.22816,
-4.40880000000,-0.37200,
-4.40860000000,-0.47120,
-4.40840000000,-0.52576,
-4.40820000000,-0.51088,
-4.40800000000,-0.49104,
-4.40779950000,-0.43648,
-4.40760000000,-0.34720,
-4.40739950000,-0.25296,
-4.40720000000,-0.13888,
-4.40700000000,-0.01984,
-4.40680000000,0.07936,
-4.40660000000,0.19840,
-4.40639950000,0.30752,
-4.40620000000,0.37200,
-4.40599950000,0.45632,
-4.40580000000,0.49600,
-4.40560000000,0.50096,
-4.40540000000,0.47120,
-4.40520000000,0.43152,
-4.40499950000,0.39184,
-4.40480000000,0.26288,
-4.40459950000,0.15872,
-4.40440000000,0.01984,
-4.40420000000,-0.11904,
-4.40400000000,-0.25296,
-4.40380000000,-0.38688,
-4.40359950000,-0.47120,
-4.40340000000,-0.53568,
-4.40319950000,-0.51584,
-4.40300000000,-0.47120,
-4.40280000000,-0.43152,
-4.40260000000,-0.34224,
-4.40240000000,-0.23808,
-4.40219950000,-0.13888,
-4.40200000000,0.00,
-4.40179950000,0.10912,
-4.40160000000,0.25296,
-4.40140000000,0.32736,
-4.40120000000,0.39184,
-4.40100000000,0.47120,
-4.40080000000,0.48608,
-4.40060000000,0.50096,
-4.40039950000,0.47120,
-4.40020000000,0.41168,
-4.40000000000,0.34224,
-4.39980000000,0.22816,
-4.39960000000,0.13392,
-4.39940000000,-0.01984,
-4.39920000000,-0.14880,
-4.39899950000,-0.27776,
-4.39880000000,-0.40672,
-4.39860000000,-0.49104,
-4.39840000000,-0.53568,
-4.39820000000,-0.51584,
-4.39800000000,-0.47120,
-4.39780000000,-0.43648,
-4.39759950000,-0.33232,
-4.39740000000,-0.23808,
-4.39720000000,-0.09920,
-4.39700000000,0.01488,
-4.39680000000,0.11904,
-4.39660000000,0.22816,
-4.39640000000,0.33232,
-4.39619950000,0.41168,
-4.39600000000,0.47616,
-4.39580000000,0.48608,
-4.39560000000,0.48608,
-4.39540000000,0.47616,
-4.39520000000,0.41168,
-4.39500000000,0.33232,
-4.39479950000,0.21328,
-4.39460000000,0.10912,
-4.39440000000,-0.03472,
-4.39420000000,-0.18352,
-4.39400000000,-0.30752,
-4.39380000000,-0.43648,
-4.39360000000,-0.50096,
-4.39339950000,-0.50096,
-4.39320000000,-0.49104,
-4.39300000000,-0.46128,
-4.39280000000,-0.40672,
-4.39260000000,-0.30256,
-4.39240000000,-0.20336,
-4.39220000000,-0.09920,
-4.39199950000,0.01984,
-4.39180000000,0.13392,
-4.39159950000,0.26288,
-4.39140000000,0.34224,
-4.39120000000,0.43152,
-4.39100000000,0.47616,
-4.39080000000,0.51088,
-4.39059950000,0.48608,
-4.39040000000,0.47120,
-4.39019950000,0.39184,
-4.39000000000,0.32736,
-4.38980000000,0.21328,
-4.38960000000,0.09424,
-4.38940000000,-0.05952,
-4.38919950000,-0.18848,
-4.38900000000,-0.31744,
-4.38879950000,-0.43648,
-4.38860000000,-0.51584,
-4.38840000000,-0.53568,
-4.38820000000,-0.51584,
-4.38800000000,-0.44640,
-4.38779950000,-0.39680,
-4.38760000000,-0.30256,
-4.38739950000,-0.18848,
-4.38720000000,-0.06944,
-4.38700000000,0.05952,
-4.38680000000,0.16368,
-4.38660000000,0.28768,
-4.38639950000,0.33232,
-4.38620000000,0.42160,
-4.38599950000,0.47616,
-4.38580000000,0.49600,
-4.38560000000,0.49600,
-4.38540000000,0.45632,
-4.38520000000,0.40672,
-4.38500000000,0.31744,
-4.38480000000,0.19840,
-4.38459950000,0.07936,
-4.38440000000,-0.08432,
-4.38420000000,-0.20336,
-4.38400000000,-0.34224,
-4.38380000000,-0.46128,
-4.38360000000,-0.51088,
-4.38340000000,-0.53568,
-4.38319950000,-0.50096,
-4.38300000000,-0.45136,
-4.38280000000,-0.36704,
-4.38260000000,-0.28768,
-4.38240000000,-0.17360,
-4.38220000000,-0.05456,
-4.38200000000,0.05952,
-4.38179950000,0.18352,
-4.38160000000,0.28768,
-4.38140000000,0.37200,
-4.38120000000,0.44640,
-4.38100000000,0.48608,
-4.38080000000,0.49600,
-4.38060000000,0.49600,
-4.38039950000,0.44640,
-4.38020000000,0.38192,
-4.38000000000,0.29264,
-4.37980000000,0.16368,
-4.37960000000,0.04464,
-4.37940000000,-0.07936,
-4.37920000000,-0.23808,
-4.37899950000,-0.34720,
-4.37880000000,-0.48608,
-4.37860000000,-0.51584,
-4.37840000000,-0.52576,
-4.37820000000,-0.47616,
-4.37800000000,-0.43152,
-4.37780000000,-0.36704,
-4.37759950000,-0.25296,
-4.37740000000,-0.17360,
-4.37720000000,-0.03472,
-4.37700000000,0.06944,
-4.37680000000,0.18848,
-4.37660000000,0.31744,
-4.37640000000,0.38192,
-4.37619950000,0.45632,
-4.37600000000,0.47616,
-4.37579950000,0.48608,
-4.37560000000,0.49600,
-4.37540000000,0.43648,
-4.37520000000,0.35712,
-4.37500000000,0.26288,
-4.37479950000,0.15872,
-4.37460000000,0.01488,
-4.37439950000,-0.12400,
-4.37420000000,-0.26288,
-4.37400000000,-0.37200,
-4.37380000000,-0.48608,
-4.37360000000,-0.51088,
-4.37339950000,-0.51584,
-4.37320000000,-0.47616,
-4.37299950000,-0.42160,
-4.37280000000,-0.36704,
-4.37260000000,-0.22816,
-4.37240000000,-0.13888,
-4.37220000000,-0.01984,
-4.37199950000,0.12400,
-4.37180000000,0.22320,
-4.37159950000,0.33232,
-4.37140000000,0.39184,
-4.37120000000,0.44640,
-4.37100000000,0.49600,
-4.37080000000,0.48608,
-4.37059950000,0.47120,
-4.37040000000,0.42160,
-4.37019950000,0.38192,
-4.37000000000,0.25296,
-4.36980000000,0.13392,
-4.36960000000,0.01488,
-4.36940000000,-0.14880,
-4.36920000000,-0.26784,
-4.36900000000,-0.38688,
-4.36879950000,-0.49104,
-4.36860000000,-0.51584,
-4.36840000000,-0.51088,
-4.36820000000,-0.47616,
