#Creator: wheelEventBuffer
#Creation time: Mon May 20 09:05:02 2019
#Time	Angular velocity
#[s]	[rad/s]
0.033988	9.047324
0.068716	9.046803
0.103440	9.044719
0.138180	9.045761
0.172900	9.046282
0.207634	9.043677
0.242372	9.044719
0.277112	9.044719
0.311850	9.041075
0.346608	9.035354
0.381390	9.030679
0.416192	9.023416
0.451026	9.014613
0.485900	9.003246
0.520820	8.989849
0.555796	8.974441
0.590834	8.958063
0.625932	8.943781
0.661082	8.930561
0.696276	8.922444
0.731494	8.916367
0.766732	8.914849
0.801972	8.913331
0.837220	8.914343
0.872456	8.914849
0.907704	8.910297
0.942958	8.913331
0.978210	8.912825
1.013462	8.909792
1.048734	8.903227
1.084032	8.898688
1.119352	8.891132
1.154704	8.882585
1.190096	8.870546
1.225542	8.856542
1.261040	8.842582
1.296606	8.824698
1.332232	8.811333
1.367912	8.798008
1.403638	8.788655
1.439392	8.783249
1.475162	8.781776
1.510938	8.779813
1.546722	8.780794
1.582492	8.781776
1.618274	8.777850
1.654064	8.779322
1.689852	8.779322
1.725640	8.776379
1.761450	8.769519
1.797284	8.765605
1.833140	8.757785
1.869032	8.749005
1.904966	8.736839
1.940950	8.724223
1.976992	8.708745
2.013104	8.690917
2.049278	8.678433
2.085504	8.665028
2.121778	8.655956
2.158080	8.650236
2.194402	8.648807
2.230726	8.646903
2.267064	8.647379
2.303384	8.648331
2.339718	8.644048
2.376062	8.645951
2.412400	8.646903
2.448740	8.642621
2.485100	8.636918
2.521488	8.631698
2.557902	8.624115
2.594348	8.615128
2.630840	8.603803
2.667386	8.589219
2.703994	8.574216
2.740670	8.556934
2.777412	8.544366
2.814208	8.530446
2.851056	8.521191
2.887934	8.514724
2.924832	8.513801
2.961732	8.511495
2.998648	8.512417
3.035544	8.513340
3.072454	8.509189
3.109374	8.511033
3.146290	8.511033
3.183208	8.507807
3.220146	8.501360
3.257114	8.496302
3.294110	8.488038
3.331140	8.479790
3.368218	8.466992
3.405352	8.452867
3.442552	8.438336
3.479820	8.420694
3.517156	8.407624
3.554552	8.394145
3.591998	8.384735
3.629474	8.379368
3.666972	8.377134
3.704474	8.374454
3.741994	8.375347
3.779496	8.375347
3.817010	8.373115
3.854532	8.373561
3.892056	8.373561
3.929580	8.369992
3.967126	8.363752
4.004704	8.358412
4.042308	8.350414
4.079954	8.341102
4.117644	8.329160
4.155396	8.314611
4.193214	8.300113
4.231104	8.282170
4.269068	8.268655
4.307090	8.255184
4.345168	8.245650
4.383278	8.239162
4.421416	8.237002
4.459552	8.236138
4.497702	8.236138
4.535840	8.235707
4.573992	8.233117
4.612150	8.234411
4.650306	8.233980
4.688468	8.230960
4.726648	8.224495
4.764864	8.218471
4.803108	8.211167
4.841390	8.201735
4.879726	8.188908
4.918124	8.174844
4.956588	8.159981
4.995130	8.142638
5.033744	8.129153
5.072422	8.114875
5.111156	8.106081
5.149922	8.099811
5.188716	8.097723
5.227512	8.095219
5.266326	8.095636
5.305122	8.096054
5.343934	8.093134
5.382752	8.094385
5.421570	8.093968
5.460390	8.090216
5.499236	8.083971
5.538116	8.078566
5.577024	8.069850
5.615980	8.060740
5.654984	8.047937
5.694054	8.034353
5.733194	8.018767
5.772414	8.001204
5.811714	7.987371
5.851076	7.973990
5.890496	7.964691
5.929952	7.958235
5.969436	7.955816
6.008922	7.953802
6.048428	7.954205
6.087914	7.954205
6.127420	7.950581
6.166932	7.952191
6.206444	7.951789
6.245960	7.948570
6.285500	7.941336
6.325076	7.936120
6.364686	7.927309
6.404340	7.917719
6.444052	7.904969
6.483830	7.891070
6.523680	7.875640
6.563616	7.857518
6.603632	7.844568
6.643712	7.830881
6.683856	7.820743
6.724038	7.814130
6.764248	7.812575
6.804462	7.809468
6.844694	7.810244
6.884912	7.809856
6.925144	7.807139
6.965386	7.808303
7.005624	7.807915
7.045870	7.803648
7.086144	7.797063
7.126454	7.791648
7.166798	7.782769
7.207190	7.773141
7.247642	7.760085
7.288164	7.745544
7.328764	7.729916
7.369452	7.712837
7.410222	7.698472
7.451062	7.685290
7.491966	7.675526
7.532910	7.668781
7.573884	7.665787
7.614868	7.663543
7.655866	7.663917
7.696850	7.664290
7.737848	7.660926
7.778856	7.662421
7.819862	7.662047
7.860874	7.657938
7.901916	7.650479
7.942998	7.645266
7.984116	7.635975
8.025286	7.625965
8.066520	7.613029
8.107824	7.598299
8.149214	7.582893
8.190690	7.565727
8.232254	7.551542
8.273892	7.537410
8.315598	7.528018
8.357344	7.520810
8.399124	7.518650
8.440910	7.515412
8.482718	7.516132
8.524508	7.516132
8.566316	7.512178
8.608134	7.514334
8.649948	7.513615
8.691772	7.509664
8.733622	7.502848
8.775516	7.496761
8.817448	7.487827
8.859432	7.477846
8.901484	7.464343
8.943616	7.449475
8.985828	7.434666
9.028134	7.417114
9.070534	7.402433
9.113010	7.388506
9.155556	7.379481
9.198146	7.371516
9.240772	7.369095
9.283406	7.365985
9.326062	7.366676
9.368700	7.366331
9.411358	7.363568
9.454020	7.364949
9.496684	7.363568
9.539358	7.360118
9.582062	7.352883
9.624810	7.346693
9.667600	7.337770
9.710446	7.326817
9.753364	7.313513
9.796364	7.299239
9.839450	7.283333
9.882638	7.265142
9.925920	7.251726
9.969284	7.237025
10.012722	7.227369
10.056206	7.220392
10.099726	7.217738
10.143256	7.214092
10.186810	7.214423
10.230348	7.214423
10.273902	7.211442
10.317468	7.212104
10.361032	7.212435
10.404602	7.208133
10.448208	7.200863
10.491856	7.194926
10.535554	7.185053
10.579308	7.174552
10.623140	7.161468
10.667056	7.145830
10.711066	7.130584
10.755180	7.112825
10.799392	7.098682
10.843690	7.084595
10.888066	7.074066
10.932492	7.067064
10.976958	7.063568
11.021436	7.061028
11.065938	7.060393
11.110422	7.060711
11.154926	7.058173
11.199436	7.059124
11.243950	7.057856
11.288472	7.054052
