#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
0.979140	1.130972
1.221514	2.002954
1.371664	2.369976
1.504610	2.383425
1.636964	2.364660
1.770424	2.344087
1.905100	2.321774
2.041082	2.299377
2.178420	2.275527
2.317156	2.253362
2.457122	2.234546
2.598190	2.219172
2.740140	2.206454
2.882900	2.194463
3.026356	2.184848
3.170252	2.180299
3.314314	2.180178
3.458432	2.180148
3.602590	2.178726
3.746846	2.176462
3.891334	2.173511
4.036150	2.166257
4.181592	2.154787
4.327988	2.138360
4.475670	2.117176
4.624868	2.094814
4.775722	2.070843
4.928336	2.046720
5.082782	2.021435
5.239130	1.997528
5.397200	1.976441
5.556840	1.958868
5.717698	1.945885
5.879512	1.936147
6.041918	1.931505
6.204588	1.930698
6.367246	1.931505
6.529962	1.930816
6.692782	1.928493
6.855808	1.925279
7.019178	1.921840
7.183016	1.914251
7.347708	1.901990
7.513708	1.884488
7.681518	1.861265
7.851586	1.834485
8.024252	1.805347
8.199776	1.775252
8.378344	1.743663
8.560036	1.714357
8.744516	1.690155
8.931394	1.671273
9.120062	1.657623
9.310154	1.647107
9.501244	1.640090
9.692984	1.636536
9.885018	1.634731
10.077476	1.631098
10.270570	1.623847
10.464598	1.614285
10.659924	1.603835
10.856800	1.588846
11.055772	1.569870
11.257456	1.547003
11.462570	1.518162
11.671802	1.486089
11.885742	1.452088
12.104912	1.416280
12.329808	1.378460
12.560768	1.342263
12.797508	1.310996
13.039484	1.285042
13.285778	1.264721
13.535604	1.249222
13.787856	1.240031
14.041500	1.236390
14.295692	1.234971
14.550394	1.232558
14.805872	1.227635
15.062284	1.222010
15.320048	1.216870
15.579738	1.204792
15.843046	1.184059
16.112210	1.153505
16.389922	1.112809
16.678874	1.065012
16.981582	1.013875
17.300582	0.959716
17.638500	0.903016
17.997986	0.847984
18.381708	0.793111
18.793130	0.738118
19.234966	0.686066
19.706456	0.645194
20.203024	0.618190
20.717004	0.602493
21.242366	0.592668
21.776776	0.583757
22.322470	0.569837
22.882106	0.552615
23.462070	0.534170
24.076114	0.497383
24.761638	0.434749
25.632002	0.329694
