#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.052642	1.803544
1.213714	2.646934
1.332346	2.719193
1.448034	2.711542
1.564012	2.705238
1.680166	2.702724
1.796390	2.703143
1.912474	2.708316
2.028264	2.716983
2.143580	2.730727
2.258280	2.746532
2.372324	2.763783
2.485656	2.780072
2.598358	2.795459
2.710480	2.808655
2.822158	2.818937
2.933514	2.824767
3.044692	2.827462
3.155834	2.826902
3.267068	2.821722
3.378514	2.816763
3.490176	2.810313
3.602176	2.800543
3.714528	2.791832
3.827250	2.782042
3.940354	2.772760
4.053852	2.763686
4.167684	2.755735
4.281820	2.748646
4.396084	2.748213
4.510268	2.752934
4.624160	2.763346
4.737518	2.778056
4.850286	2.794116
4.962430	2.808805
5.074078	2.820354
5.185366	2.827055
5.296460	2.829703
5.407540	2.827971
5.518764	2.821165
5.630252	2.814946
5.741990	2.808102
5.854066	2.799045
5.966452	2.791187
6.079112	2.784853
6.191946	2.782584
6.304822	2.783422
6.417562	2.788660
6.530034	2.796952
6.642074	2.810112
6.753570	2.824767
6.864492	2.840500
6.974788	2.855682
7.084528	2.870397
7.193730	2.883412
7.302506	2.894090
7.410972	2.900128
7.519268	2.902647
7.627534	2.901789
7.735910	2.895851
7.844508	2.890416
7.953320	2.883994
8.062438	2.874863
8.171856	2.867201
8.281530	2.860779
8.391376	2.858072
8.501306	2.857500
8.611154	2.861300
8.720804	2.868039
8.830102	2.879606
8.938924	2.893504
9.047208	2.909475
9.154886	2.925296
9.262006	2.940905
9.368596	2.953846
9.474798	2.964102
9.580724	2.969032
9.686532	2.970043
9.792374	2.967630
9.898354	2.960638
10.004572	2.955013
10.110992	2.949188
10.217684	2.940630
10.324654	2.933053
10.431866	2.926441
10.539250	2.923554
10.646716	2.923064
10.754102	2.926768
10.861294	2.933874
10.968150	2.945482
11.074566	2.958297
11.180516	2.972628
11.285940	2.986702
11.390892	3.000681
11.495374	3.012940
11.599488	3.023146
11.703338	3.028683
11.807036	3.031079
11.910726	3.029735
12.014524	3.023437
12.118546	3.017513
12.222776	3.010573
12.327312	3.000853
12.432126	2.993133
12.537188	2.986532
12.642420	2.983242
12.747738	2.982449
12.852992	2.986021
12.958078	2.992278
13.062846	3.003779
13.167194	3.016991
13.271082	3.031840
13.374450	3.046186
13.477366	3.059595
13.579854	3.071081
13.682026	3.079993
13.783980	3.084105
13.885834	3.085438
13.987706	3.083318
14.089704	3.076675
14.191914	3.071021
14.294324	3.064371
14.397014	3.055073
14.499982	3.046777
14.603194	3.039819
14.706576	3.036646
14.810042	3.035883
14.913450	3.039349
15.016702	3.045123
15.119684	3.055370
15.222304	3.066704
15.324534	3.079932
15.426310	3.093215
15.527652	3.106981
15.628572	3.118949
15.729166	3.128515
15.829528	3.133446
15.929784	3.134571
16.030064	3.132259
16.130484	3.124719
16.231138	3.117897
16.332016	3.110488
16.433182	3.101031
16.534614	3.093215
16.636280	3.086104
16.738116	3.082592
16.840050	3.081382
16.941940	3.084287
17.043708	3.089078
17.145262	3.097423
17.246528	3.106551
17.347508	3.116598
17.448144	3.126149
17.548482	3.136198
17.648492	3.145871
17.748246	3.154209
17.847798	3.158332
17.947266	3.159285
18.046742	3.157887
18.146332	3.151172
18.246124	3.145430
18.346106	3.139019
18.446356	3.129388
18.546870	3.121304
18.647614	3.114497
18.748524	3.111042
18.849526	3.109626
18.950496	3.112337
19.051338	3.117402
19.151936	3.127581
19.252176	3.139709
19.352028	3.153513
19.451426	3.167247
19.550414	3.180651
19.649014	3.191832
19.747328	3.200547
19.845446	3.204464
19.943490	3.204922
20.041570	3.202308
20.139784	3.195013
20.238214	3.188722
20.336828	3.182520
20.435706	3.173070
20.534834	3.165014
20.634196	3.157760
20.733724	3.153893
20.833356	3.152564
20.932940	3.155604
21.032392	3.161447
21.131586	3.171980
21.230438	3.183552
21.328938	3.196183
21.427040	3.208064
21.524794	3.219967
21.622204	3.230097
21.719350	3.238889
21.816296	3.243437
21.913138	3.245246
22.009980	3.244106
22.106910	3.237954
22.204032	3.231958
22.301338	3.225190
22.398914	3.215024
22.496748	3.206885
22.594814	3.199439
22.693068	3.194493
22.791464	3.191248
22.889868	3.192416
22.988176	3.197810
23.086250	3.207933
23.183992	3.219703
23.281374	3.233089
23.378340	3.246185
23.474940	3.258846
23.571184	3.269291
23.667182	3.277408
23.763004	3.281037
23.858754	3.281722
23.954534	3.279324
24.050426	3.272697
24.146506	3.267251
24.242752	3.260943
24.339240	3.251830
24.435968	3.244106
24.532884	3.237554
24.629950	3.234354
24.727104	3.233023
24.824212	3.236286
24.921194	3.241696
25.017950	3.251291
25.114408	3.262027
25.210548	3.274198
25.306306	3.286597
25.401722	3.298953
25.496788	3.310006
25.591592	3.318958
25.686202	3.323593
25.780718	3.324929
25.875248	3.323030
25.969888	3.315805
26.064732	3.309518
26.159754	3.302559
26.255024	3.293281
26.350514	3.286322
26.446196	3.279941
26.542024	3.275631
26.637980	3.272697
26.733976	3.272151
26.830010	3.270653
26.926060	3.270721
27.022132	3.269427
27.118282	3.266640
27.214548	3.260402
27.311044	3.252032
27.407820	3.240359
27.504994	3.226780
27.602634	3.209506
27.700840	3.189369
27.799714	3.166417
27.899370	3.138705
27.999908	3.111658
28.101336	3.083318
28.203768	3.051868
28.307222	3.021692
28.411686	2.992278
28.517116	2.966397
28.623446	2.942834
28.730540	2.923445
28.838306	2.906030
28.946628	2.893664
29.055378	2.883094
29.164514	2.874652
29.273948	2.866364
29.383724	2.857708
29.493876	2.846729
29.604540	2.832458
29.715858	2.813434
29.828000	2.790642
29.941156	2.763540
30.055506	2.731487
30.171210	2.699751
30.288296	2.666977
30.406910	2.631590
30.527094	2.596572
30.648870	2.562724
30.772158	2.532603
30.896884	2.505177
31.022860	2.481668
31.149958	2.461022
31.277984	2.445771
31.406752	2.432891
31.536186	2.421975
31.666194	2.410750
31.796864	2.398236
31.928256	2.384040
32.060562	2.366477
32.193978	2.344437
32.328784	2.318040
32.465280	2.286890
32.603822	2.249522
32.744714	2.211268
32.888154	2.170448
33.034458	2.125915
33.183802	2.081904
33.336220	2.040075
33.491644	2.002162
33.649946	1.967110
33.810836	1.937389
33.974008	1.912038
34.139070	1.893393
34.305626	1.878179
34.473494	1.865155
34.642524	1.851917
34.812860	1.837554
34.984666	1.820179
35.158432	1.797990
35.334738	1.768317
35.514396	1.731573
35.698382	1.686815
35.887686	1.634561
36.083254	1.580803
36.285890	1.523064
36.496762	1.460350
36.716926	1.396425
36.947212	1.333738
37.188106	1.275857
37.439784	1.222096
37.702094	1.173672
37.974534	1.132130
38.256148	1.098298
38.545780	1.070353
38.842790	1.045727
39.146988	1.020581
39.459142	0.993603
39.780874	0.962044
40.115750	0.919648
40.470258	0.861140
40.856106	0.781172
41.297158	0.669778
41.853870	0.512135
43.248688	0.200074
44.616048	0.136730
46.572286	0.251757
47.692920	0.334434
48.576342	0.394423
49.353910	0.422709
50.099892	0.425092
50.862118	0.405781
51.690000	0.362783
52.647804	0.305993
