#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
0.536358	3.120498
0.624014	5.421025
0.676524	6.973259
0.718158	8.435164
0.754326	9.261225
0.788226	9.348865
0.821836	9.346640
0.855448	9.344972
0.889068	9.344972
0.922684	9.345528
0.956304	9.343304
0.989924	9.344972
1.023546	9.344416
1.057164	9.344972
1.090784	9.344416
1.124410	9.339416
1.158052	9.337750
1.191716	9.329431
1.225400	9.322787
1.259110	9.316152
1.292846	9.310078
1.326602	9.300707
1.360396	9.293003
1.394218	9.285313
1.428058	9.280924
1.461916	9.274896
1.495796	9.272158
1.529674	9.271064
1.563566	9.270517
1.597450	9.271611
1.631334	9.270517
1.665220	9.272706
1.699104	9.271611
1.732986	9.272158
1.766874	9.269969
1.800770	9.265049
1.834680	9.262863
1.868616	9.256313
1.902562	9.250862
1.936534	9.244329
1.970532	9.239435
2.004550	9.227494
2.038614	9.219912
2.072700	9.212341
2.106814	9.206942
2.140938	9.202627
2.175086	9.199393
2.209232	9.198315
2.243392	9.197777
2.277546	9.197777
2.311702	9.197238
2.345856	9.199393
2.380010	9.198854
2.414158	9.200470
2.448308	9.198854
2.482466	9.194008
2.516642	9.191318
2.550842	9.183795
2.585062	9.175748
2.619308	9.170927
2.653580	9.164506
2.687870	9.156493
2.722200	9.147428
2.756558	9.140508
2.790938	9.134661
2.825336	9.129352
2.859754	9.126700
2.894176	9.125639
2.928604	9.125639
2.963026	9.126700
2.997452	9.124579
3.031880	9.126700
3.066304	9.125639
3.100730	9.126170
3.135156	9.124579
3.169592	9.120871
3.204040	9.118223
3.238512	9.112405
3.272998	9.105010
3.307514	9.099208
3.342058	9.091835
3.376624	9.082373
3.411232	9.074502
3.445868	9.066122
3.480528	9.062461
3.515200	9.056191
3.549896	9.054625
3.584594	9.052016
3.619302	9.052016
3.654004	9.053059
3.688708	9.052016
3.723412	9.054103
3.758110	9.053581
3.792810	9.054625
3.827510	9.052538
3.862222	9.047845
3.896948	9.044198
3.931706	9.037434
3.966478	9.030160
4.001276	9.024972
4.036102	9.019789
4.070946	9.009443
4.105834	9.001698
4.140752	8.992937
4.175696	8.987792
4.210654	8.982652
4.245634	8.981111
4.280612	8.979571
4.315606	8.978544
4.350590	8.980084
4.385576	8.978031
4.420566	8.980084
4.455552	8.979571
4.490536	8.980598
4.525522	8.979058
4.560516	8.975466
4.595520	8.972903
4.630556	8.965221
4.665608	8.958063
4.700690	8.951937
4.735800	8.945309
4.770936	8.935133
4.806112	8.927515
4.841318	8.920418
4.876546	8.915355
4.911790	8.909792
4.947056	8.907266
4.982328	8.905246
5.017608	8.905246
5.052880	8.907266
5.088154	8.905246
5.123428	8.907266
5.158704	8.906256
5.193972	8.908276
5.229246	8.904741
5.264534	8.899696
5.299838	8.897679
