#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
0.867150	2.466896
0.976552	4.423906
1.040496	5.897932
1.090458	6.963984
1.134310	7.530184
1.175844	7.675901
1.216788	7.675901
1.257738	7.666535
1.298730	7.661674
1.339746	7.656072
1.380788	7.654207
1.421834	7.652342
1.462886	7.652342
1.503944	7.650852
1.545006	7.652342
1.586070	7.647871
1.627152	7.646382
1.668232	7.648616
1.709316	7.644522
1.750424	7.640432
1.791554	7.637088
1.832714	7.629669
1.873906	7.622635
1.915148	7.613398
1.956428	7.605289
1.997762	7.597196
2.039132	7.590588
2.080540	7.582527
2.121984	7.577772
2.163456	7.571927
2.204956	7.569738
2.246460	7.567550
2.287972	7.567550
2.329486	7.566821
2.371004	7.569008
2.412518	7.565363
2.454050	7.563542
2.495584	7.563906
2.537130	7.559538
2.578698	7.555538
2.620292	7.551905
2.661916	7.545013
2.703568	7.538496
2.745268	7.529823
2.787008	7.521530
2.828804	7.513255
2.870634	7.507151
2.912506	7.497834
2.954416	7.493900
2.996352	7.487827
3.038316	7.486756
3.080282	7.484259
3.122256	7.483903
3.164236	7.482833
3.206222	7.483903
3.248206	7.481051
3.290204	7.479626
3.332198	7.482120
3.374200	7.477490
3.416224	7.473577
3.458278	7.469312
3.500362	7.461506
3.542482	7.454778
3.584652	7.445591
3.626864	7.437835
3.669128	7.430095
3.711428	7.423423
3.753770	7.414663
3.796154	7.410116
3.838568	7.403131
3.881010	7.401736
3.923456	7.399992
3.965906	7.400341
4.008362	7.398946
4.050822	7.401038
4.093278	7.397204
4.135754	7.395463
4.178232	7.395463
4.220722	7.392331
4.263230	7.388506
4.305766	7.384685
4.348330	7.378095
4.390928	7.371170
4.433578	7.361497
4.476270	7.353915
4.519020	7.345318
4.561810	7.338455
4.604642	7.329552
4.647518	7.325109
4.690420	7.319306
4.733350	7.317601
4.776288	7.314875
4.819232	7.315216
4.862182	7.313513
4.905136	7.315897
4.948084	7.313173
4.991048	7.311130
5.034014	7.312492
5.076990	7.307729
5.119992	7.303651
5.163022	7.299239
5.206088	7.292124
5.249188	7.285021
5.292338	7.276585
5.335532	7.268504
5.378782	7.260776
5.422070	7.253400
5.465406	7.244702
5.508784	7.240027
5.552192	7.233693
5.595628	7.232693
5.639068	7.230363
5.682514	7.231029
5.725964	7.229365
5.769422	7.230696
5.812880	7.226704
5.856354	7.225374
5.899830	7.226704
5.943312	7.223713
5.986814	7.219397
6.030346	7.216080
6.073908	7.208464
6.117512	7.200533
6.161170	7.191632
6.204874	7.182753
6.248644	7.174879
6.292448	7.168004
6.336300	7.159509
6.380194	7.154944
6.424118	7.148757
6.468074	7.146805
6.512038	7.143880
6.556008	7.144530
6.599984	7.143230
6.643962	7.145505
6.687934	7.142905
6.731924	7.140632
6.775916	7.141606
6.819920	7.137064
6.863954	7.131879
6.908018	7.128642
6.952116	7.121209
6.996248	7.114436
7.040436	7.105425
7.084672	7.097399
7.128964	7.089711
7.173298	7.082359
7.217682	7.073110
7.262114	7.068018
7.306578	7.062298
7.351070	7.060393
7.395572	7.057856
7.440082	7.057538
7.484602	7.055636
7.529134	7.055636
7.573670	7.051202
7.618234	7.048355
7.662798	7.050253
7.707372	7.046458
7.751968	7.042035
7.796600	7.037618
7.841266	7.030688
7.885972	7.022516
7.930740	7.013423
7.975552	7.005603
8.020428	6.997489
8.065348	6.990016
8.110316	6.981317
8.155332	6.976356
8.200382	6.969855
8.245466	6.968000
8.290556	6.965837
8.335650	6.966455
8.380748	6.965528
8.425852	6.967382
8.470948	6.964293
8.516068	6.961515
8.561192	6.962132
8.606332	6.957815
8.651494	6.954427
8.696684	6.950734
8.741908	6.943974
8.787172	6.936308
8.832498	6.926826
8.877872	6.918893
8.923314	6.909763
8.968802	6.902475
9.014344	6.893388
9.059932	6.888853
9.105554	6.882515
9.151212	6.880404
9.196874	6.878295
9.242548	6.877994
9.288228	6.876188
9.333916	6.877994
9.379596	6.875285
9.425298	6.873781
9.470996	6.874984
9.516708	6.870774
9.562448	6.865969
9.608220	6.862069
9.654034	6.854284
9.699890	6.846517
9.745806	6.837576
9.791776	6.829549
9.837812	6.820357
9.883896	6.813552
9.930030	6.804697
9.976216	6.799395
10.022440	6.792927
10.068696	6.791458
10.114958	6.789403
10.161232	6.788230
10.207516	6.786470
10.253818	6.786177
10.300134	6.779148
10.346496	6.773301
10.392878	6.771549
10.439288	6.768048
10.485718	6.763968
10.532180	6.760475
10.578682	6.752918
10.625228	6.744799
10.671840	6.735256
10.718512	6.726315
10.765252	6.717685
10.812042	6.710511
10.858886	6.701350
10.905784	6.696493
10.952718	6.689933
10.999688	6.687939
11.046668	6.685378
11.093658	6.685093
11.140654	6.683955
11.187656	6.685947
11.234648	6.683671
11.281662	6.681681
11.328672	6.682818
11.375702	6.678272
11.422760	6.673449
11.469856	6.668632
11.516996	6.661845
11.564178	6.653943
11.611424	6.645498
11.658724	6.636794
11.706096	6.628112
11.753522	6.620290
11.801006	6.610817
11.848548	6.605258
11.896128	6.599430
11.943744	6.596936
11.991370	6.594997
12.039004	6.594720
12.086644	6.593889
12.134292	6.594443
12.181938	6.591952
12.229604	6.590016
12.277268	6.591399
12.324944	6.588082
12.372644	6.584216
12.420380	6.579803
12.468160	6.571820
12.515988	6.563856
12.563888	6.554270
12.611848	6.545257
12.659882	6.536814
12.707968	6.528934
12.756118	6.519721
12.804324	6.514583
12.852568	6.508105
12.900852	6.505949
12.949144	6.503794
12.997444	6.503794
13.045750	6.502986
13.094058	6.505141
13.142362	6.502179
13.190688	6.499757
13.239016	6.500564
13.287362	6.496263
13.335738	6.491967
13.384146	6.488213
13.432600	6.481252
13.481098	6.473240
13.529668	6.463650
13.578300	6.454885
13.627008	6.445879
13.675778	6.437690
13.724608	6.428469
13.773498	6.423211
13.822428	6.417176
13.871396	6.414817
13.920378	6.412461
13.969366	6.412199
14.018364	6.410629
14.067372	6.411937
14.116374	6.409582
14.165394	6.408013
14.214412	6.409844
14.263442	6.405400
14.312506	6.400963
14.361610	6.396271
14.410762	6.388207
14.459966	6.380164
14.509244	6.370331
14.558592	6.361560
14.608012	6.353326
14.657490	6.345114
14.707036	6.335900
14.756640	6.330793
14.806288	6.323911
14.855978	6.321621
14.905676	6.319840
14.955386	6.319332
15.005102	6.318315
15.054824	6.320095
15.104544	6.316791
15.154286	6.314505
15.204030	6.315775
15.253790	6.311968
15.303576	6.308166
15.353400	6.304115
15.403270	6.296282
15.453196	6.287964
15.503200	6.277912
15.553272	6.268892
15.603430	6.259649
15.653646	6.251677
15.703934	6.242236
15.754284	6.236784
15.804676	6.230846
15.855112	6.228129
15.905562	6.225167
15.956022	6.225413
16.006490	6.224180
16.056960	6.226647
16.107422	6.224180
16.157906	6.222208
16.208388	6.223194
16.258892	6.219005
16.309428	6.213593
16.360012	6.208681
16.410652	6.200838
16.461344	6.192771
16.512112	6.183751
16.562950	6.174514
16.613872	6.165547
16.664858	6.157329
16.715918	6.147690
16.767046	6.141201
16.818224	6.135204
16.869442	6.133048
16.920672	6.130655
16.971912	6.130655
17.023160	6.129698
17.074416	6.130415
17.125670	6.127546
17.176950	6.125634
17.228226	6.127068
17.279518	6.123485
17.330838	6.119429
17.382202	6.114665
17.433620	6.106820
17.485096	6.098285
17.536654	6.088358
17.588294	6.078463
17.640018	6.069772
17.691812	6.060873
17.743682	6.051999
17.795616	6.046175
17.847602	6.039666
17.899632	6.036881
17.951676	6.035257
18.003728	6.034330
18.055794	6.033634
18.107860	6.035257
18.159924	6.032707
18.212010	6.030854
18.264098	6.030854
18.316210	6.026689
18.368358	6.022299
18.420546	6.017916
18.472790	6.010547
18.525090	6.002049
18.577478	5.992204
18.629940	5.982846
18.682500	5.973518
18.735126	5.964898
18.787834	5.955174
18.840614	5.949310
18.893444	5.943008
18.946320	5.940760
18.999208	5.938289
19.052112	5.937616
19.105028	5.936045
19.157952	5.937392
19.210872	5.934700
19.263816	5.933579
19.316752	5.935148
19.369704	5.931114
19.422694	5.926415
19.475730	5.921723
19.528826	5.913252
19.581990	5.904361
19.635246	5.894391
19.688582	5.884675
19.742016	5.875430
19.795522	5.866872
19.849108	5.857683
19.902772	5.851355
19.956484	5.845041
20.010254	5.841563
20.064038	5.839392
20.117836	5.839174
20.171642	5.837872
20.225452	5.840043
20.279258	5.837222
20.333090	5.834836
20.386926	5.835704
20.440780	5.831587
20.494670	5.827693
20.548604	5.823372
