#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
2.757312	0.279324
3.751516	0.409783
4.450584	0.515485
5.016586	0.613384
5.498798	0.703645
5.924066	0.785269
6.308670	0.857122
6.662774	0.922451
6.993268	0.984776
7.304922	1.036905
7.602806	1.076839
7.891138	1.105502
8.173096	1.125212
8.450542	1.140158
8.724546	1.153598
8.995480	1.165746
9.263502	1.178215
9.528354	1.193487
9.789248	1.213645
10.045506	1.238115
10.296660	1.264324
10.543956	1.280735
10.789114	1.284275
11.033808	1.283792
11.278306	1.285168
11.522796	1.285715
11.767404	1.283372
12.012252	1.281833
12.257004	1.284474
12.501058	1.289917
12.744030	1.295694
12.985572	1.304301
13.225116	1.317937
13.462436	1.330777
13.697616	1.341266
13.931066	1.350677
14.162938	1.358844
14.393040	1.370606
14.620628	1.388623
14.844880	1.412498
15.064994	1.441309
15.280580	1.473114
15.491242	1.509148
15.696678	1.549812
15.896672	1.592454
16.091528	1.633982
16.281648	1.672608
16.467520	1.708576
16.649684	1.742870
16.828572	1.771288
17.004884	1.793986
17.179228	1.811217
17.352114	1.824005
17.523898	1.834314
17.694770	1.843095
17.864826	1.851917
18.034140	1.859107
18.202800	1.866352
18.370652	1.875936
18.537592	1.887704
18.703318	1.902497
18.867708	1.919444
19.030496	1.939446
19.191428	1.964257
19.350160	1.993169
19.506610	2.023622
19.660720	2.054053
19.812568	2.083782
19.962338	2.113188
20.110198	2.137778
20.256508	2.157717
20.401628	2.173030
20.545880	2.183663
20.689518	2.191523
20.832676	2.197656
20.975428	2.203946
21.117772	2.209650
21.259674	2.217856
21.400904	2.229693
21.541318	2.244893
21.680646	2.263591
21.818776	2.284728
21.955546	2.308806
22.090814	2.336243
22.224442	2.365337
22.356528	2.392865
22.487138	2.418507
22.616358	2.443526
22.744330	2.468020
22.871118	2.488508
22.996940	2.506017
23.121982	2.519684
23.246452	2.529096
23.370502	2.536693
23.494212	2.542482
23.617632	2.548587
23.740782	2.553186
23.863672	2.559593
23.986144	2.569306
24.108104	2.582272
24.229342	2.598978
24.349780	2.617688
24.469294	2.639195
24.587810	2.662683
24.705232	2.687511
24.821632	2.711495
24.937014	2.734435
25.051412	2.757379
25.164920	2.779826
25.277574	2.798497
25.389542	2.813787
25.500990	2.824970
25.612074	2.831999
25.722906	2.837575
25.833544	2.841784
25.944016	2.846264
26.054376	2.847193
26.164734	2.847090
26.275076	2.846677
26.385432	2.846986
26.495688	2.850396
26.605818	2.854696
26.715734	2.861248
26.825306	2.871919
26.934328	2.889246
27.042712	2.908559
27.150388	2.927041
27.257342	2.946587
27.363612	2.967350
27.469196	2.984262
27.574218	2.999134
27.678792	3.009880
27.783052	3.017223
27.887090	3.022913
27.990950	3.026874
28.094654	3.031957
28.198194	3.035883
28.301584	3.041350
28.404718	3.049853
28.507540	3.060609
28.609934	3.074567
28.711854	3.089929
28.813228	3.107719
28.913996	3.127768
29.014072	3.149719
29.113502	3.170444
29.212298	3.189823
29.310484	3.208916
29.408136	3.227244
29.505266	3.241964
29.601990	3.254525
29.698398	3.263585
29.794574	3.269563
29.890582	3.275427
29.986432	3.280009
30.082136	3.285360
30.177690	3.289626
30.273122	3.294663
30.368356	3.301935
30.463364	3.311262
30.558042	3.323944
30.652348	3.338001
30.746222	3.354969
30.839604	3.373776
30.932432	3.394041
31.024760	3.412401
31.116586	3.430061
31.207932	3.447829
31.298842	3.465400
31.389312	3.479909
31.479430	3.492599
31.569270	3.501943
31.658910	3.507808
31.748420	3.512593
31.837824	3.515501
31.927134	3.519597
32.016354	3.522281
32.105494	3.526788
32.194478	3.533214
32.283302	3.540621
32.371892	3.550785
32.460246	3.560766
32.548356	3.570479
32.636212	3.581387
32.723774	3.593513
32.811092	3.603405
32.898140	3.613768
32.984878	3.628543
33.071290	3.644454
33.157338	3.657608
33.243100	3.669142
33.328622	3.678077
33.413972	3.683943
33.499200	3.689047
33.584326	3.692342
33.669362	3.696513
33.754308	3.699647
33.839184	3.703573
33.923922	3.709958
34.008506	3.718389
34.092844	3.730310
34.176918	3.742843
34.260678	3.758246
34.344094	3.774682
34.427118	3.792179
34.509792	3.808545
34.592112	3.824494
34.674066	3.840953
34.755706	3.857365
34.837020	3.870291
34.918072	3.881672
34.998930	3.889554
35.079660	3.894182
35.160302	3.897854
35.240882	3.899790
35.321410	3.902987
35.401896	3.903278
35.482394	3.903084
35.562872	3.903472
35.643346	3.904346
35.723740	3.909399
35.804044	3.915050
35.884216	3.921892
35.964242	3.930037
36.044046	3.940981
36.123630	3.954275
36.202926	3.969364
36.281914	3.984366
36.360630	3.999787
36.439060	4.011636
36.517264	4.022732
36.595290	4.030680
36.673186	4.035547
36.751002	4.039802
36.828746	4.042193
36.906428	4.046150
36.984042	4.048757
37.061604	4.052518
37.139058	4.058381
37.216398	4.065944
37.293550	4.076602
37.370502	4.088167
37.447220	4.101724
37.523674	4.116882
37.599814	4.133892
37.675676	4.149618
37.751248	4.164691
37.826534	4.180318
37.901576	4.194607
37.976376	4.205613
38.050992	4.215205
38.125466	4.222003
38.199844	4.225979
38.274160	4.229620
38.348446	4.229392
38.422758	4.227002
38.497156	4.218715
38.571758	4.205838
38.646594	4.190019
38.721756	4.170883
38.797252	4.151043
38.873134	4.129654
38.949386	4.109988
39.025992	4.092214
39.102900	4.076496
39.180142	4.058905
39.257718	4.040426
39.335642	4.022320
39.413938	4.004477
39.492602	3.983052
39.571704	3.960557
39.651290	3.935058
39.731430	3.905705
39.812186	3.875830
39.893584	3.843773
39.975652	3.812705
40.058398	3.780315
40.141858	3.748828
40.225976	3.719622
40.310748	3.692429
40.396098	3.668114
40.482016	3.644877
40.568458	3.623605
40.655406	3.603405
40.742820	3.583593
40.830778	3.561331
40.919292	3.537431
41.008408	3.512828
41.098182	3.487868
41.188614	3.460361
41.279784	3.431784
41.371740	3.401465
41.464566	3.368061
41.558330	3.334104
41.653080	3.297914
41.748864	3.262501
41.845712	3.225123
41.943682	3.188916
42.042718	3.154716
42.142810	3.122918
42.243856	3.094251
42.345828	3.067123
42.448660	3.042764
42.552298	3.020239
42.656680	2.998561
42.761872	2.975444
42.867890	2.951515
42.974750	2.927695
43.082530	2.903720
43.191256	2.876021
43.301100	2.845182
43.412242	2.809659
43.524896	2.769192
43.639260	2.726320
43.755466	2.681684
43.873620	2.636980
43.993812	2.591090
44.116130	2.546522
44.240512	2.504538
44.366974	2.464574
44.495396	2.427327
44.625778	2.391954
44.758024	2.358943
44.892054	2.329072
45.027744	2.301095
45.165180	2.271808
45.304456	2.240410
45.445696	2.208253
45.589090	2.175468
45.734842	2.137225
45.883400	2.094283
46.035276	2.045414
46.191062	1.990441
46.351374	1.931695
46.516762	1.869996
46.687818	1.806240
46.865188	1.738972
47.049582	1.671291
47.241428	1.605639
47.441132	1.542628
47.648944	1.482401
47.865272	1.423958
48.090404	1.368373
48.324656	1.315630
48.568454	1.263582
48.822950	1.208956
49.089934	1.149032
49.371886	1.083846
49.672522	1.013567
49.997920	0.929069
50.360554	0.822811
50.787740	0.683594
51.376842	0.477051
52.758560	0.147215
54.160562	0.375509
54.912584	0.531812
55.467136	0.626622
55.949376	0.688538
56.395314	0.727638
56.822242	0.748429
57.237870	0.763475
57.646960	0.774516
58.051638	0.779277
58.453712	0.782827
58.852628	0.790596
59.245088	0.808031
59.626910	0.836068
59.994118	0.873854
60.343746	0.923064
60.673600	0.983216
60.983152	1.049920
