#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
6.156370	0.130742
8.204770	0.248904
9.325766	0.345320
10.155506	0.432118
10.827992	0.517233
11.397008	0.600216
11.892810	0.678237
12.336276	0.747600
12.741884	0.807948
13.118186	0.865858
13.471692	0.917173
13.807942	0.956351
14.132672	0.982442
14.450454	0.997502
14.764526	1.004371
15.076592	1.009068
15.387212	1.013679
15.696650	1.017283
16.004560	1.022348
16.310222	1.032101
16.613236	1.042548
16.913812	1.048631
17.213270	1.051115
17.512692	1.048141
17.813056	1.043712
18.113910	1.042575
18.414274	1.048827
18.712878	1.055260
19.009134	1.064283
19.301562	1.082285
19.588304	1.107466
19.868498	1.136636
20.142492	1.159011
20.412066	1.173909
20.678912	1.182010
20.944208	1.186770
21.208600	1.190024
21.472472	1.191532
21.735746	1.194195
21.997844	1.201521
22.257646	1.215486
22.513862	1.235544
22.765516	1.261056
23.011738	1.290224
23.252010	1.324382
23.486152	1.360197
23.714066	1.397220
23.936052	1.434543
24.152614	1.468610
24.364192	1.501631
24.571572	1.530439
24.775482	1.552830
24.976896	1.568538
25.176612	1.579007
25.375204	1.585366
25.573094	1.590004
25.770436	1.593859
25.967434	1.596322
26.164046	1.598889
26.360164	1.603917
26.555354	1.613920
26.749058	1.628561
26.940774	1.648299
27.129938	1.672252
27.316180	1.700769
27.499226	1.731821
27.679038	1.763850
27.855728	1.792962
28.029686	1.819968
28.201004	1.847670
28.369992	1.871890
28.537014	1.891546
28.702528	1.906144
28.867014	1.915348
29.030872	1.919960
29.194436	1.921769
29.357862	1.922804
29.521262	1.922992
29.684528	1.924571
29.847496	1.929630
30.009836	1.939877
30.171184	1.953314
30.331288	1.970911
30.489844	1.991122
30.646642	2.015159
30.801522	2.041560
30.954408	2.069179
31.105344	2.094144
31.254558	2.117461
31.402090	2.141508
31.548158	2.161339
31.693000	2.177669
31.836904	2.189935
31.980142	2.197932
32.122946	2.202308
32.265532	2.204657
32.407966	2.206392
32.550340	2.207415
32.692588	2.209060
32.834640	2.213013
32.976306	2.221431
33.117326	2.233053
33.257508	2.248910
