#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.971100	0.194431
3.430178	0.327861
4.332620	0.385566
5.125458	0.415517
5.874810	0.425904
6.609962	0.429919
7.341682	0.429883
8.072922	0.428444
8.796196	0.436589
9.493382	0.461712
10.145486	0.501911
10.742972	0.552729
11.286360	0.607924
11.780206	0.668450
12.229886	0.734425
12.640770	0.800720
13.019730	0.863492
13.373272	0.919191
13.706448	0.969603
14.023252	1.017817
14.326664	1.057014
14.620330	1.085854
14.907436	1.105043
15.190576	1.116035
15.471548	1.121253
15.751300	1.124761
16.030202	1.128381
16.308306	1.130712
16.585388	1.135863
16.860506	1.146567
17.132584	1.162038
17.400384	1.182704
17.663010	1.209291
17.919704	1.238691
18.170522	1.268162
18.416636	1.288319
18.660030	1.295780
18.902260	1.297943
19.141824	1.317108
19.377196	1.353761
19.606880	1.384376
19.832126	1.407360
20.054260	1.422939
20.274488	1.431719
20.493640	1.436091
20.712160	1.439328
20.930204	1.442514
21.147742	1.445327
21.364650	1.450693
21.580308	1.461192
21.794146	1.476548
22.005426	1.496139
22.213752	1.519351
22.418594	1.547323
22.619502	1.579992
22.816166	1.615065
23.008746	1.649095
23.197552	1.680176
23.382942	1.709245
23.565346	1.737357
23.745090	1.759878
23.922794	1.777140
24.099022	1.789429
24.274274	1.796900
24.448930	1.801248
24.623208	1.804227
24.797216	1.806905
24.971016	1.808153
25.144616	1.810862
25.317720	1.817399
25.490010	1.828634
25.660996	1.844697
25.830366	1.864425
25.997776	1.888135
26.162988	1.915021
26.325808	1.943742
26.486342	1.971381
26.644702	1.997046
26.801042	2.021773
26.955568	2.045947
27.108432	2.065641
27.260006	2.080745
27.410652	2.091161
27.560704	2.097051
27.710404	2.100753
27.859872	2.103088
28.009180	2.105456
28.158334	2.106670
28.307352	2.109499
28.456022	2.115608
28.604166	2.125110
28.751462	2.139117
28.897730	2.156088
29.042708	2.176945
29.186220	2.201351
29.328086	2.227164
29.468422	2.251263
29.607294	2.273781
29.744792	2.295580
29.881050	2.317185
30.016138	2.334923
30.150296	2.349311
30.283764	2.359332
30.416784	2.365016
30.549562	2.368011
30.682210	2.368904
30.814798	2.370119
30.947322	2.370584
31.079768	2.373055
31.211944	2.379237
31.343704	2.389080
