#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
3.002864	0.315775
3.873226	0.534119
4.405150	0.692652
4.824840	0.833411
5.178934	0.961897
5.489442	1.078444
5.769176	1.180127
6.026138	1.273085
6.265732	1.357904
6.491832	1.428334
6.707672	1.487144
6.915604	1.538518
7.117228	1.581089
7.313788	1.616644
7.506108	1.651766
7.694532	1.684085
7.879546	1.713104
8.061354	1.742986
8.239926	1.775031
8.415074	1.811760
8.586542	1.852726
8.754006	1.898978
8.917238	1.950282
9.076042	2.006895
9.230382	2.065315
9.380476	2.123530
9.526568	2.178908
9.669056	2.232672
9.808282	2.282338
9.944684	2.326589
10.078670	2.364980
10.210602	2.399078
10.340798	2.428491
10.469546	2.452262
10.597064	2.475800
10.723412	2.497609
10.848764	2.516052
10.973210	2.533175
11.096718	2.552480
11.219216	2.576428
11.340656	2.598634
11.461016	2.621402
11.580218	2.647960
11.698000	2.684847
11.814160	2.724806
11.928680	2.763346
12.041626	2.800043
12.153162	2.834554
12.263380	2.866521
12.372470	2.895104
12.480554	2.919262
12.587756	2.942117
12.694130	2.965053
12.799754	2.983809
12.904704	3.003435
13.008964	3.023029
13.112622	3.039408
13.215690	3.056916
13.318108	3.076193
13.419846	3.099073
13.520816	3.124098
13.620900	3.152943
13.720040	3.184326
13.818152	3.219505
13.915186	3.255604
14.011162	3.292177
14.106066	3.328381
14.199960	3.364094
14.292884	3.397859
14.384928	3.429911
14.476186	3.457010
14.566760	3.480835
14.656758	3.502021
14.746274	3.516918
14.835414	3.532499
14.924172	3.546776
15.012650	3.556091
15.100854	3.566668
15.188772	3.579265
15.276362	3.593513
15.363624	3.607460
15.450506	3.624023
15.536992	3.640822
15.623032	3.660762
15.708576	3.683252
15.793590	3.708469
15.878006	3.733946
15.961848	3.760315
16.045110	3.785781
16.127830	3.811040
16.210032	3.833642
16.291764	3.854431
16.373086	3.872867
16.454054	3.886955
16.534718	3.902793
16.615054	3.918077
16.695124	3.930430
16.774908	3.944346
16.854408	3.958261
16.933596	3.975190
17.012446	3.993888
17.090874	4.016355
17.168858	4.040530
17.246340	4.068261
17.323288	4.096590
17.399712	4.126074
17.475582	4.154996
17.550932	4.183993
17.625770	4.211815
17.700146	4.237607
17.774102	4.259556
17.847688	4.279166
17.920966	4.296841
17.993972	4.309100
18.066768	4.322856
18.139326	4.336222
18.211698	4.346541
18.283868	4.359327
18.355822	4.372067
18.427544	4.387454
18.499016	4.404184
18.570180	4.424155
18.641012	4.445944
18.711464	4.471763
18.781508	4.498014
18.851154	4.524965
18.920372	4.551845
18.989196	4.577980
19.057642	4.601987
19.125752	4.624205
19.193558	4.643480
19.261090	4.660840
19.328382	4.677356
19.395462	4.688804
19.462374	4.701857
19.529098	4.714699
19.595676	4.723773
19.662106	4.734452
19.728378	4.745608
19.794472	4.759556
19.860376	4.774892
19.926034	4.793836
19.991432	4.813669
20.056532	4.837238
20.121316	4.860739
20.185794	4.885228
20.249934	4.910119
20.313760	4.934645
20.377268	4.958322
20.440496	4.980331
20.503474	4.998238
20.566228	5.014513
20.628794	5.028962
20.691202	5.038318
20.753488	5.049493
20.815630	5.061534
20.877656	5.069538
20.939560	5.080031
21.001338	5.089907
21.062976	5.102473
21.124470	5.115934
21.185768	5.133321
21.246860	5.151165
21.307714	5.173049
21.368316	5.194776
21.428666	5.217552
21.488746	5.239481
21.548584	5.261770
21.608172	5.281941
21.667546	5.301550
21.726720	5.318243
21.785708	5.333411
21.844538	5.347574
21.903234	5.356875
21.961824	5.367308
22.020300	5.377414
22.078692	5.384418
22.136990	5.392922
22.195188	5.402010
22.253276	5.413925
22.311242	5.426081
22.369050	5.442249
22.426688	5.458703
22.484128	5.479076
22.541360	5.498832
22.598386	5.520670
22.655176	5.542096
22.711754	5.563886
22.768114	5.583664
22.824292	5.602583
22.880300	5.617008
22.936164	5.630700
22.991902	5.642634
23.047538	5.650143
23.103092	5.660323
23.158538	5.671154
23.213908	5.677714
23.269198	5.686552
23.324400	5.694386
23.379514	5.705140
23.434528	5.716560
23.489406	5.731997
23.544138	5.747517
23.598702	5.767353
23.653082	5.786261
23.707290	5.805937
23.761302	5.825748
23.815140	5.845476
23.868796	5.864025
23.922290	5.882692
23.975634	5.897489
24.028844	5.910805
24.081940	5.923733
24.134942	5.930443
24.187876	5.939861
24.240724	5.948859
24.293516	5.954271
24.346236	5.963087
24.398884	5.970793
24.451448	5.981252
24.503930	5.991975
24.556290	6.006869
24.608528	6.020914
24.660622	6.039898
24.712552	6.058535
24.764330	6.077757
24.815932	6.097338
24.867378	6.116570
24.918662	6.134246
24.969814	6.150820
25.020842	6.163853
25.071760	6.176213
25.122576	6.188379
25.173312	6.195213
25.223984	6.205002
25.274574	6.214576
25.325110	6.219990
25.375588	6.226894
25.426010	6.233814
25.476362	6.243477
25.526642	6.253419
25.576820	6.267892
25.626884	6.281929
25.676822	6.299564
25.726622	6.316537
25.776292	6.334878
25.825808	6.352812
25.875188	6.372140
25.924418	6.389507
25.973528	6.406707
26.022518	6.419799
26.071406	6.432681
26.120204	6.444028
26.168930	6.449849
26.217610	6.458070
26.266220	6.467110
26.314780	6.472973
26.363282	6.481520
26.411722	6.488481
26.460098	6.498682
26.508420	6.506218
26.556674	6.514853
26.604890	6.517286
26.653088	6.519721
26.701294	6.515394
26.749552	6.506757
26.797884	6.493040
26.846336	6.476442
26.894908	6.458335
26.943630	6.438745
26.992508	6.417438
27.041548	6.394969
27.090760	6.373433
27.140160	6.344857
27.189780	6.318823
27.239602	6.291994
27.289658	6.262145
27.339936	6.234308
27.390440	6.205738
27.441166	6.180101
27.492106	6.155158
27.543232	6.133767
27.594538	6.112048
27.646014	6.094027
27.697640	6.075876
27.749426	6.058068
27.801350	6.041757
27.853424	6.024609
27.905648	6.006180
27.958048	5.986038
28.010636	5.962860
28.063436	5.938065
28.116458	5.912807
28.169724	5.882251
28.223262	5.854408
28.277048	5.826828
28.331118	5.795441
28.385464	5.765871
28.440090	5.735764
28.494988	5.708458
28.550158	5.680999
28.605568	5.657877
28.661204	5.634942
28.717048	5.616004
28.773084	5.596196
28.829324	5.577320
28.885744	5.558177
28.942366	5.538969
28.999186	5.518731
29.056228	5.497292
29.113510	5.472967
29.171048	5.447345
29.228870	5.420464
29.287002	5.387743
29.345482	5.356875
29.404298	5.325636
29.463492	5.290836
29.523050	5.258248
29.582974	5.226580
29.643252	5.196151
29.703888	5.166923
29.764840	5.140713
29.826102	5.115601
29.887638	5.093704
29.949442	5.072485
30.011506	5.052254
30.073806	5.032184
30.136370	5.011634
30.199194	4.989189
30.262324	4.964747
30.325790	4.936972
30.389618	4.907512
30.453842	4.876584
30.518494	4.841413
30.583616	4.807922
30.649192	4.773586
30.715272	4.736307
30.781860	4.699887
30.848960	4.663192
30.916570	4.629521
30.984676	4.596735
31.053230	4.567729
31.122220	4.539611
31.191610	4.514820
31.261378	4.490299
31.331532	4.467058
31.402038	4.443805
31.472920	4.420918
31.544186	4.395803
31.615882	4.369149
31.688050	4.338497
31.760744	4.305675
31.834024	4.269977
31.907952	4.229278
31.982586	4.190131
32.057920	4.150276
32.134022	4.107624
32.210892	4.066365
32.288544	4.024793
32.366974	3.985882
32.446172	3.948014
32.526084	3.914269
32.606676	3.881672
32.687896	3.853580
32.769710	3.825985
32.852120	3.799425
32.935102	3.771963
33.018708	3.744092
33.102964	3.713291
33.187960	3.680576
33.273760	3.644116
33.360446	3.605059
33.448114	3.563593
33.536864	3.516603
33.626810	3.469993
33.717992	3.421767
33.810528	3.370084
33.904468	3.318958
33.999848	3.268543
34.096662	3.221089
34.194906	3.175186
34.294514	3.132571
34.395450	3.091997
34.497658	3.055311
34.601072	3.020007
34.705698	2.986305
34.811502	2.952181
34.918564	2.917635
35.026958	2.879764
35.136886	2.838241
35.248546	2.791137
35.362210	2.739060
35.478174	2.681821
35.596758	2.618387
35.718248	2.555428
35.842838	2.489889
35.970902	2.419737
36.102744	2.348328
36.238650	2.276450
36.378806	2.207632
36.523374	2.140633
36.672394	2.076674
36.825924	2.016452
36.983956	1.960383
37.146524	1.905589
37.313890	1.850979
37.486378	1.793863
37.664644	1.733790
37.849534	1.668468
38.042352	1.595624
38.245042	1.512039
38.460460	1.414902
38.693136	1.300145
38.949886	1.165634
39.242336	1.011121
39.595398	0.819562
40.110090	0.540822
41.176282	0.198454
42.254504	0.419160
42.917204	0.639752
43.368674	0.793596
43.740950	0.917259
44.066562	1.026879
44.360556	1.122896
44.631774	1.203039
44.886668	1.268910
45.129546	1.322843
45.363132	1.369745
45.589020	1.413515
45.808116	1.455802
46.021150	1.495512
46.228510	1.535150
46.430478	1.576219
46.627040	1.620798
46.818110	1.668114
47.003656	1.719273
47.183602	1.773088
47.357982	1.830893
47.526956	1.889521
47.690792	1.948009
47.849912	2.002800
48.004832	2.055048
48.155846	2.106868
48.303384	2.154196
48.447874	2.196426
48.589764	2.233910
48.729418	2.266858
48.867154	2.295982
49.003242	2.321740
49.137826	2.346889
49.271040	2.370834
49.402862	2.395273
49.533308	2.420967
49.662284	2.450311
49.789696	2.480962
49.915504	2.513877
50.039606	2.548422
50.161906	2.588101
50.282328	2.630048
50.400846	2.672877
50.517526	2.712806
50.632538	2.751342
50.745932	2.790195
50.857850	2.825122
50.968454	2.856928
51.077892	2.885690
51.186310	2.911038
51.293812	2.933984
51.400522	2.954624
51.506482	2.974937
51.611758	2.994331
51.716330	3.014039
51.820204	3.034007
51.923338	3.057868
52.025632	3.083802
52.127022	3.113447
52.227420	3.144360
52.326794	3.178013
52.425130	3.211803
52.522436	3.246453
52.618734	3.278571
52.714104	3.310145
52.808538	3.343471
52.902094	3.373269
52.994864	3.400655
53.086950	3.424228
53.178458	3.443521
53.269482	3.459523
53.360126	3.472755
53.450410	3.485933
53.540398	3.497810
53.630080	3.508356
53.719494	3.517942
53.808650	3.529800
53.897510	3.540700
53.986068	3.554401
54.074250	3.569911
54.161988	3.589899
54.249250	3.610777
54.335974	3.634336
54.422102	3.659738
54.507626	3.687315
54.592488	3.716542
54.676744	3.741684
54.760440	3.765724
54.843636	3.787972
54.926380	3.806791
55.008722	3.823750
55.090728	3.838607
55.172404	3.853391
55.253792	3.867909
55.334846	3.883400
55.415580	3.898435
55.495968	3.917589
55.575948	3.937326
55.655510	3.960557
55.734586	3.984669
55.813166	4.010510
55.891244	4.036792
55.968808	4.064892
56.045848	4.090509
56.122416	4.116127
56.198488	4.143269
56.274106	4.166679
56.349318	4.187897
56.424172	4.207190
56.498710	4.223479
56.572964	4.238065
56.646980	4.251255
56.720750	4.265107
56.794300	4.278700
56.867600	4.292849
56.940656	4.306974
57.013456	4.323808
57.085960	4.341255
57.158160	4.361869
57.230000	4.383414
57.301466	4.407644
57.372544	4.432019
57.443232	4.458057
57.513520	4.480820
57.583460	4.503430
57.653024	4.528226
57.722250	4.548945
57.791164	4.568792
57.859798	4.587070
57.928180	4.602527
57.996332	4.616459
58.064304	4.628157
58.132086	4.640188
58.199710	4.652419
58.267146	4.664577
58.334400	4.677077
58.401458	4.692446
58.468292	4.708199
58.534886	4.727470
58.601192	4.747760
58.667204	4.769673
58.732914	4.792081
58.798314	4.816473
58.863390	4.838281
58.928182	4.859836
58.992670	4.883102
59.056892	4.901234
59.120878	4.918576
59.184652	4.934645
59.248232	4.948949
59.311626	4.961924
59.374882	4.971976
59.438026	4.978910
59.501138	4.979541
59.564276	4.973393
59.627536	4.960044
59.691002	4.941787
59.754730	4.918268
59.818772	4.894056
59.883142	4.866913
59.947850	4.842159
60.012892	4.817802
60.078262	4.795446
60.143948	4.769528
60.209996	4.744032
60.276374	4.721218
60.343116	4.693708
60.410254	4.665408
60.477816	4.635805
60.545844	4.602122
60.614364	4.567463
60.683436	4.529924
60.753068	4.493125
60.823292	4.455401
60.894094	4.418804
60.965490	4.381457
61.037492	4.345819
61.110092	4.308509
61.183322	4.272764
61.257156	4.236693
61.331600	4.202800
61.406662	4.168227
61.482320	4.136832
61.558550	4.105047
61.635362	4.075227
61.712706	4.048027
61.790628	4.016457
61.869172	3.983658
61.948396	3.948808
62.028362	3.910177
62.109126	3.869814
62.190766	3.827290
62.273312	3.784231
62.356832	3.740437
62.441316	3.696861
62.526802	3.652930
62.613282	3.612604
62.700716	3.573321
62.789094	3.536794
62.878360	3.501396
62.968504	3.468307
63.059518	3.435462
63.151398	3.403971
63.244156	3.370084
63.337860	3.335874
63.432500	3.303254
63.528154	3.266504
63.624942	3.226647
63.722996	3.183294
63.822492	3.134071
63.923584	3.082168
64.026428	3.028508
64.131106	2.974542
64.237742	2.919479
64.346394	2.864221
64.457148	2.809308
64.570052	2.756654
64.685104	2.704725
64.802344	2.655615
64.921718	2.607867
65.043222	2.563059
