#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
2.199946	0.315304
3.072638	0.487498
3.655774	0.628123
4.118458	0.755754
4.508460	0.874321
4.849578	0.983389
5.155804	1.080134
5.436526	1.166959
5.697816	1.244925
5.944208	1.311839
6.179382	1.365577
6.406220	1.407852
6.627018	1.441031
6.843256	1.465856
7.056026	1.488540
7.265910	1.506427
7.473390	1.521854
7.678486	1.541099
7.880740	1.564164
8.079662	1.593552
8.274768	1.626892
8.465518	1.666150
8.651516	1.711648
8.832388	1.762702
9.008074	1.815047
9.178852	1.866574
9.345054	1.915278
9.507126	1.962956
9.665398	2.008563
9.820358	2.048883
9.972546	2.082124
10.122488	2.109867
10.270656	2.132380
10.417412	2.149332
10.563012	2.166675
10.707476	2.182571
10.850970	2.197041
10.993488	2.211548
11.134978	2.228080
11.275288	2.248975
11.414224	2.273222
11.551534	2.301904
11.687046	2.334125
11.820572	2.371049
11.951972	2.410565
12.081238	2.451420
12.208348	2.491864
12.333462	2.531338
12.456686	2.568507
12.578268	2.601518
12.698448	2.628464
12.817496	2.650820
12.935642	2.668654
13.053086	2.681363
13.169976	2.694472
13.286306	2.706729
13.402178	2.716466
13.517564	2.728403
13.632406	2.741977
13.746608	2.758784
13.860082	2.778204
13.972666	2.801891
14.084238	2.828938
14.194662	2.860466
14.303858	2.893450
14.411828	2.927095
14.518558	2.959969
14.624142	2.991708
14.728638	3.021518
14.832180	3.048433
14.934886	3.070720
15.036884	3.089990
15.138306	3.106366
15.239256	3.117587
15.339840	3.129825
15.440040	3.140776
15.539952	3.148835
15.639568	3.158332
15.738856	3.168781
15.837764	3.182907
15.936218	3.198982
16.034102	3.219043
16.131348	3.241629
16.227852	3.268475
16.323544	3.297083
16.418414	3.326760
16.512426	3.356402
16.605634	3.385337
16.698062	3.412697
16.789808	3.437417
16.880952	3.457695
16.971600	3.474675
17.061854	3.488023
17.151800	3.497264
17.241502	3.507573
17.330940	3.517548
17.420176	3.524494
17.509202	3.532896
17.598000	3.542138
17.686524	3.554481
17.774726	3.569180
17.862504	3.588013
17.949806	3.608454
18.036566	3.633243
18.122726	3.658545
18.208304	3.684720
18.293262	3.710309
18.377648	3.736077
18.461458	3.760765
18.544754	3.783593
18.627598	3.802276
18.710056	3.818451
18.792188	3.832332
18.874076	3.840766
18.955776	3.850180
19.037276	3.859071
19.118630	3.865148
19.199814	3.873632
19.280814	3.882728
19.361596	3.894375
19.442134	3.907356
19.522350	3.924440
19.602208	3.943158
19.681640	3.966157
19.760612	3.989729
19.839118	4.014610
19.917124	4.039595
19.994666	4.064051
20.071754	4.086465
20.148460	4.106442
20.224826	4.122392
20.300918	4.135742
20.376780	4.147427
20.452460	4.154667
20.527994	4.163697
20.603362	4.172767
