#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.140644	0.818520
1.481040	1.266342
1.709128	1.569243
1.897126	1.819589
2.061340	2.037059
2.209194	2.235150
2.344636	2.420930
2.470242	2.596486
2.587716	2.763783
2.698412	2.923228
2.803286	3.077157
2.903094	3.226780
2.998414	3.371821
3.089824	3.509689
3.177758	3.641751
3.262590	3.769429
3.344658	3.893507
3.424204	4.009895
3.501506	4.122176
3.576780	4.228709
3.650220	4.330126
3.721994	4.427897
3.792226	4.521058
3.861024	4.614154
3.928468	4.703405
3.994660	4.791935
4.059626	4.880220
4.123440	4.968516
4.186106	5.058111
4.247686	5.146946
4.308210	5.235988
4.367718	5.325455
4.426220	5.414672
4.483798	5.500565
4.540482	5.585451
4.596312	5.669517
4.651336	5.752779
4.705582	5.831587
4.759100	5.909470
4.811942	5.983074
4.864144	6.053865
4.915750	6.123485
4.966782	6.190086
5.017256	6.258901
5.067188	6.324675
5.116612	6.390546
5.165516	6.456743
5.213930	6.522970
5.261836	6.591399
5.309256	6.659303
5.356190	6.729196
5.402640	6.799395
5.448598	6.870774
5.494108	6.938146
5.539174	7.004666
5.583812	7.070563
5.628050	7.136415
5.671880	7.198883
5.715326	7.262790
5.758406	7.323743
5.801136	7.380868
5.843538	7.438891
5.885620	7.493185
5.927390	7.549002
5.968858	7.602712
6.010038	7.657192
6.050916	7.712079
6.091508	7.768144
6.131796	7.825809
6.171796	7.883545
6.211500	7.941738
6.250914	8.001204
6.290028	8.060740
6.328868	8.119069
6.367428	8.175270
6.405720	8.232254
6.443756	8.290913
6.481530	8.342874
6.519064	8.396388
6.556366	8.448321
6.593444	8.497681
6.630308	8.548086
6.666960	8.595329
6.703406	8.644523
6.739648	8.691398
6.775700	8.739270
6.811548	8.786689
6.847208	8.834128
6.882662	8.885600
6.917918	8.937166
6.952968	8.989335
6.987818	9.041595
7.022456	9.096047
7.056906	9.144765
7.091168	9.194008
7.125240	9.244873
7.159134	9.297404
7.192840	9.343860
7.226368	9.394153
7.259730	9.440449
7.292932	9.483767
7.325984	9.527484
7.358890	9.568108
7.391646	9.613197
7.424254	9.654556
7.456728	9.696872
7.489048	9.741373
7.521228	9.785064
7.553256	9.830379
7.585142	9.876116
7.616878	9.922281
7.648464	9.970778
7.679892	10.020390
7.711176	10.065981
7.742316	10.111338
7.773312	10.157105
