#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.138968	1.048106
1.406782	1.499581
1.600432	1.825001
1.762582	2.097583
1.905316	2.336417
2.034426	2.554182
2.153110	2.758154
2.263474	2.950961
2.366924	3.135259
2.464580	3.310494
2.557256	3.479216
2.645598	3.642511
2.730090	3.801172
2.811214	3.952186
2.889340	4.096910
2.964778	4.236922
3.037816	4.372919
3.108654	4.501752
3.177522	4.625976
3.244604	4.744462
3.310062	4.857883
3.374038	4.967730
3.436636	5.072485
3.497954	5.176970
3.558064	5.277859
3.617052	5.376677
3.674954	5.475829
3.731832	5.574153
3.787692	5.673817
3.842604	5.770955
3.896592	5.869064
3.949702	5.964219
4.001962	6.060171
4.053428	6.149856
4.104158	6.238518
4.154146	6.329517
4.203440	6.420848
4.252036	6.509993
4.299980	6.595828
4.347316	6.679976
4.394074	6.758730
4.440292	6.838171
4.485992	6.912499
4.531184	6.990638
4.575890	7.064521
4.620134	7.139010
4.663910	7.213760
4.707242	7.287725
4.750122	7.364258
4.792568	7.439596
4.834582	7.516491
4.876168	7.594258
4.917320	7.672901
4.958072	7.747836
4.998430	7.821522
5.038406	7.895036
5.078024	7.968327
5.117280	8.037642
5.156196	8.107754
5.194784	8.176121
5.233058	8.240459
5.271034	8.306697
5.308718	8.367762
5.346120	8.431090
5.383248	8.492168
5.420116	8.552741
5.456710	8.615601
5.493048	8.676995
5.529114	8.742188
5.564920	8.806887
5.600464	8.871047
5.635752	8.936149
5.670772	9.003762
5.705550	9.065599
5.740084	9.128291
5.774378	9.192394
5.808442	9.256859
5.842270	9.316152
5.875884	9.376769
5.909286	9.434212
5.942488	9.489496
5.975502	9.544852
6.008324	9.597925
6.040960	9.655743
6.073408	9.707659
6.105684	9.760743
6.137780	9.815023
6.169702	9.868671
6.201440	9.926670
6.233002	9.980915
6.264386	10.040245
6.295586	10.099636
6.326598	10.159076
6.357444	10.213240
6.388122	10.267985
6.418630	10.324677
6.448982	10.381312
6.479168	10.433026
6.509200	10.488057
6.539078	10.540842
6.568812	10.591304
6.598410	10.639368
6.627874	10.685689
6.657204	10.736817
6.686398	10.783992
6.715470	10.831584
6.744404	10.881105
6.773216	10.928799
6.801890	10.982286
6.830430	11.031648
6.858844	11.083801
6.887122	11.136450
6.915262	11.189602
6.943276	11.240850
6.971162	11.291757
6.998918	11.343128
7.026556	11.395795
7.054070	11.439781
7.081470	11.489988
7.108758	11.535554
7.135936	11.583189
7.163010	11.626916
7.189980	11.669239
7.216846	11.717988
7.243608	11.760098
7.270274	11.804286
7.296838	11.847020
7.323308	11.891864
7.349670	11.938864
7.375934	11.985322
7.402090	12.036753
7.428142	12.084908
7.454080	12.133449
7.479930	12.178604
7.505676	12.224096
7.531322	12.271846
7.556880	12.319971
7.582332	12.363607
7.607694	12.409514
7.632964	12.454776
7.658150	12.493409
7.683254	12.536284
7.708278	12.573412
7.733218	12.617851
7.758076	12.658525
7.782858	12.697408
7.807558	12.739630
7.832180	12.780053
7.856716	12.825968
7.881170	12.866942
7.905544	12.912424
7.929832	12.959296
7.954026	13.007588
7.978142	13.048649
8.002178	13.092151
8.026132	13.135945
8.050016	13.177822
8.073816	13.219966
8.097540	13.261261
8.121196	13.302814
8.144776	13.340096
8.168292	13.382146
8.191738	13.416436
8.215118	13.457816
8.238428	13.494814
8.261680	13.532015
8.284860	13.570595
8.307980	13.608216
8.331028	13.650789
8.354006	13.692437
8.376914	13.734339
8.399758	13.776498
8.422520	13.822565
8.445220	13.859152
8.467854	13.900852
8.490418	13.942804
8.512920	13.983765
8.535356	14.023715
8.557722	14.063894
8.580032	14.100506
8.602284	14.134764
8.624484	14.171746
8.646624	14.207637
8.668706	14.245002
8.690730	14.281265
8.712706	14.315104
8.734620	14.353037
8.756484	14.387217
8.778288	14.426858
8.800034	14.465387
8.821724	14.505461
8.843350	14.548452
8.864912	14.590343
8.886418	14.628388
8.907866	14.665263
8.929256	14.705077
8.950598	14.742340
8.971884	14.775622
8.993114	14.818833
9.014288	14.853866
9.035414	14.886243
9.056494	14.923013
9.077526	14.952845
9.098508	14.991376
9.119440	15.024355
9.140332	15.054594
9.161172	15.090752
9.181966	15.127083
9.202708	15.163590
9.223402	15.198803
9.244046	15.238614
9.264638	15.275662
9.285172	15.317370
9.305664	15.351801
9.326100	15.389403
9.346488	15.427188
9.366830	15.466683
9.387122	15.497201
9.407368	15.533983
9.427572	15.566310
9.447732	15.597223
9.467852	15.632925
9.487930	15.662542
9.507966	15.698544
9.527956	15.728410
9.547912	15.763134
9.567820	15.794835
9.587692	15.823475
9.607520	15.863425
9.627302	15.897139
9.647042	15.934229
9.666736	15.971493
9.686380	16.012195
9.705982	16.043268
9.725544	16.076106
9.745060	16.115690
9.764538	16.147166
9.783972	16.182099
9.803366	16.217183
9.822716	16.250738
9.842032	16.279369
9.861312	16.311488
9.880556	16.338635
9.899764	16.370988
9.918934	16.403470
9.938072	16.434362
9.957166	16.465370
9.976230	16.498228
9.995250	16.531218
10.014236	16.562593
10.033186	16.597594
10.052092	16.634505
10.070956	16.671581
10.089782	16.707045
10.108568	16.737308
10.127316	16.774843
10.146028	16.808949
10.164704	16.834169
