#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 12:22:51 2019
#Time	Angular velocity
#[s]	[rad/s]
0.874302	3.515895
0.952340	5.469727
1.005214	6.903082
1.050078	7.366331
1.092744	7.373938
1.135364	7.370132
1.178006	7.363223
1.220680	7.360118
1.263374	7.356326
1.306084	7.355293
1.348800	7.353227
1.391528	7.352194
1.434264	7.350818
1.477008	7.347723
1.519770	7.346693
1.562542	7.342915
1.605340	7.338798
1.648160	7.334686
1.691006	7.329894
1.733874	7.326134
1.776772	7.321694
1.819692	7.317261
1.862638	7.312492
1.905614	7.309429
1.948612	7.302293
1.991646	7.298561
2.034710	7.292462
2.077796	7.289078
2.120904	7.285697
2.164028	7.284684
2.207156	7.283670
2.250296	7.281307
2.293442	7.281644
2.336596	7.277933
2.379764	7.277596
2.422944	7.273889
2.466148	7.269513
2.509376	7.265142
2.552632	7.260776
2.595908	7.257422
2.639214	7.252061
2.682544	7.248045
2.725902	7.243366
2.769284	7.241362
2.812690	7.232693
2.856136	7.230363
2.899606	7.223713
2.943104	7.220392
2.986620	7.217075
3.030156	7.216080
3.073692	7.215086
3.117240	7.213760
3.160794	7.213098
3.204356	7.209456
3.247936	7.209456
3.291524	7.204827
3.335140	7.201524
3.378778	7.196575
3.422446	7.192620
3.466132	7.188670
3.509852	7.184067
3.553592	7.179470
3.597366	7.175207
3.641160	7.171931
3.684986	7.164407
3.728848	7.161141
3.772736	7.155270
3.816650	7.151686
3.860586	7.148431
3.904536	7.148431
3.948488	7.146155
3.992456	7.144855
4.036428	7.144530
4.080410	7.140957
4.124408	7.140632
4.168416	7.136091
4.212452	7.132527
4.256512	7.128319
4.300598	7.123793
4.344710	7.119595
4.388852	7.114758
4.433018	7.110893
4.477214	7.106068
4.521434	7.103176
4.565686	7.095475
4.609970	7.092912
4.654284	7.086512
4.698622	7.082997
4.742986	7.079805
4.787362	7.079486
4.831740	7.077891
4.876132	7.076615
4.920528	7.076297
4.964934	7.072792
5.009356	7.072155
5.053790	7.068018
5.098252	7.064204
5.142736	7.060076
5.187252	7.055319
5.231786	7.051835
5.276356	7.046774
5.320946	7.042982
5.365570	7.037933
5.410218	7.035727
5.454892	7.027543
5.499610	7.024400
5.544350	7.018750
5.589120	7.015302
5.633910	7.011858
5.678718	7.011232
5.723526	7.010293
5.768346	7.009042
5.813172	7.008104
5.858010	7.004666
5.902864	7.004041
5.947730	7.000296
5.992622	6.996242
6.037540	6.991571
6.082490	6.987217
6.127462	6.983179
6.172466	6.979146
6.217494	6.973878
6.262558	6.969237
