#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 12:22:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.393616	0.676703
1.807772	0.976123
2.105054	1.191496
2.353440	1.369733
2.571996	1.526483
2.769610	1.668610
2.951394	1.800092
3.120518	1.924925
3.279182	2.043525
3.428992	2.157806
3.571238	2.266302
3.706876	2.371694
3.836772	2.470816
3.961622	2.566409
4.081948	2.659167
4.198236	2.748213
4.310856	2.833838
4.420174	2.916931
4.526448	2.998103
4.629926	3.076675
4.730830	3.152627
4.829404	3.224263
4.925814	3.294663
5.020234	3.361862
5.112800	3.427890
5.203598	3.492909
5.292744	3.556976
5.380278	3.621933
5.466264	3.686190
5.550750	3.751872
5.633808	3.814742
5.715478	3.879372
5.795844	3.940685
5.874978	4.000806
5.952928	4.060164
6.029768	4.118501
6.105530	4.175429
6.180274	4.231785
6.254032	4.287810
6.326844	4.342575
6.398748	4.396541
6.469806	4.447202
6.540048	4.498400
6.609516	4.547233
6.678244	4.595928
6.746242	4.644303
6.813546	4.692166
6.880150	4.741454
6.946070	4.790328
7.011306	4.841413
7.075882	4.889791
7.139794	4.941165
7.203086	4.987605
7.265782	5.034604
7.327894	5.081510
7.389448	5.127122
7.450454	5.172368
7.510930	5.217379
7.570886	5.262828
7.630334	5.307282
7.689282	5.351582
7.747766	5.393107
7.805790	5.435469
7.863382	5.475256
7.920554	5.515630
7.977298	5.556407
8.033640	5.596196
8.089568	5.638380
8.145080	5.679767
8.200182	5.723434
8.254884	5.763967
8.309180	5.807869
8.363096	5.846782
8.416650	5.886439
8.469836	5.926639
8.522676	5.965578
8.575168	6.003655
8.627330	6.042454
8.679154	6.081757
8.730652	6.119668
8.781824	6.158778
8.832694	6.193992
8.883262	6.230846
8.933548	6.265142
8.983554	6.299817
9.033282	6.335133
9.082740	6.369556
9.131920	6.405923
9.180822	6.442178
9.229440	6.481520
9.277782	6.517016
9.325840	6.556458
9.373642	6.589464
9.421186	6.625596
9.468474	6.661562
9.515518	6.695637
9.562314	6.730061
9.608878	6.764259
9.655200	6.799690
9.701288	6.834304
9.747140	6.868671
9.792776	6.900050
9.838198	6.933246
9.883412	6.963367
9.928426	6.995619
9.973228	7.027857
10.017832	7.059441
10.062234	7.091631
10.106424	7.125409
10.150406	7.161141
10.194186	7.191632
10.237752	7.229365
10.281124	7.259099
10.324310	7.290431
10.367304	7.322718
10.410124	7.352883
10.452756	7.383644
10.495216	7.415013
10.537494	7.446297
10.579596	7.477490
10.621520	7.510023
10.663278	7.537410
