#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.919086	0.207418
3.239134	0.395084
3.955038	0.523697
4.507360	0.637436
4.966314	0.749251
5.359784	0.863255
5.704032	0.976699
6.010620	1.085779
6.288716	1.185059
6.545206	1.273705
6.785084	1.352665
7.011954	1.422823
7.228638	1.481953
7.437442	1.530946
7.640090	1.572369
7.837980	1.605737
8.031862	1.635514
8.222408	1.663239
8.409996	1.687667
8.594916	1.709952
8.777350	1.733924
8.956970	1.763058
9.133362	1.798505
9.306136	1.837597
9.475084	1.881554
9.639940	1.929773
9.800648	1.981003
9.957166	2.034289
10.109684	2.086938
10.258456	2.138360
10.403796	2.186734
10.546058	2.232037
10.685644	2.271217
10.822962	2.305688
10.958406	2.335201
11.092354	2.357810
11.225016	2.378337
11.356600	2.397430
11.487190	2.414752
11.616838	2.430858
11.745588	2.449318
11.873300	2.469961
11.999856	2.494357
12.125072	2.521990
12.248838	2.554639
12.370910	2.591432
12.491228	2.631282
12.609682	2.673286
12.726330	2.713931
12.841254	2.754333
12.954558	2.792477
13.066366	2.828378
13.176856	2.859737
13.286222	2.886220
13.394654	2.909475
13.502346	2.927095
13.609370	2.943275
13.715836	2.958798
13.821772	2.973135
13.927200	2.985737
14.032178	2.999764
14.136604	3.016412
14.240406	3.036294
14.343468	3.058821
14.445736	3.084892
14.547074	3.114311
14.647438	3.146501
14.746732	3.180973
14.844970	3.215221
14.942162	3.250148
15.038350	3.283163
15.133594	3.314686
15.228004	3.341835
15.321706	3.364238
15.414834	3.383660
15.507512	3.397933
15.599786	3.410845
15.691716	3.423930
15.783312	3.436665
15.874570	3.447526
15.965540	3.459675
16.056150	3.473983
16.146352	3.491357
16.236068	3.510787
16.325260	3.533532
16.413824	3.559798
16.501724	3.588833
16.588888	3.619180
16.675352	3.648348
16.761116	3.678077
16.846222	3.705757
16.930692	3.732970
17.014594	3.756718
17.098004	3.776588
17.180996	3.795019
17.263658	3.808083
17.346014	3.820587
17.428118	3.832332
17.509992	3.843021
17.591636	3.851785
17.673088	3.862297
17.754294	3.874683
17.835210	3.890132
17.915776	3.907065
17.995974	3.927580
18.075714	3.950894
18.154976	3.976599
18.233700	4.004171
18.311900	4.030783
18.389578	4.058381
18.466748	4.084552
18.543432	4.109665
18.619692	4.130522
18.695594	4.147755
18.771202	4.162925
18.846584	4.174319
18.921738	4.185219
18.996702	4.196400
19.071484	4.206739
19.146082	4.214979
19.220536	4.224501
19.294800	4.235551
19.368844	4.249875
19.442614	4.265802
19.516098	4.284886
19.589222	4.306265
19.661984	4.329887
19.734328	4.354493
19.806282	4.377916
19.877842	4.402950
19.949016	4.425651
20.019818	4.448966
20.090286	4.468329
20.160466	4.484530
20.230404	4.499947
20.300158	4.510154
20.369730	4.519887
20.439166	4.529271
20.508474	4.537775
20.577640	4.544734
20.646704	4.553561
20.715614	4.563748
20.784352	4.576779
20.852878	4.590958
20.921180	4.608333
20.989196	4.628020
21.056924	4.649803
21.124310	4.673598
21.191370	4.696094
21.258104	4.719657
21.324520	4.741311
21.390638	4.762442
21.456490	4.779687
21.522116	4.794422
21.587548	4.808070
21.652838	4.818098
21.717966	4.828168
21.782968	4.837983
21.847852	4.847239
21.912610	4.853980
21.977284	4.861641
22.041838	4.871290
22.106252	4.883102
22.170488	4.896192
22.234548	4.912730
22.298372	4.930463
22.361962	4.951133
22.425270	4.972605
22.488320	4.993313
22.551096	5.015634
22.613610	5.036056
22.675868	5.056483
22.737898	5.073632
22.799736	5.086776
22.861420	5.099822
22.922986	5.107949
22.984438	5.115934
23.045794	5.124446
23.107056	5.132818
23.168216	5.139031
23.229312	5.146102
23.290304	5.155053
23.351180	5.166074
23.411910	5.178336
23.472490	5.193574
23.532872	5.210975
23.593050	5.230757
23.652984	5.251919
23.712698	5.270421
23.772190	5.291371
23.831466	5.309614
23.890530	5.328346
23.949408	5.343753
24.008128	5.356327
24.066708	5.369326
24.125184	5.378334
24.183546	5.386265
24.241828	5.394589
24.300032	5.402195
24.358152	5.406844
24.416224	5.413366
24.474210	5.421774
24.532100	5.432086
24.589860	5.443947
24.647496	5.458323
24.704958	5.474684
24.762252	5.492679
24.819342	5.512340
24.876240	5.530584
24.932940	5.551106
24.989448	5.569015
25.045766	5.587636
25.101918	5.602783
25.157930	5.614398
25.213832	5.625860
25.269648	5.632921
25.325380	5.640202
25.381038	5.648518
25.436624	5.656451
25.492134	5.661139
25.547600	5.667676
25.602992	5.674842
25.658302	5.685317
25.713500	5.695625
25.768592	5.709910
25.823528	5.725728
25.878316	5.743524
25.932922	5.762064
25.987366	5.778811
26.041642	5.797794
26.095756	5.814103
26.149706	5.832237
26.203508	5.846564
26.257186	5.858557
26.310756	5.870161
26.364254	5.877629
26.417666	5.884896
26.471018	5.891738
26.524318	5.898154
26.577554	5.902365
26.630756	5.908804
26.683890	5.915925
26.736952	5.925297
26.789916	5.935821
26.842788	5.948634
26.895526	5.963766
26.948136	5.980341
27.000582	5.998840
27.052880	6.015381
27.105028	6.034098
27.157024	6.050367
27.208876	6.067662
27.260596	6.080816
27.312216	6.091427
27.363742	6.102550
27.415202	6.109908
27.466584	6.117046
27.517908	6.125156
27.569174	6.132330
27.620380	6.136642
27.671552	6.142642
27.722664	6.150097
27.773710	6.158778
27.824686	6.166273
27.875620	6.171360
27.926514	6.174271
27.977412	6.172573
28.028334	6.166757
28.079334	6.154435
28.130434	6.141921
28.181660	6.124917
28.233022	6.108483
28.284530	6.090010
28.336208	6.068365
28.388070	6.046873
28.440150	6.020684
28.492442	5.993804
28.544974	5.966711
28.597750	5.940311
28.650756	5.911694
28.704028	5.884014
28.757538	5.857683
28.811282	5.833536
28.865236	5.810232
28.919404	5.789460
28.973752	5.770319
29.028280	5.753622
29.082952	5.737859
29.137786	5.720932
29.192776	5.705140
29.247938	5.686758
29.303270	5.668698
29.358796	5.647502
29.414538	5.624047
29.470514	5.600985
29.526754	5.573560
29.583258	5.545618
29.640048	5.518537
29.697134	5.489608
29.754518	5.458323
29.812236	5.428332
29.870262	5.399967
29.928576	5.374654
29.987158	5.349031
30.046016	5.327081
30.105096	5.306207
30.164412	5.287630
30.223918	5.270244
30.283634	5.251743
30.343550	5.235115
30.403672	5.216686
30.464004	5.197698
30.524580	5.175606
30.585428	5.150490
30.646582	5.124111
30.708090	5.093538
30.769954	5.062512
30.832194	5.032184
30.894828	5.001421
30.957846	4.967573
31.021298	4.935576
31.085150	4.904600
31.149388	4.876281
31.213986	4.848885
31.278942	4.824461
31.344204	4.802043
31.409768	4.781870
31.475594	4.762731
31.541702	4.741883
31.608090	4.722637
31.674768	4.701575
31.741744	4.680003
31.809052	4.655591
31.876734	4.627884
31.944832	4.599562
32.013398	4.566401
32.082448	4.532407
32.152030	4.498142
32.222160	4.462870
32.292846	4.424903
32.364136	4.389170
32.435994	4.354735
32.508402	4.322856
32.581328	4.291676
32.654768	4.264065
32.728658	4.238179
32.802990	4.215205
32.877700	4.194159
32.952806	4.171769
33.028306	4.150824
33.104216	4.127266
33.180568	4.102796
33.257410	4.074593
33.334824	4.042505
33.412874	4.008361
33.491648	3.970166
33.571156	3.932004
33.651458	3.893024
33.732592	3.852918
33.814574	3.810393
33.897486	3.768886
33.981286	3.728805
34.065962	3.691561
34.151466	3.655650
34.237786	3.623521
34.324836	3.593431
34.412604	3.565939
34.501020	3.539982
34.590104	3.513143
34.679866	3.487326
34.770330	3.459294
34.861540	3.430136
34.953588	3.396977
35.046594	3.359633
35.140684	3.319379
35.236026	3.273652
35.332698	3.226183
35.430826	3.177820
35.530506	3.127581
35.631794	3.075651
35.734814	3.024368
35.839554	2.974824
35.945998	2.928241
36.054096	2.883677
36.163820	2.842864
36.275048	2.805194
36.387736	2.770804
36.501792	2.738105
36.617256	2.704260
36.734188	2.669924
36.852708	2.632914
36.972980	2.593015
37.095236	2.548091
37.219802	2.497967
37.347022	2.443298
37.477346	2.381763
37.611106	2.317287
37.748770	2.249909
37.890782	2.178334
38.037634	2.102834
38.189892	2.026756
38.347876	1.952610
38.511856	1.881238
38.682074	1.811677
38.858846	1.744748
39.042298	1.681453
39.232644	1.621216
39.430050	1.563386
39.635066	1.504162
39.848518	1.442818
40.071758	1.376636
40.307074	1.300888
40.558208	1.211268
40.831578	1.102731
41.138982	0.967025
41.506904	0.789036
42.032206	0.531378
43.175222	0.183160
44.333912	0.400279
45.029230	0.598620
45.511936	0.742591
45.911296	0.852855
46.264486	0.939309
46.589054	1.006108
46.894928	1.054403
47.188434	1.089764
47.472442	1.122591
47.747666	1.160939
48.014018	1.198953
48.271674	1.240148
48.520512	1.285483
48.760508	1.333783
48.991688	1.385096
49.214300	1.438722
49.428452	1.496495
49.634276	1.558221
49.832072	1.620731
50.022562	1.680859
50.206536	1.737357
50.384688	1.791020
50.557744	1.842965
50.726246	1.888430
50.890976	1.928020
51.052584	1.961632
51.211630	1.990416
51.368490	2.016194
51.523402	2.040340
51.676494	2.064393
51.827844	2.087021
51.977532	2.110661
52.125442	2.136789
52.271500	2.165152
52.415654	2.193972
52.558026	2.220144
52.698756	2.245181
52.838008	2.268298
52.975894	2.288656
53.112690	2.305756
53.248394	2.323285
53.382892	2.346714
53.516072	2.372482
53.647816	2.396735
53.778168	2.423021
53.907182	2.448020
54.034972	2.469728
54.161690	2.489416
54.287418	2.508258
54.412180	2.527956
54.535994	2.546604
54.658884	2.566451
54.780738	2.588954
54.901508	2.613725
55.021040	2.641681
55.139286	2.671831
55.256136	2.705145
55.371516	2.740877
55.485356	2.778056
55.597760	2.813434
55.708770	2.847141
55.818480	2.879976
55.926994	2.912010
56.034366	2.940685
56.140734	2.967070
56.246220	2.989943
56.350972	3.009188
56.455080	3.026874
56.558616	3.042233
56.661618	3.057987
56.764110	3.072162
56.866120	3.087500
56.967556	3.105568
57.068378	3.126274
57.168458	3.150730
57.267762	3.176342
57.366234	3.204203
57.463838	3.233821
57.560512	3.264806
57.656322	3.294317
57.751276	3.323100
57.845412	3.351175
57.938792	3.379365
58.031436	3.403307
58.123450	3.425647
58.214914	3.444653
58.305920	3.460209
58.396528	3.474752
58.486774	3.487946
58.576662	3.502021
58.666202	3.514793
58.755414	3.528611
58.844232	3.544615
58.932638	3.562623
59.020542	3.583838
59.107928	3.606135
59.194746	3.630892
59.280964	3.657267
59.366530	3.684807
59.451508	3.710484
59.535898	3.735100
59.619716	3.760405
59.702998	3.785872
59.785742	3.808083
59.868020	3.828876
59.949890	3.846314
60.031428	3.860019
60.112692	3.872867
60.193700	3.883496
60.274464	3.896017
60.354982	3.907065
60.435266	3.919544
60.515256	3.934269
60.594946	3.950596
60.674264	3.969564
60.753208	3.989324
60.831744	4.011022
60.909840	4.034821
60.987444	4.060374
61.064604	4.084128
61.141312	4.106979
61.217588	4.129979
61.293466	4.152470
61.368954	4.171548
61.444102	4.189349
61.518958	4.204937
61.593558	4.217809
61.667942	4.229962
61.742120	4.240582
61.816102	4.252521
61.889882	4.263024
61.963484	4.274276
62.036864	4.287342
62.110018	4.301666
62.182892	4.318934
62.255480	4.337060
62.327746	4.357271
62.399672	4.378893
62.471226	4.401223
62.542446	4.421913
62.613332	4.442172
62.683878	4.463124
62.754118	4.484402
62.824038	4.502010
62.893690	4.518977
62.963104	4.533192
63.032322	4.544471
63.101382	4.554881
63.170318	4.560833
63.239190	4.563615
63.308072	4.558847
63.377090	4.547628
63.446302	4.531100
63.515818	4.509377
63.585676	4.484786
63.655936	4.458057
63.726618	4.431769
63.797698	4.407892
63.869138	4.385862
63.940972	4.362233
64.013200	4.337299
64.085832	4.312649
64.158916	4.286757
64.232446	4.258516
64.306470	4.229620
64.381032	4.197970
64.456188	4.163035
64.531988	4.127158
64.608468	4.089018
64.685650	4.051890
64.763560	4.012866
64.842236	3.974385
64.921638	3.938017
65.001770	3.903375
65.082566	3.871913
65.164026	3.841423
65.246110	3.812798
65.328812	3.785599
65.412074	3.759595
65.495952	3.732260
65.580454	3.703747
65.665592	3.675581
65.751422	3.647078
65.837954	3.614765
65.925286	3.580489
66.013506	3.542777
66.102720	3.501084
66.193022	3.458152
66.284468	3.413513
66.377110	3.369578
66.470988	3.323733
66.566162	3.278845
66.662610	3.235420
66.760348	3.193779
66.859300	3.155033
66.959472	3.117587
67.060812	3.082350
67.163304	3.048906
67.266892	3.016122
67.371684	2.981204
67.477716	2.945206
67.585038	2.908990
67.693758	2.872340
67.803918	2.832356
67.915706	2.789700
68.029336	2.741833
68.145078	2.688753
68.263198	2.632781
68.383918	2.573810
68.507444	2.514401
68.633974	2.452913
68.763716	2.391590
68.896740	2.332289
69.033154	2.275066
69.172924	2.220489
69.316174	2.166855
69.462934	2.115152
69.613234	2.066185
69.767070	2.018629
69.924706	1.969428
70.086438	1.917710
70.252678	1.863275
70.424062	1.806676
70.601304	1.742522
70.785732	1.669674
70.979076	1.586807
71.183630	1.493081
71.402256	1.390417
71.638754	1.278390
71.898740	1.154513
72.191620	1.013574
72.534570	0.852165
72.969298	0.655449
74.302850	0.217084
75.083874	0.192888
76.553918	0.494943
77.125042	0.657240
77.566756	0.795884
77.937738	0.918922
78.263092	1.027584
78.556562	1.124866
78.826432	1.212287
79.078306	1.289896
79.316384	1.355385
79.544032	1.409380
79.763804	1.453338
79.977682	1.487595
80.186756	1.518338
80.392006	1.544995
80.594218	1.564647
80.794300	1.576820
80.993066	1.585078
81.190726	1.593504
81.387298	1.602853
81.582592	1.613423
81.776186	1.630049
81.967160	1.657815
82.154476	1.694897
82.336852	1.747310
82.513692	1.807840
82.684780	1.867195
82.850676	1.923039
83.012006	1.974429
83.169494	2.018085
83.323882	2.053892
83.475824	2.083312
83.625900	2.105653
83.774358	2.126318
83.921420	2.146688
84.067160	2.165481
84.211632	2.182935
84.354906	2.202432
84.496782	2.225491
84.637098	2.252167
